front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What are the main components of a typical LSM-tree write path?	A write-ahead log, a mutable in-memory table, immutable flushed tables, and background compaction.	RECALL	A write-ahead log, a mutable in-memory table, immutable flushed tables, and background compaction.	CASE_INSENSITIVE	Durability, memory, disk, maintenance.	LSM Fundamentals	45
Why does an LSM tree append to a WAL before acknowledging an in-memory write?	The memtable is volatile, so the log is needed to reconstruct accepted writes after a crash.	CONCEPT	The memtable is volatile, so the log is needed to reconstruct accepted writes after a crash.	NORMALIZED_SPACING	Memory speed needs durable backup.	LSM Fundamentals	75
What triggers a memtable flush?	Usually a size or time threshold; the active memtable is switched and the old immutable snapshot is written sequentially to disk.	CONCEPT	Usually a size or time threshold; the active memtable is switched and the old immutable snapshot is written sequentially to disk.	NORMALIZED_SPACING	A bounded memory component becomes a file.	LSM Fundamentals	75
Why must memtable switching be atomic?	Every write must belong to either the old flushing table or the new active table, with no lost or duplicated transition window.	CONCEPT	Every write must belong to either the old flushing table or the new active table, with no lost or duplicated transition window.	NORMALIZED_SPACING	The write target changes while traffic continues.	LSM Concurrency	75
Why does a flushing memtable remain readable?	Until its on-disk replacement is complete and published, it may contain the newest version of keys needed by readers.	CONCEPT	Until its on-disk replacement is complete and published, it may contain the newest version of keys needed by readers.	NORMALIZED_SPACING	The new file is not ready yet.	LSM Concurrency	75
What is an SSTable?	An immutable sorted on-disk table containing key-value entries.	RECALL	An immutable sorted on-disk table containing key-value entries.	CASE_INSENSITIVE	A common LSM disk component.	LSM Fundamentals	45
Why can an LSM lookup consult several places?	The newest value may be in the active memtable, a flushing memtable, or any of several immutable disk tables.	CONCEPT	The newest value may be in the active memtable, a flushing memtable, or any of several immutable disk tables.	NORMALIZED_SPACING	Data exists across generations.	LSM Reads	75
What role does a Bloom filter play in an LSM tree?	It can cheaply prove that a table definitely lacks a key, avoiding unnecessary disk reads, while positive results remain probabilistic.	CONCEPT	It can cheaply prove that a table definitely lacks a key, avoiding unnecessary disk reads, while positive results remain probabilistic.	NORMALIZED_SPACING	No false negatives, possible false positives.	LSM Reads	75
Why does a Bloom-filter false positive not corrupt correctness?	It only causes an unnecessary table lookup; the actual table search still verifies whether the key exists.	CONCEPT	It only causes an unnecessary table lookup; the actual table search still verifies whether the key exists.	NORMALIZED_SPACING	It changes cost, not truth.	LSM Reads	75
Why are sparse indexes useful for SSTables?	Because entries are sorted, the index can point to ranges or blocks rather than storing one pointer per key.	CONCEPT	Because entries are sorted, the index can point to ranges or blocks rather than storing one pointer per key.	NORMALIZED_SPACING	Ordering reduces index density requirements.	LSM Reads	75
How is an update represented in an immutable LSM component?	A newer entry for the same key is appended to a later component; reads choose the newest visible version.	CONCEPT	A newer entry for the same key is appended to a later component; reads choose the newest visible version.	NORMALIZED_SPACING	Do not overwrite the old file.	LSM Updates	75
How is deletion represented in an LSM tree?	A tombstone is written as a newer version so older values are hidden until compaction can safely discard both.	CONCEPT	A tombstone is written as a newer version so older values are hidden until compaction can safely discard both.	NORMALIZED_SPACING	Deletion is another record.	LSM Updates	75
