front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What should you do before drawing components in a system-design interview?	Clarify the core user flows, correctness requirements, scale, latency, availability, consistency, security, and explicit non-goals so the architecture solves the right problem.	CONCEPT	Clarify the core user flows, correctness requirements, scale, latency, availability, consistency, security, and explicit non-goals so the architecture solves the right problem.	NORMALIZED_SPACING	Requirements and constraints come before boxes and arrows.	System Design	90
Why make rough traffic and storage estimates in system design?	Back-of-the-envelope estimates reveal the order of magnitude for throughput, bandwidth, storage, and hot paths, which determines whether simple designs are sufficient or partitioning and caching are justified.	CONCEPT	Back-of-the-envelope estimates reveal the order of magnitude for throughput, bandwidth, storage, and hot paths, which determines whether simple designs are sufficient or partitioning and caching are justified.	NORMALIZED_SPACING	Estimate to choose architecture, not to impress with arithmetic.	System Design	90
What is the main role of a load balancer?	It distributes incoming work across healthy service instances and can provide health-based routing, connection management, and a stable entry point while instances scale or fail.	CONCEPT	It distributes incoming work across healthy service instances and can provide health-based routing, connection management, and a stable entry point while instances scale or fail.	NORMALIZED_SPACING	Decouple clients from individual backend instances.	System Design	75
Why are stateless application instances easier to scale horizontally?	Any request can be routed to any healthy instance because durable session or business state lives in shared systems, reducing affinity constraints and making replacement and autoscaling simpler.	CONCEPT	Any request can be routed to any healthy instance because durable session or business state lives in shared systems, reducing affinity constraints and making replacement and autoscaling simpler.	NORMALIZED_SPACING	Keep replaceable compute separate from durable state.	System Design	75
What trade-off do read replicas introduce?	They can scale read throughput and isolate read traffic, but replication lag means replicas may serve stale data and they add failover, routing, and consistency complexity.	CONCEPT	They can scale read throughput and isolate read traffic, but replication lag means replicas may serve stale data and they add failover, routing, and consistency complexity.	NORMALIZED_SPACING	More read capacity can mean weaker read-after-write behavior.	System Design	90
What makes a good partition key?	It spreads load and storage reasonably evenly, supports the dominant access patterns without excessive cross-partition work, and avoids predictable hot keys.	CONCEPT	It spreads load and storage reasonably evenly, supports the dominant access patterns without excessive cross-partition work, and avoids predictable hot keys.	NORMALIZED_SPACING	Balance distribution with query locality.	System Design	90
What is a hot partition?	A hot partition receives disproportionate traffic or data because many requests map to the same partition key or range, so one shard becomes the bottleneck while others remain underused.	CONCEPT	A hot partition receives disproportionate traffic or data because many requests map to the same partition key or range, so one shard becomes the bottleneck while others remain underused.	NORMALIZED_SPACING	Uniform shard count does not guarantee uniform load.	System Design	75
When is cache-aside appropriate?	The application reads the cache first, loads from the source on a miss, and populates the cache; it is simple and effective for read-heavy data when stale-data and invalidation behavior are acceptable.	CONCEPT	The application reads the cache first, loads from the source on a miss, and populates the cache; it is simple and effective for read-heavy data when stale-data and invalidation behavior are acceptable.	NORMALIZED_SPACING	Application-managed lazy population.	System Design	90
What causes a cache stampede and how can you reduce it?	Many requests miss or expire the same hot key simultaneously and all hit the backing store; mitigate with request coalescing, jittered TTLs, stale-while-revalidate, or controlled locking.	CONCEPT	Many requests miss or expire the same hot key simultaneously and all hit the backing store; mitigate with request coalescing, jittered TTLs, stale-while-revalidate, or controlled locking.	NORMALIZED_SPACING	One hot expiration can synchronize thousands of callers.	System Design	90
How does a token-bucket rate limiter behave?	Tokens accumulate up to a capacity at a fixed rate, requests spend tokens, and bursts are allowed while tokens exist; sustained traffic is limited by the refill rate.	CONCEPT	Tokens accumulate up to a capacity at a fixed rate, requests spend tokens, and bursts are allowed while tokens exist; sustained traffic is limited by the refill rate.	NORMALIZED_SPACING	It permits bounded bursts while enforcing a long-term rate.	System Design	75
