front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which Set implementation maintains its elements in their natural sorted order?	TreeSet	RECALL	TreeSet	CASE_INSENSITIVE	It is backed by a red-black tree and requires elements to be Comparable or supplied with a Comparator.	Collections Streams Generics	20
Which Stream method returns a new stream containing only elements that match a predicate?	filter	RECALL	filter	CASE_INSENSITIVE	It is an intermediate, lazy operation.	Collections Streams Generics	20
Which keyword lets a generic type parameter accept any subtype of a given upper bound?	extends	RECALL	extends	CASE_INSENSITIVE	Used as in <T extends Number>.	Collections Streams Generics	20
What is the practical difference between List and Set when choosing a collection type?	A List preserves an order and allows duplicate elements accessed by index, while a Set enforces uniqueness and generally has no positional access.	CONCEPT	List allows duplicates and index access; Set enforces uniqueness	NORMALIZED_SPACING	Ask whether duplicates are meaningful and whether order or position matters.	Collections Streams Generics	45
Why can a Stream only be consumed once?	A stream models a pipeline of operations over a source, and once a terminal operation runs it closes that pipeline, so calling another terminal operation on the same stream throws IllegalStateException.	CONCEPT	streams are single-use pipelines closed after a terminal operation	NORMALIZED_SPACING	Create a new stream from the source if you need to traverse it again.	Collections Streams Generics	50
Why does generic type information not exist at runtime in Java?	Generics are implemented through type erasure, so the compiler checks type parameters at compile time and then replaces them with their bounds or Object in the bytecode, leaving no generic type info to inspect at runtime.	CONCEPT	generics use type erasure so parameter types are removed from the compiled bytecode	NORMALIZED_SPACING	This is why you cannot create a generic array or check instanceof List<String> directly.	Collections Streams Generics	55
What is the difference between Comparable and Comparator?	Comparable defines a class's single natural ordering through compareTo, while Comparator defines an external, reusable ordering through compare that can be swapped without changing the class.	CONCEPT	Comparable is natural ordering on the class; Comparator is an external reusable ordering	NORMALIZED_SPACING	Only one Comparable ordering can exist per class, but many Comparators can.	Collections Streams Generics	50
Why is ConcurrentModificationException thrown when a collection is structurally modified outside its iterator during iteration?	Most collection iterators track a modification count on the source and fail fast by throwing ConcurrentModificationException as soon as they detect a structural change that did not go through the iterator itself.	CONCEPT	iterators fail fast when they detect a structural change made outside the iterator	NORMALIZED_SPACING	Use the iterator's own remove() instead of modifying the source collection directly.	Collections Streams Generics	50
What is the output of: System.out.println(List.of(3, 1, 2).stream().sorted().toList());	[1, 2, 3]	CODE_OUTPUT	[1, 2, 3]	EXACT	sorted() with no comparator uses the elements' natural ordering.	Collections Streams Generics	40
What is the output of: System.out.println(Stream.of(1, 2, 3).map(n -> n * 2).reduce(0, Integer::sum));	12	CODE_OUTPUT	12	EXACT	map doubles each element, then reduce sums them starting from 0.	Collections Streams Generics	40
What is thrown when list.add(1) is called on a list created with List.of(1, 2, 3)?	UnsupportedOperationException	CODE_OUTPUT	UnsupportedOperationException	CASE_INSENSITIVE	List.of produces an immutable list implementation.	Collections Streams Generics	35
A HashMap<String, Integer> is populated, then the key class's hashCode() implementation is changed and the application is redeployed without clearing the map. What happens to get() lookups for previously stored keys after the redeploy?	Lookups can fail to find previously stored entries because each entry's stored bucket was computed with the old hashCode implementation, so the new hashCode no longer matches the bucket the value actually lives in.	CONCEPT	lookups can fail because entries were bucketed using the old hashCode and never rehashed	NORMALIZED_SPACING	HashMap never rehashes existing entries just because the hashCode implementation changed in code.	Collections Streams Generics	55
A List<Integer> built from Arrays.asList(1, 2, 3) throws UnsupportedOperationException when .add() is called on it. Why?	Arrays.asList returns a fixed-size list backed by the original array, so structural changes like add or remove are not supported even though set() works.	CONCEPT	Arrays.asList returns a fixed-size list view over an array, so add and remove are unsupported	NORMALIZED_SPACING	The list is a view over a fixed-size array, not a growable ArrayList.	Collections Streams Generics	55
Calling list.remove(1) on a List<Integer> sometimes removes a different element than the caller expected. What is the most likely mistake?	remove(int) removes by index while remove(Object) removes by value; passing an int literal like 1 calls the index overload, not the value overload, so it may not remove the intended element.	CONCEPT	remove(int) removes by index, not by value; an int literal picks the index overload	NORMALIZED_SPACING	Autoboxing the argument to Integer.valueOf(1) would select the Object overload instead.	Collections Streams Generics	55
A for-each loop over a List<String> throws ConcurrentModificationException when the loop body calls list.remove(item). How should this be fixed?	Use the iterator's own remove() method (or Collection.removeIf, or build a new filtered list) instead of modifying the source list directly during a for-each loop.	CONCEPT	use the iterator's remove(), removeIf, or build a new filtered list instead of mutating during for-each	NORMALIZED_SPACING	A for-each loop uses an iterator under the hood and does not expect direct list mutation.	Collections Streams Generics	55
A method returns List<String>, and storing the result as List<Object> is a compile error even though String is an Object. Why does the compiler reject this without a wildcard?	Generics are invariant, so List<String> is not a subtype of List<Object>; allowing it would let incompatible elements be added through the List<Object> reference, breaking type safety.	CONCEPT	generics are invariant so List<String> is not a subtype of List<Object>	NORMALIZED_SPACING	Use List<? extends Object> if you only need to read elements.	Collections Streams Generics	55
A parallel stream over a small list of 5 elements runs slower than the sequential version in production. What is the most likely explanation?	For small data sets the overhead of splitting work and coordinating threads outweighs the benefit of parallelism, so parallel streams are only worthwhile for large data sets or expensive per-element work.	CONCEPT	coordination overhead outweighs the benefit for small data sets or cheap per-element work	NORMALIZED_SPACING	Parallelism has fixed coordination costs regardless of how little work there is to do.	Collections Streams Generics	55
Write a stream expression that groups a List<String> named words by their length into a Map<Integer, List<String>>.	words.stream().collect(Collectors.groupingBy(String::length))	RECALL	words.stream().collect(Collectors.groupingBy(String::length))	NORMALIZED_SPACING	Collectors.groupingBy needs a classifier function.	Collections Streams Generics	70
Write a generic method signature named first that accepts a List<T> and returns its first element of type T.	public static <T> T first(List<T> list)	RECALL	public static <T> T first(List<T> list)	NORMALIZED_SPACING	Declare the type parameter before the return type.	Collections Streams Generics	60
Write a stream expression that joins a List<String> named names into a single comma-and-space-separated String.	names.stream().collect(Collectors.joining(", "))	RECALL	names.stream().collect(Collectors.joining(", "))	NORMALIZED_SPACING	Collectors.joining can take a delimiter argument.	Collections Streams Generics	60
