front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What contract must equals and hashCode obey for hash-based collections?	Objects that are equal must return the same hash code, equality should be reflexive, symmetric, transitive and consistent, and fields used by equality should remain stable while the object is used as a key.	CONCEPT		NORMALIZED_SPACING	Equal objects must land in compatible hash buckets.	Core Java Interview	90
Why can an inconsistent compareTo and equals implementation surprise TreeSet or TreeMap users?	Sorted collections use comparison to determine ordering and often uniqueness, so compareTo returning zero for objects that are not equal can make one logical entry disappear from the sorted collection.	CONCEPT		NORMALIZED_SPACING	Sorted collections trust comparison, not HashSet-style equality.	Collections	90
What happens conceptually when many HashMap keys collide?	Entries share buckets; modern HashMap implementations can transform sufficiently large collision chains into tree-like structures under suitable capacity, reducing worst-case lookup compared with a long linked chain.	CONCEPT		NORMALIZED_SPACING	Think bucket collision handling, not one slot per key.	Collections	90
Why prefer ConcurrentHashMap compute or merge operations over a get-then-put sequence?	The compound operation is performed atomically for the relevant key, avoiding races where multiple threads read the same old value and overwrite each other's updates.	CONCEPT		NORMALIZED_SPACING	Atomic compound action is the key.	Concurrency	90
What is the difference between an immutable collection and an unmodifiable view?	An immutable collection cannot change through any alias, while an unmodifiable view only blocks mutation through that view and may still reflect changes made through the backing mutable collection.	CONCEPT		NORMALIZED_SPACING	A wrapper can hide mutators without freezing the backing data.	Collections	90
Why can a shallow defensive copy still leak mutable state?	Copying only the outer collection leaves references to mutable elements shared; callers can mutate those elements unless the nested objects are immutable or copied too.	CONCEPT		NORMALIZED_SPACING	Copy depth must match the mutation risk.	Core Java Interview	75
What is the Java string pool and why does using == on strings remain wrong for value comparison?	String literals may share pooled instances, which can make reference equality appear to work accidentally, but == compares object identity; use equals for character-content equality.	CONCEPT		NORMALIZED_SPACING	Pooling can hide a reference-equality bug.	Core Java Interview	75
When would StringBuilder normally be preferred over StringBuffer?	StringBuilder is preferred for ordinary single-threaded string construction because it avoids StringBuffer's synchronization overhead; shared mutable string construction should usually be redesigned rather than synchronized casually.	CONCEPT		NORMALIZED_SPACING	Synchronization is the main distinction.	Core Java Interview	75
How should you choose between checked and unchecked exceptions in an application API?	Use the choice to communicate recovery expectations: checked exceptions force callers to acknowledge a recoverable condition, while unchecked exceptions fit programming errors or failures callers generally cannot meaningfully recover from; consistency matters more than ideology.	CONCEPT		NORMALIZED_SPACING	Think caller recovery contract.	Core Java Interview	90
Why is returning from a finally block dangerous?	A return from finally can suppress an exception or override a value produced by try or catch, hiding the original control flow and making failures extremely difficult to diagnose.	CONCEPT		NORMALIZED_SPACING	finally should clean up, not replace the outcome.	Core Java Interview	75
In what order are multiple resources closed by try-with-resources?	Resources are closed in reverse declaration order, which mirrors stack-style acquisition and allows dependent resources to be released safely.	CONCEPT		NORMALIZED_SPACING	Last acquired, first closed.	Core Java Interview	60
What practical consequence does Java generic type erasure have at runtime?	Most generic type parameters are not reified at runtime, so you cannot directly ask whether an object is a List<String>, create new T, or overload methods solely by generic type arguments.	CONCEPT		NORMALIZED_SPACING	Compile-time generic information is largely erased.	Generics	90
Why can the compiler generate bridge methods for generic inheritance?	Type erasure can change overridden method signatures, so the compiler may emit a synthetic bridge method to preserve polymorphism and route erased calls to the type-specific implementation.	CONCEPT		NORMALIZED_SPACING	Bridge methods repair polymorphism after erasure.	Generics	90
What is wildcard capture in Java generics?	The compiler treats an unknown wildcard as a specific hidden type, and a helper method with its own type parameter can capture that type so values can be manipulated safely without unsafe casts.	CONCEPT		NORMALIZED_SPACING	A helper generic method can name the unknown type.	Generics	90
