front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What is the difference between a Kubernetes Deployment and a Service?	A Deployment manages the desired replicas and rollout of Pods, while a Service provides stable network discovery and load balancing to a changing set of matching Pods.	CONCEPT	A Deployment manages the desired replicas and rollout of Pods, while a Service provides stable network discovery and load balancing to a changing set of matching Pods.	NORMALIZED_SPACING	Workload lifecycle and network identity are separate resources.	Kubernetes	75
What is the difference between Kubernetes readiness and liveness probes?	Readiness decides whether a Pod should receive traffic; liveness decides whether the container should be restarted because it is considered stuck or unhealthy.	CONCEPT	Readiness decides whether a Pod should receive traffic; liveness decides whether the container should be restarted because it is considered stuck or unhealthy.	NORMALIZED_SPACING	Traffic eligibility is different from restart eligibility.	Kubernetes	75
Why are Kubernetes resource requests and limits important?	Requests drive scheduling and reserved capacity, while limits constrain resource usage; bad values can cause poor bin-packing, CPU throttling, or memory OOM kills.	CONCEPT	Requests drive scheduling and reserved capacity, while limits constrain resource usage; bad values can cause poor bin-packing, CPU throttling, or memory OOM kills.	NORMALIZED_SPACING	Scheduler planning and runtime ceilings are related but different.	Kubernetes	90
What can make a Kubernetes rolling deployment unsafe for an API?	Incompatible schema or contract changes, insufficient readiness gating, long-lived in-flight work, and no capacity headroom can cause mixed-version failures even when the rollout mechanism itself is healthy.	CONCEPT	Incompatible schema or contract changes, insufficient readiness gating, long-lived in-flight work, and no capacity headroom can cause mixed-version failures even when the rollout mechanism itself is healthy.	NORMALIZED_SPACING	Zero-downtime deployment requires application compatibility too.	Kubernetes	90
Why can autoscaling on CPU alone miss a backend bottleneck?	A service may be limited by queue depth, request concurrency, database connections, external latency, or memory while CPU remains low; scaling signals should represent the actual constrained resource.	CONCEPT	A service may be limited by queue depth, request concurrency, database connections, external latency, or memory while CPU remains low; scaling signals should represent the actual constrained resource.	NORMALIZED_SPACING	Scale on the symptom tied to capacity, not a convenient metric.	Kubernetes	90
When should Redis be treated as a cache rather than a source of truth?	When data can be reconstructed from a durable authoritative store and Redis loss or eviction is acceptable; design cache misses and invalidation so Redis availability is not confused with business durability.	CONCEPT	When data can be reconstructed from a durable authoritative store and Redis loss or eviction is acceptable; design cache misses and invalidation so Redis availability is not confused with business durability.	NORMALIZED_SPACING	Ask whether losing Redis loses irreplaceable business state.	Redis	90
What causes a Redis cache stampede?	Many callers miss or expire the same hot key together and all query the backing store; use jitter, request coalescing, stale serving, or controlled locking to spread the load.	CONCEPT	Many callers miss or expire the same hot key together and all query the backing store; use jitter, request coalescing, stale serving, or controlled locking to spread the load.	NORMALIZED_SPACING	Hot-key expiration can synchronize demand.	Redis	90
Why is using Redis SETNX as a distributed lock not sufficient by itself for correctness-critical ownership?	Clients can pause or lose connectivity after acquiring a lease and later act with stale ownership; correctness-critical designs need expiry discipline and often fencing tokens or a stronger coordination mechanism.	CONCEPT	Clients can pause or lose connectivity after acquiring a lease and later act with stale ownership; correctness-critical designs need expiry discipline and often fencing tokens or a stronger coordination mechanism.	NORMALIZED_SPACING	A lease can expire while the old owner is still running.	Redis	90
What is Prometheus's common metrics collection model?	Prometheus commonly pulls metrics from configured scrape targets at intervals and stores time-series samples identified by metric names and labels.	CONCEPT	Prometheus commonly pulls metrics from configured scrape targets at intervals and stores time-series samples identified by metric names and labels.	NORMALIZED_SPACING	Think scrape targets rather than applications pushing every sample.	Observability Stack	75
Why is high-cardinality labeling dangerous in Prometheus?	Labels such as user IDs or transaction IDs create huge numbers of distinct time series, increasing memory, storage, and query cost; use logs or traces for per-request identity.	CONCEPT	Labels such as user IDs or transaction IDs create huge numbers of distinct time series, increasing memory, storage, and query cost; use logs or traces for per-request identity.	NORMALIZED_SPACING	Every unique label set becomes a separate time series.	Observability Stack	90
What is Grafana's role relative to Prometheus?	Prometheus collects and queries time-series metrics, while Grafana is commonly used to visualize those metrics in dashboards and compose operational views and alerts from data sources.	CONCEPT	Prometheus collects and queries time-series metrics, while Grafana is commonly used to visualize those metrics in dashboards and compose operational views and alerts from data sources.	NORMALIZED_SPACING	Storage and query engine and visualization layer are different roles.	Observability Stack	75
What does an APM tool such as New Relic add beyond basic metrics?	APM can connect request traces, service dependencies, transaction timings, errors, and code-level hotspots so an engineer can follow a slow or failing path across components.	CONCEPT	APM can connect request traces, service dependencies, transaction timings, errors, and code-level hotspots so an engineer can follow a slow or failing path across components.	NORMALIZED_SPACING	Trace one transaction across services and code.	Observability Stack	90
What problem does Flyway solve?	Flyway applies ordered, versioned database migrations so schema evolution is repeatable and auditable across environments instead of relying on manual changes.	CONCEPT	Flyway applies ordered, versioned database migrations so schema evolution is repeatable and auditable across environments instead of relying on manual changes.	NORMALIZED_SPACING	Schema changes become deployable versioned artifacts.	Flyway	75
What makes a database migration safe during a rolling deployment?	Prefer backward-compatible expand-and-contract changes so old and new application versions can coexist; avoid dropping or changing a contract before all consumers have moved.	CONCEPT	Prefer backward-compatible expand-and-contract changes so old and new application versions can coexist; avoid dropping or changing a contract before all consumers have moved.	NORMALIZED_SPACING	Mixed application versions may run against the schema simultaneously.	Flyway	90
What is the main benefit of jOOQ in a Java backend?	It provides a fluent SQL-oriented DSL and generated schema types, preserving the power of relational SQL while catching many table, column, and type mistakes at compile time.	CONCEPT	It provides a fluent SQL-oriented DSL and generated schema types, preserving the power of relational SQL while catching many table, column, and type mistakes at compile time.	NORMALIZED_SPACING	SQL-first does not have to mean stringly typed.	jOOQ	90
What does Spock's given-when-then style encourage?	It structures a specification around setup, action, and observable outcome, making scenario intent explicit and supporting expressive data-driven tests on the JVM.	CONCEPT	It structures a specification around setup, action, and observable outcome, making scenario intent explicit and supporting expressive data-driven tests on the JVM.	NORMALIZED_SPACING	Separate context, behavior, and expected result.	Testing Stack	75
Why should Docker images be treated as immutable deployment artifacts?	Build a versioned image once and promote the same artifact through environments; changing a running container or rebuilding differently per environment destroys reproducibility and rollback confidence.	CONCEPT	Build a versioned image once and promote the same artifact through environments; changing a running container or rebuilding differently per environment destroys reproducibility and rollback confidence.	NORMALIZED_SPACING	Configuration can vary, but the binary artifact should not.	Containers	90
Why is a Kubernetes Secret not automatically equivalent to a dedicated secrets manager?	Kubernetes Secrets require correct encryption-at-rest, RBAC, rotation, and access controls and may still be exposed to workloads or cluster administrators; sensitive material needs an explicit threat model.	CONCEPT	Kubernetes Secrets require correct encryption-at-rest, RBAC, rotation, and access controls and may still be exposed to workloads or cluster administrators; sensitive material needs an explicit threat model.	NORMALIZED_SPACING	Base64 encoding is not encryption.	Kubernetes Security	90
Why do GCP region and zone choices matter for availability?	A zone is one failure domain inside a region; spreading replicas across zones can tolerate zonal failure, while multi-region designs address larger failures at much greater consistency, networking, and operational cost.	CONCEPT	A zone is one failure domain inside a region; spreading replicas across zones can tolerate zonal failure, while multi-region designs address larger failures at much greater consistency, networking, and operational cost.	NORMALIZED_SPACING	Choose redundancy to match the failure domain you need to survive.	GCP	90
Why should correlation IDs connect logs and traces in a distributed Java service?	A stable request or operation identifier lets engineers join events across asynchronous and service boundaries, reducing the time needed to reconstruct one failing transaction from distributed telemetry.	CONCEPT	A stable request or operation identifier lets engineers join events across asynchronous and service boundaries, reducing the time needed to reconstruct one failing transaction from distributed telemetry.	NORMALIZED_SPACING	Make one business operation searchable across components.	Observability Stack	90
