front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Is OAuth2 an authentication protocol or an authorization protocol?	Authorization: it lets a client obtain limited access to a resource on a user's behalf, without necessarily proving who the user is.	RECALL	Authorization: it lets a client obtain limited access to a resource on a user's behalf, without necessarily proving who the user is.	CASE_INSENSITIVE	It answers "what can this client do," not "who is this person."	OAuth2/OIDC & Service Auth	60
What are the four core roles defined in OAuth2?	Resource owner, client, authorization server, and resource server.	RECALL	["Resource owner, client, authorization server, resource server","resource owner client authorization server resource server"]	CASE_INSENSITIVE	One owns data, one wants access, one issues tokens, one hosts the protected data.	OAuth2/OIDC & Service Auth	45
Why does OAuth2 alone not prove a user's identity to the client application?	OAuth2 only issues an access token scoped to some permissions; it does not define a standard way for the client to learn who the resource owner actually is, which is why OpenID Connect was built on top of it.	CONCEPT	OAuth2 only issues an access token scoped to some permissions; it does not define a standard way for the client to learn who the resource owner actually is, which is why OpenID Connect was built on top of it.	NORMALIZED_SPACING	Getting access to data is not the same as being told whose data it is.	OAuth2/OIDC & Service Auth	90
What does OpenID Connect (OIDC) add on top of OAuth2?	An ID token (a signed JWT with claims about the authenticated user, such as subject and issuer) and a standardized way for the client to verify the user's identity, layered on OAuth2's authorization flows.	CONCEPT	An ID token (a signed JWT with claims about the authenticated user, such as subject and issuer) and a standardized way for the client to verify the user's identity, layered on OAuth2's authorization flows.	NORMALIZED_SPACING	OIDC is the identity layer OAuth2 was missing.	OAuth2/OIDC & Service Auth	90
Which OAuth2 grant type is recommended for a server-side web application that can securely store a client secret?	Authorization code grant.	RECALL	["Authorization code grant","authorization code"]	CASE_INSENSITIVE	It's the classic redirect-and-exchange-a-code flow.	OAuth2/OIDC & Service Auth	45
Why do public clients (mobile apps, single-page apps) use the authorization code flow with PKCE instead of the plain authorization code flow?	Public clients cannot safely store a client secret, so PKCE adds a per-request code verifier/challenge pair that proves the app exchanging the code is the same one that started the flow, protecting against interception of the authorization code.	CONCEPT	Public clients cannot safely store a client secret, so PKCE adds a per-request code verifier/challenge pair that proves the app exchanging the code is the same one that started the flow, protecting against interception of the authorization code.	NORMALIZED_SPACING	No secret to prove identity, so prove it with a one-time verifier instead.	OAuth2/OIDC & Service Auth	90
In the OAuth2 authorization code flow, what threat does the "state" parameter defend against?	Cross-site request forgery on the redirect callback: the client generates a random state value, and after redirect verifies the returned state matches, ensuring the authorization response corresponds to a request it actually initiated.	CONCEPT	Cross-site request forgery on the redirect callback: the client generates a random state value, and after redirect verifies the returned state matches, ensuring the authorization response corresponds to a request it actually initiated.	NORMALIZED_SPACING	It ties the callback back to a request the client itself started.	OAuth2/OIDC & Service Auth	90
Why must an authorization server strictly validate the redirect_uri against a pre-registered allowlist rather than accepting any value the client sends?	An attacker who can redirect the authorization code (or token) to an arbitrary URI could steal it and impersonate the legitimate user's session at the client application.	CONCEPT	An attacker who can redirect the authorization code (or token) to an arbitrary URI could steal it and impersonate the legitimate user's session at the client application.	NORMALIZED_SPACING	A loose redirect_uri check turns the flow into an open redirect vulnerability.	OAuth2/OIDC & Service Auth	90
Which OAuth2 grant type is appropriate for service-to-service authentication with no end user involved at all?	Client credentials grant.	RECALL	["Client credentials grant","client credentials"]	CASE_INSENSITIVE	There is no resource owner to redirect; the service itself is the client.	OAuth2/OIDC & Service Auth	45
What does an OAuth2 refresh token let a client do that an access token alone cannot?	Obtain a new access token after the current one expires, without requiring the resource owner to re-authenticate and re-authorize the client from scratch.	RECALL	Obtain a new access token after the current one expires, without requiring the resource owner to re-authenticate and re-authorize the client from scratch.	CASE_INSENSITIVE	It renews access without repeating the user's login.	OAuth2/OIDC & Service Auth	75
