front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Why is double-entry accounting a strong foundation for a money ledger?	Every financial movement records balanced debit and credit entries, creating a conservation invariant that makes missing or duplicated value easier to detect and audit.	CONCEPT	Every financial movement records balanced debit and credit entries, creating a conservation invariant that makes missing or duplicated value easier to detect and audit.	NORMALIZED_SPACING	Every movement has an equal accounting counterpart.	Fintech Ledger	90
What is the difference between ledger balance and available balance?	Ledger balance reflects posted accounting entries, while available balance adjusts for pending holds, reservations, limits, or other not-yet-posted effects that affect what the customer can spend now.	CONCEPT	Ledger balance reflects posted accounting entries, while available balance adjusts for pending holds, reservations, limits, or other not-yet-posted effects that affect what the customer can spend now.	NORMALIZED_SPACING	Posted truth and spendable-now can differ.	Fintech Ledger	90
What is the difference between payment authorization, capture, and settlement?	Authorization reserves or approves funds, capture confirms the merchant intends to collect, and settlement is the later movement and reconciliation of funds between financial parties.	CONCEPT	Authorization reserves or approves funds, capture confirms the merchant intends to collect, and settlement is the later movement and reconciliation of funds between financial parties.	NORMALIZED_SPACING	Approval, collection intent, then inter-party money movement.	Payments	90
Why should a payment be modeled as an explicit state machine?	Payment processing is asynchronous and retry-prone; legal transitions prevent impossible combinations and make late callbacks, reversals, retries, and terminal states deterministic.	CONCEPT	Payment processing is asynchronous and retry-prone; legal transitions prevent impossible combinations and make late callbacks, reversals, retries, and terminal states deterministic.	NORMALIZED_SPACING	A status string without transition rules is not enough.	Payments	90
How should a payment API handle an idempotency key?	Persist the key with the operation identity and outcome inside a durable correctness boundary, return the same semantic result for retries, and reject unsafe key reuse for a different request.	CONCEPT	Persist the key with the operation identity and outcome inside a durable correctness boundary, return the same semantic result for retries, and reject unsafe key reuse for a different request.	NORMALIZED_SPACING	Deduplication must survive process restarts.	Payments	90
Why must payment-provider webhooks be processed idempotently?	Providers retry callbacks when acknowledgements are lost or delayed, so the same event may arrive multiple times and must not duplicate captures, refunds, notifications, or ledger entries.	CONCEPT	Providers retry callbacks when acknowledgements are lost or delayed, so the same event may arrive multiple times and must not duplicate captures, refunds, notifications, or ledger entries.	NORMALIZED_SPACING	Duplicate delivery is expected behavior.	Payments	90
Why should monetary amounts avoid binary floating-point?	Binary floating-point cannot exactly represent many decimal fractions and can introduce rounding drift; use integer minor units or a decimal type with explicit currency-specific scale and rounding.	CONCEPT	Binary floating-point cannot exactly represent many decimal fractions and can introduce rounding drift; use integer minor units or a decimal type with explicit currency-specific scale and rounding.	NORMALIZED_SPACING	Money needs deterministic decimal arithmetic.	Money Representation	75
Why should ledger entries normally be immutable?	Audit history must preserve what was originally posted; corrections should be represented by compensating or reversal entries rather than silently rewriting financial history.	CONCEPT	Audit history must preserve what was originally posted; corrections should be represented by compensating or reversal entries rather than silently rewriting financial history.	NORMALIZED_SPACING	Correct history by adding entries, not erasing evidence.	Fintech Ledger	90
What is reconciliation in a payment system?	Reconciliation compares internal records with processor, bank, or network records to find missing, duplicated, delayed, or mismatched transactions and drive controlled correction.	CONCEPT	Reconciliation compares internal records with processor, bank, or network records to find missing, duplicated, delayed, or mismatched transactions and drive controlled correction.	NORMALIZED_SPACING	Independent records should agree over a defined period.	Payments Operations	90
What is settlement risk in a payment flow?	The user-facing transaction may appear complete before external funds have finally moved, so the system must track obligations and failures that can occur between authorization or capture and final settlement.	CONCEPT	The user-facing transaction may appear complete before external funds have finally moved, so the system must track obligations and failures that can occur between authorization or capture and final settlement.	NORMALIZED_SPACING	Customer-visible success and final money movement can be separated in time.	Payments	90
