front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
How should an authorization hold expire safely?	Store the hold as explicit ledger or reservation state with an expiry policy, release it idempotently after the deadline, and handle late captures according to the payment-network contract rather than silently deleting history.	CONCEPT		NORMALIZED_SPACING	Expiry is a state transition, not row deletion.	Payments	90
What is a partial capture?	A merchant captures less than the originally authorized amount; the system must post only the captured amount and release or retain the remaining authorization according to scheme rules.	CONCEPT		NORMALIZED_SPACING	Authorization amount and final capture amount can differ.	Payments	90
How should multiple partial refunds be constrained?	Track cumulative refunded amount against the captured amount and enforce the invariant atomically so concurrent refund requests cannot return more money than was collected.	CONCEPT		NORMALIZED_SPACING	Refund capacity is a concurrent financial invariant.	Payments	90
How is an authorization reversal different from a refund?	A reversal cancels or releases an authorization before final settlement, while a refund returns money after a captured or settled payment; they occur at different lifecycle stages.	CONCEPT		NORMALIZED_SPACING	Undo a hold versus return posted money.	Payments	90
What must be atomic when posting a double-entry ledger transaction?	All debit and credit entries plus the transaction identity and posting state must commit in one database transaction so observers can never see an unbalanced partial posting.	CONCEPT		NORMALIZED_SPACING	Balanced entries cross the commit boundary together.	Fintech Ledger	90
Should account balance be derived from ledger entries or stored separately?	The ledger should remain authoritative; a stored balance can be a transactional projection for fast reads if every posting updates it atomically and reconciliation can detect drift.	CONCEPT		NORMALIZED_SPACING	Fast balance may be materialized, but source truth stays auditable.	Fintech Ledger	90
How should a system prevent an account from going below an allowed balance?	Enforce the available-funds check and balance reservation or debit in one serialized correctness boundary using locking, atomic conditional update or equivalent ledger rules.	CONCEPT		NORMALIZED_SPACING	Check and spend must not be separate races.	Fintech Concurrency	90
What makes a multi-currency ledger harder than a single-currency ledger?	Each account and entry needs an explicit currency, cross-currency transfers require paired conversion legs and preserved rates, and rounding differences must be posted deliberately rather than hidden.	CONCEPT		NORMALIZED_SPACING	Currency is part of the accounting invariant.	Fintech Ledger	90
Where should FX spread and fees be represented?	Represent them as explicit pricing facts and ledger entries or components so the customer amount, converted amount, rate, spread and fee can be reconstructed and audited independently.	CONCEPT		NORMALIZED_SPACING	Do not hide revenue inside an unexplained rate.	FX	90
How should rounding residuals in currency conversion be handled?	Apply a documented currency-specific rounding rule and post any required residual to an explicit rounding account rather than allowing balance equations to drift invisibly.	CONCEPT		NORMALIZED_SPACING	Accounting must still balance after rounding.	FX	90
Why should payment fees be separate ledger entries from the principal movement?	Separate entries preserve transparency, reversibility, reporting and reconciliation so a fee can be taxed, refunded or analyzed without reconstructing it from a net amount.	CONCEPT		NORMALIZED_SPACING	Gross movement and fee economics are different facts.	Fintech Ledger	90
What happens to fees when a payment is reversed or refunded?	The product and processor rules determine whether each fee is refundable; encode that policy explicitly and create compensating fee entries rather than assuming every principal reversal also reverses every fee.	CONCEPT		NORMALIZED_SPACING	Fee reversal policy is independent business logic.	Payments	90
What is the basic lifecycle of a chargeback?	A disputed transaction moves through notification, evidence and representment windows, network decisions and possible financial reversals; the platform must track deadlines and accounting effects as a separate state machine.	CONCEPT		NORMALIZED_SPACING	A chargeback is a workflow, not one boolean flag.	Payments	90
How should duplicate callbacks with different provider event IDs but the same business transaction be handled?	Deduplicate both at the event identity level and enforce business-state invariants, because a provider may legitimately emit multiple distinct notifications about one payment transition.	CONCEPT		NORMALIZED_SPACING	Event uniqueness alone is not the business invariant.	Payments	90
Which system should win when internal payment status disagrees with a processor during reconciliation?	Use a defined source-of-truth hierarchy per lifecycle stage, preserve both observations, and create a controlled repair workflow rather than overwriting whichever side differs.	CONCEPT		NORMALIZED_SPACING	Reconciliation needs explicit authority rules.	Payments Operations	90
What is an unmatched reconciliation item?	It is an external or internal transaction with no corresponding record on the other side; it should enter an exception queue with enough identifiers and aging information for automated or manual resolution.	CONCEPT		NORMALIZED_SPACING	Differences need a durable operations workflow.	Payments Operations	90
What is settlement batching?	Processors or banks often aggregate many transactions into settlement files or net positions; the platform must map individual payment obligations to the batch totals and reconcile both levels.	CONCEPT		NORMALIZED_SPACING	Customer transactions and bank movement may settle at different granularity.	Settlement	90
How should provider failover preserve payment idempotency?	Do not simply resend an ambiguous operation to a second provider; resolve the first provider's outcome or use a globally unique business operation and routing state so failover cannot create two successful charges.	CONCEPT		NORMALIZED_SPACING	Failover can duplicate money movement if ambiguity is ignored.	Payments Architecture	90
What factors belong in payment-provider routing?	Consider capability, geography, cost, approval rate, latency, availability, fraud support and contractual constraints, while keeping routing decisions observable and retry-safe.	CONCEPT		NORMALIZED_SPACING	Routing is a product and reliability decision, not random load balancing.	Payments Architecture	90
Why can 3-D Secure or step-up authentication complicate a payment state machine?	The payment may pause for customer interaction and later resume through callbacks or redirects, so the system needs durable pending states, expiry and idempotent continuation.	CONCEPT		NORMALIZED_SPACING	Authentication introduces an asynchronous branch.	Payments	90
Where should KYC and AML checks sit in a money-movement architecture?	Identity eligibility, sanctions and transaction-monitoring controls should be explicit policy gates around regulated actions, with auditable decisions and clear handling for unavailable screening dependencies.	CONCEPT		NORMALIZED_SPACING	Compliance decisions are first-class workflow states.	Fintech Compliance	90
What should happen if a synchronous fraud model is unavailable?	Follow an explicit risk policy based on transaction type and exposure: fail closed, route to manual review, apply lower limits or selectively fail open only where the business has accepted that risk.	CONCEPT		NORMALIZED_SPACING	Degraded behavior must be predetermined.	Fraud & Risk	90
What are velocity limits?	They restrict counts or amounts over time windows such as transfers per minute or spend per day, using dimensions like account, card, device or beneficiary to detect abuse and cap exposure.	CONCEPT		NORMALIZED_SPACING	Risk often depends on behavior over a window.	Fraud & Risk	90
Why should fraud decisions be explainable enough for operations?	Operations need reason codes and contributing signals to investigate false positives, customer complaints and model drift without exposing sensitive detection logic to attackers.	CONCEPT		NORMALIZED_SPACING	Provide actionable reasons without leaking the defense.	Fraud & Risk	90
How does tokenization reduce payment-data risk?	Replace sensitive identifiers such as card numbers with scoped tokens so most services store and process only tokens, reducing exposure and often shrinking compliance scope.	CONCEPT		NORMALIZED_SPACING	Keep raw sensitive data out of ordinary services.	Payments Security	90
What architectural decisions can reduce PCI DSS scope?	Isolate card-data handling behind a tightly controlled service or provider tokenization boundary, minimize storage, restrict access and ensure other systems receive only tokens or non-sensitive references.	CONCEPT		NORMALIZED_SPACING	Reduce how many components can see cardholder data.	Payments Security	90
Why is financial-data deletion more complex than ordinary account deletion?	Regulatory retention and audit obligations may require preserving transaction records while removing or pseudonymizing customer-identifying data, so retention rules must distinguish accounting facts from removable profile data.	CONCEPT		NORMALIZED_SPACING	Privacy and audit retention can pull in different directions.	Fintech Compliance	90
What is maker-checker control?	A sensitive operation is initiated by one authorized actor and approved by another independent actor, reducing fraud or error risk for high-impact administrative actions.	CONCEPT		NORMALIZED_SPACING	Separate initiation from approval.	Fintech Controls	90
How should transaction limits be enforced under concurrency?	Reserve or increment the relevant limit usage atomically with the transaction decision so two simultaneous requests cannot both see remaining allowance and exceed the cap.	CONCEPT		NORMALIZED_SPACING	Limit checks must share the same race-proof boundary as approval.	Fintech Concurrency	90
What automated invariant checks should run against a ledger?	Continuously verify balanced postings, unique transaction identities, currency consistency, allowed account states and agreement between materialized balances and recomputed ledger totals, then alert on any drift.	CONCEPT		NORMALIZED_SPACING	Accounting invariants can be monitored as data-quality controls.	Fintech Ledger	90
