front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What four properties does ACID stand for in database transactions?	Atomicity, Consistency, Isolation, Durability.	RECALL	["Atomicity, Consistency, Isolation, Durability","atomicity consistency isolation durability"]	CASE_INSENSITIVE	Each letter names one correctness guarantee.	DB Transactions & Locking	30
A transfer debits one account and credits another in the same transaction, then the process crashes after the debit but before the credit. Which ACID property, if honored, prevents the money from vanishing?	Atomicity: the transaction is all-or-nothing, so a crash mid-transaction rolls back the debit too instead of leaving a partial change.	CONCEPT	Atomicity: the transaction is all-or-nothing, so a crash mid-transaction rolls back the debit too instead of leaving a partial change.	NORMALIZED_SPACING	Think "all steps commit, or none do."	DB Transactions & Locking	60
What is a dirty read?	A transaction reads a row that another transaction has modified but not yet committed, and that change may later be rolled back.	RECALL	["reading uncommitted changes from another transaction","a read of another transaction's uncommitted write"]	CASE_INSENSITIVE	The data you read might disappear if the writer rolls back.	DB Transactions & Locking	45
What is a non-repeatable read?	Re-reading the same row within one transaction returns different data because another transaction committed an update in between.	CONCEPT	Re-reading the same row within one transaction returns different data because another transaction committed an update in between.	NORMALIZED_SPACING	Same row, different value, same transaction.	DB Transactions & Locking	60
What is a phantom read?	Re-running the same range query within one transaction returns a different set of rows because another transaction inserted or deleted rows that match the filter.	CONCEPT	Re-running the same range query within one transaction returns a different set of rows because another transaction inserted or deleted rows that match the filter.	NORMALIZED_SPACING	Non-repeatable read is about one row changing; this is about the row set changing.	DB Transactions & Locking	60
What is a lost update?	Two transactions read the same value, each computes a new value independently, and the second commit silently overwrites the first, discarding one of the updates.	CONCEPT	Two transactions read the same value, each computes a new value independently, and the second commit silently overwrites the first, discarding one of the updates.	NORMALIZED_SPACING	Think read-modify-write done by two writers without coordination.	DB Transactions & Locking	60
Order the standard SQL isolation levels from weakest to strongest.	Read Uncommitted, Read Committed, Repeatable Read, Serializable.	RECALL	["Read Uncommitted, Read Committed, Repeatable Read, Serializable","read uncommitted read committed repeatable read serializable"]	CASE_INSENSITIVE	Four levels, increasing guarantees, decreasing concurrency.	DB Transactions & Locking	45
Which isolation level is the default in PostgreSQL?	Read Committed.	RECALL	["Read Committed","read committed"]	CASE_INSENSITIVE	Each statement sees a fresh snapshot of committed data.	DB Transactions & Locking	30
Which isolation level is the default for InnoDB in MySQL?	Repeatable Read.	RECALL	["Repeatable Read","repeatable read"]	CASE_INSENSITIVE	MySQL's default is one level stricter than Postgres's default.	DB Transactions & Locking	30
A payroll job reads every employee's salary, then a second pass gives each employee a raise based on the value it read. Under Repeatable Read, why can two concurrent runs of this job still produce a wrong total even though neither sees a dirty or non-repeatable read?	This is write skew: each transaction reads a disjoint set of rows that satisfy an invariant together, then both write based on stale reads, violating the invariant even though neither transaction's own reads changed.	CONCEPT	This is write skew: each transaction reads a disjoint set of rows that satisfy an invariant together, then both write based on stale reads, violating the invariant even though neither transaction's own reads changed.	NORMALIZED_SPACING	Repeatable Read fixes rows you read, not rows you never looked at that affect the same invariant.	DB Transactions & Locking	90
