front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Why should a calling service's HTTP client timeout generally be shorter than the callee's own request-processing timeout?	If the caller times out and moves on (or retries) while the callee is still working, the caller stops waiting for a response it will never use, while a longer caller timeout would tie up the caller's own resources waiting past the point where it could have already given up.	CONCEPT	If the caller times out and moves on (or retries) while the callee is still working, the caller stops waiting for a response it will never use, while a longer caller timeout would tie up the caller's own resources waiting past the point where it could have already given up.	NORMALIZED_SPACING	The caller should never wait longer than it's willing to actually use the answer.	Failure Scenarios & Resilience	90
In a chain of service A calling B calling C, what problem occurs if each service independently uses the same fixed timeout (for example, 5 seconds) without a shared deadline budget?	Retries or delays at C can consume most of B's timeout budget before B even finishes calling C, leaving B little or no time to respond to A within A's own timeout, so failures can cascade upward even though each individual timeout looked reasonable in isolation.	CONCEPT	Retries or delays at C can consume most of B's timeout budget before B even finishes calling C, leaving B little or no time to respond to A within A's own timeout, so failures can cascade upward even though each individual timeout looked reasonable in isolation.	NORMALIZED_SPACING	Timeouts need to be part of a shared budget across the whole call chain, not set independently per hop.	Failure Scenarios & Resilience	90
What is exponential backoff in a retry strategy?	Each successive retry waits progressively longer (for example, doubling the delay each time) before trying again, rather than retrying immediately or at a fixed interval, giving a struggling dependency more room to recover.	RECALL	Each successive retry waits progressively longer (for example, doubling the delay each time) before trying again, rather than retrying immediately or at a fixed interval, giving a struggling dependency more room to recover.	CASE_INSENSITIVE	Each retry waits longer than the last.	Failure Scenarios & Resilience	75
Why is adding random jitter to exponential backoff important when many clients are retrying the same failed dependency simultaneously?	Without jitter, many clients that failed at roughly the same time will all retry at roughly the same future instant, recreating the same overload spike that caused the original failure; randomizing the delay spreads retries out over time instead.	CONCEPT	Without jitter, many clients that failed at roughly the same time will all retry at roughly the same future instant, recreating the same overload spike that caused the original failure; randomizing the delay spreads retries out over time instead.	NORMALIZED_SPACING	Synchronized backoff just recreates the thundering herd on a delay.	Failure Scenarios & Resilience	90
What is "retry amplification" across a multi-hop call chain, and why is it dangerous?	If every layer in a call chain independently retries a failure a few times, the total number of underlying attempts multiplies across layers (for example, 3 retries at each of 3 layers can become up to 27 actual attempts), which can turn a struggling downstream service's overload into a much larger overload.	CONCEPT	If every layer in a call chain independently retries a failure a few times, the total number of underlying attempts multiplies across layers (for example, 3 retries at each of 3 layers can become up to 27 actual attempts), which can turn a struggling downstream service's overload into a much larger overload.	NORMALIZED_SPACING	Retries at every layer compound multiplicatively, not just additively.	Failure Scenarios & Resilience	90
Describe the three states of a circuit breaker and when each is active.	Closed: requests flow normally and failures are counted; Open: after too many failures, requests fail immediately without calling the dependency, giving it time to recover; Half-Open: after a cooldown, a limited number of trial requests are allowed through to test if the dependency has recovered before fully closing again.	CONCEPT	Closed: requests flow normally and failures are counted; Open: after too many failures, requests fail immediately without calling the dependency, giving it time to recover; Half-Open: after a cooldown, a limited number of trial requests are allowed through to test if the dependency has recovered before fully closing again.	NORMALIZED_SPACING	Normal, then tripped-and-blocking, then cautiously testing recovery.	Failure Scenarios & Resilience	90
Why does a circuit breaker's "open" state actually help the failing downstream dependency recover, rather than just protecting the caller?	While open, the caller stops sending requests to the struggling dependency entirely, removing load from it during the exact period it needs to recover, instead of continuing to pile on requests (and their retries) that make the outage worse.	CONCEPT	While open, the caller stops sending requests to the struggling dependency entirely, removing load from it during the exact period it needs to recover, instead of continuing to pile on requests (and their retries) that make the outage worse.	NORMALIZED_SPACING	Stopping traffic is a mercy to the failing dependency, not just self-protection.	Failure Scenarios & Resilience	90
What is the bulkhead pattern, named after ship compartments?	Isolate resources (thread pools, connection pools) per dependency so that one slow or failing dependency can only exhaust its own allotted resources, instead of consuming shared resources that starve calls to unrelated, healthy dependencies.	CONCEPT	Isolate resources (thread pools, connection pools) per dependency so that one slow or failing dependency can only exhaust its own allotted resources, instead of consuming shared resources that starve calls to unrelated, healthy dependencies.	NORMALIZED_SPACING	Contain the flooding to one compartment instead of sinking the whole ship.	Failure Scenarios & Resilience	90
A service uses one shared thread pool for calls to both a fast internal service and a slow, occasionally-hanging third-party API. What cascading failure can result when the third-party API becomes slow?	Threads pile up waiting on the slow third-party calls until the shared pool is exhausted, leaving no threads available to handle requests to the fast internal service either, so an unrelated dependency's slowness takes down the entire service.	CONCEPT	Threads pile up waiting on the slow third-party calls until the shared pool is exhausted, leaving no threads available to handle requests to the fast internal service either, so an unrelated dependency's slowness takes down the entire service.	NORMALIZED_SPACING	A shared, unbounded resource pool lets one dependency's failure become everyone's failure.	Failure Scenarios & Resilience	90
What is backpressure, in the context of an overloaded service?	A mechanism for a service (or queue) under load to signal or enforce that producers slow down or that excess requests are rejected/queued, rather than silently accepting unlimited work it cannot actually keep up with.	RECALL	A mechanism for a service (or queue) under load to signal or enforce that producers slow down or that excess requests are rejected/queued, rather than silently accepting unlimited work it cannot actually keep up with.	CASE_INSENSITIVE	It's the system pushing back on more work instead of silently drowning.	Failure Scenarios & Resilience	75
What is "load shedding," and why might deliberately rejecting some requests during an overload actually improve overall availability?	Load shedding intentionally rejects a portion of incoming requests (often the least important, like low-priority background work) once a service is near capacity, which keeps the remaining accepted requests fast and successful rather than letting the whole service slow down or fail for every request under overload.	CONCEPT	Load shedding intentionally rejects a portion of incoming requests (often the least important, like low-priority background work) once a service is near capacity, which keeps the remaining accepted requests fast and successful rather than letting the whole service slow down or fail for every request under overload.	NORMALIZED_SPACING	Deliberately failing some requests can protect the majority from failing too.	Failure Scenarios & Resilience	90
