front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Why do disk-oriented indexes favor wide, shallow trees over binary trees?	High fanout packs many separator keys into each page, reducing tree height and therefore the number of expensive page reads per lookup.	CONCEPT	High fanout packs many separator keys into each page, reducing tree height and therefore the number of expensive page reads per lookup.	NORMALIZED_SPACING	One I/O per level matters.	B-Tree Fundamentals	75
What role do separator keys play in a B-Tree internal node?	They divide the key space and direct a lookup to the correct child page.	RECALL	They divide the key space and direct a lookup to the correct child page.	CASE_INSENSITIVE	They route; they are not necessarily full records.	B-Tree Fundamentals	45
Why can a B-Tree support both point lookups and range scans efficiently?	Its hierarchy locates a starting key quickly, and ordered leaf entries can then be traversed sequentially.	CONCEPT	Its hierarchy locates a starting key quickly, and ordered leaf entries can then be traversed sequentially.	NORMALIZED_SPACING	Locate, then scan in order.	B-Tree Fundamentals	75
What triggers a B-Tree node split?	An insertion overfills a page, so the node is divided and a separator is propagated to its parent.	CONCEPT	An insertion overfills a page, so the node is divided and a separator is propagated to its parent.	NORMALIZED_SPACING	Capacity is exceeded.	B-Tree Maintenance	75
Why can a split propagate all the way to the root?	Adding a separator to a full parent can overflow that parent, creating a chain of splits up the path.	CONCEPT	Adding a separator to a full parent can overflow that parent, creating a chain of splits up the path.	NORMALIZED_SPACING	A local change may grow the tree.	B-Tree Maintenance	75
What can happen when deletion leaves neighboring B-Tree nodes too empty?	The engine may redistribute entries or merge nodes to restore occupancy and balance requirements.	CONCEPT	The engine may redistribute entries or merge nodes to restore occupancy and balance requirements.	NORMALIZED_SPACING	Deletion can trigger structural repair.	B-Tree Maintenance	75
Why are B-Tree split and merge operations more complex under concurrency?	Readers and writers may observe multiple pages and parent pointers while the structure is changing, so updates must publish a consistent navigation path.	CONCEPT	Readers and writers may observe multiple pages and parent pointers while the structure is changing, so updates must publish a consistent navigation path.	NORMALIZED_SPACING	Structural changes cross page boundaries.	B-Tree Concurrency	75
How do sibling links help a concurrent B-Tree lookup survive a split?	If the key moved to a new right sibling, the lookup can follow the link instead of restarting from the root.	CONCEPT	If the key moved to a new right sibling, the lookup can follow the link instead of restarting from the root.	NORMALIZED_SPACING	Move sideways when the page boundary changes.	B-Tree Concurrency	75
What is a node high key?	It records the upper key boundary for a page, helping a search detect that it should continue to a right sibling.	CONCEPT	It records the upper key boundary for a page, helping a search detect that it should continue to a right sibling.	NORMALIZED_SPACING	A boundary check guards against stale parent routing.	B-Tree Concurrency	75
What problem do overflow pages solve?	They store values too large to fit comfortably in the main page while the primary record keeps a reference to the external fragments.	CONCEPT	They store values too large to fit comfortably in the main page while the primary record keeps a reference to the external fragments.	NORMALIZED_SPACING	Keep the index page compact.	B-Tree Implementation	75
Why can overflow pages hurt read performance?	Fetching one logical record may require additional random page reads and pointer chasing.	CONCEPT	Fetching one logical record may require additional random page reads and pointer chasing.	NORMALIZED_SPACING	Large values add indirection.	B-Tree Implementation	75
What is the advantage of bulk-loading a sorted dataset into a B-Tree?	The engine can build densely packed pages sequentially instead of paying for many random insertions and intermediate splits.	CONCEPT	The engine can build densely packed pages sequentially instead of paying for many random insertions and intermediate splits.	NORMALIZED_SPACING	Use known order to avoid incremental churn.	B-Tree Maintenance	75
Why can right-only appends be optimized in a B-Tree?	Monotonically increasing keys repeatedly target the right edge, allowing a fast path that avoids general-purpose search and rebalancing work.	CONCEPT	Monotonically increasing keys repeatedly target the right edge, allowing a fast path that avoids general-purpose search and rebalancing work.	NORMALIZED_SPACING	The insertion location is predictable.	B-Tree Maintenance	75
How do updates and deletes create fragmentation inside B-Tree pages?	Variable-size replacements and removed records leave holes that may not fit future writes even though total free space appears sufficient.	CONCEPT	Variable-size replacements and removed records leave holes that may not fit future writes even though total free space appears sufficient.	NORMALIZED_SPACING	Free space can be unusably scattered.	B-Tree Maintenance	75
What does page defragmentation do?	It compacts live records and rebuilds page offsets so fragmented free space becomes contiguous and reusable.	CONCEPT	It compacts live records and rebuilds page offsets so fragmented free space becomes contiguous and reusable.	NORMALIZED_SPACING	Repack the page.	B-Tree Maintenance	75
Why is vacuum or garbage collection required after logical deletion?	Deletion markers and obsolete versions remain physically stored until background maintenance proves they are no longer visible and reclaims the space.	CONCEPT	Deletion markers and obsolete versions remain physically stored until background maintenance proves they are no longer visible and reclaims the space.	NORMALIZED_SPACING	Logical disappearance is not physical reclamation.	B-Tree Maintenance	75
What is a buffer pool?	A database-managed cache of disk pages in memory.	RECALL	A database-managed cache of disk pages in memory.	CASE_INSENSITIVE	It sits between operators and persistent storage.	Buffer Management	45
Why does a database manage its own buffer pool instead of relying only on the operating-system page cache?	It knows transaction state, page importance, dirty status, and access patterns, allowing database-specific eviction and flushing decisions.	CONCEPT	It knows transaction state, page importance, dirty status, and access patterns, allowing database-specific eviction and flushing decisions.	NORMALIZED_SPACING	The database has semantic knowledge the OS lacks.	Buffer Management	75
What is a dirty page?	A cached page whose in-memory contents differ from the durable copy on disk.	CONCEPT	A cached page whose in-memory contents differ from the durable copy on disk.	NORMALIZED_SPACING	It has changes that still need flushing.	Buffer Management	75
Why must a page sometimes be pinned in the buffer pool?	Pinning prevents eviction while an operation is actively reading or modifying the page.	CONCEPT	Pinning prevents eviction while an operation is actively reading or modifying the page.	NORMALIZED_SPACING	The user of the page needs a stable resident copy.	Buffer Management	75
What risk appears if the buffer pool evicts a dirty page without coordinating with recovery logging?	A crash may leave data changes on disk without sufficient log information to redo or undo them safely.	CONCEPT	A crash may leave data changes on disk without sufficient log information to redo or undo them safely.	NORMALIZED_SPACING	Data and log ordering must agree.	Buffer Management	75
Why can simple LRU perform poorly for a large one-time table scan?	The scan can evict frequently reused pages even though each scanned page is unlikely to be accessed again soon.	CONCEPT	The scan can evict frequently reused pages even though each scanned page is unlikely to be accessed again soon.	NORMALIZED_SPACING	Sequential pollution defeats recency.	Buffer Management	75
How does a CLOCK-style policy approximate LRU?	It cycles through pages and uses reference bits to give recently touched pages another chance before eviction.	CONCEPT	It cycles through pages and uses reference bits to give recently touched pages another chance before eviction.	NORMALIZED_SPACING	A cheaper recency approximation.	Buffer Management	75
What is write-ahead logging?	The rule that recovery log records describing a change reach durable storage before the changed data page does.	RECALL	The rule that recovery log records describing a change reach durable storage before the changed data page does.	CASE_INSENSITIVE	Log first, data page later.	Recovery	45
