front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What architectural decision does `Executor` separate from task submission?	It separates what work should run from the execution policy that decides which thread runs it, when it runs, queueing, limits, and lifecycle.	CONCEPT	It separates what work should run from the execution policy that decides which thread runs it, when it runs, queueing, limits, and lifecycle.	NORMALIZED_SPACING	Task definition and task execution policy become independent.	JCIP Ch06 - Task Execution	75
Why is thread-per-task more stable than sequential execution at low load but dangerous under heavy load?	It improves concurrency and responsiveness, but unbounded thread creation can exhaust memory and scheduling capacity; a bounded execution policy is safer.	CONCEPT	It improves concurrency and responsiveness, but unbounded thread creation can exhaust memory and scheduling capacity; a bounded execution policy is safer.	NORMALIZED_SPACING	It trades serialization for resource risk.	JCIP Ch06 - Task Execution	75
What lifecycle states does an `ExecutorService` move through?	Running, shutting down, and terminated.	RECALL	["running, shutting down, terminated","running shutting down terminated"]	CASE_INSENSITIVE	Shutdown begins a transition; termination completes it.	JCIP Ch06 - Task Execution	30
Compare `shutdown()` and `shutdownNow()`.	`shutdown()` stops accepting new tasks but lets submitted tasks finish; `shutdownNow()` attempts interruption of running tasks and returns queued tasks that never started.	CONCEPT	`shutdown()` stops accepting new tasks but lets submitted tasks finish; `shutdownNow()` attempts interruption of running tasks and returns queued tasks that never started.	NORMALIZED_SPACING	Graceful versus abrupt shutdown.	JCIP Ch06 - Task Execution	75
What does `Future.get()` do when the task failed with an exception?	It throws `ExecutionException`, whose cause is the task's original exception.	RECALL	["throws ExecutionException wrapping the cause","ExecutionException"]	CASE_INSENSITIVE	Cancellation uses a different exception.	JCIP Ch06 - Task Execution	30
Why is submitting a `Callable` to an executor also a safe-publication mechanism?	Executor submission establishes synchronization that makes the task state visible to the worker; completing the Future similarly publishes the result to a thread calling `get()`.	CONCEPT	Executor submission establishes synchronization that makes the task state visible to the worker; completing the Future similarly publishes the result to a thread calling `get()`.	NORMALIZED_SPACING	Handoff utilities carry memory-ordering guarantees.	JCIP Ch06 - Task Execution	75
When is `CompletionService` better than collecting Futures in submission order?	When tasks finish at different times and results should be processed as soon as each completes, regardless of submission order.	CONCEPT	When tasks finish at different times and results should be processed as soon as each completes, regardless of submission order.	NORMALIZED_SPACING	Completion order avoids waiting behind a slow earlier task.	JCIP Ch06 - Task Execution	75
A page renderer downloads one slow image and blocks before starting all other independent downloads. What refactoring exposes parallelism?	Submit independent downloads as tasks first, perform local work while they run, then retrieve results; process completed results through a CompletionService when order is unimportant.	CONCEPT	Submit independent downloads as tasks first, perform local work while they run, then retrieve results; process completed results through a CompletionService when order is unimportant.	NORMALIZED_SPACING	Separate independent I/O from final assembly.	JCIP Ch06 - Task Execution	75
What executor should usually replace `Timer` for delayed and periodic tasks?	`ScheduledThreadPoolExecutor` or `Executors.newScheduledThreadPool`.	RECALL	["ScheduledThreadPoolExecutor","Executors.newScheduledThreadPool","scheduled thread pool"]	CASE_INSENSITIVE	A pool avoids one slow task delaying every timer task.	JCIP Ch06 - Task Execution	30
What is printed? `FutureTask<Integer> f = new FutureTask<>(() -> 7); f.run(); System.out.print(f.get());`	7	CODE_OUTPUT	7	EXACT	FutureTask is both Runnable and Future.	JCIP Ch06 - Task Execution	40
Why should long-running operations accept a time budget instead of repeatedly using independent full timeouts?	Each blocking step should receive only the remaining budget, so total latency stays bounded rather than multiplying the timeout across sub-operations.	CONCEPT	Each blocking step should receive only the remaining budget, so total latency stays bounded rather than multiplying the timeout across sub-operations.	NORMALIZED_SPACING	Deadline-based design preserves the caller's end-to-end limit.	JCIP Ch06 - Task Execution	75
