front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which JDBC interface represents the result of a SELECT query?	ResultSet	RECALL	ResultSet	CASE_INSENSITIVE	It is returned by executeQuery and is navigated with next().	JDBC SQL	20
Which JDBC method executes an INSERT, UPDATE, or DELETE statement and returns the number of affected rows?	executeUpdate	RECALL	executeUpdate	CASE_INSENSITIVE	Compare it with executeQuery, which is for SELECT statements.	JDBC SQL	20
Which SQL clause removes duplicate rows from a result set?	DISTINCT	RECALL	DISTINCT	CASE_INSENSITIVE	Place it right after SELECT.	JDBC SQL	20
What is the difference between an INNER JOIN and a LEFT JOIN?	An INNER JOIN returns only rows with a match in both tables, while a LEFT JOIN returns every row from the left table and fills unmatched right-side columns with NULL.	CONCEPT	INNER JOIN keeps only matches; LEFT JOIN keeps all left rows with NULLs for no match	NORMALIZED_SPACING	Picture the left table as the one you never want to lose rows from.	JDBC SQL	50
Why does using PreparedStatement with bound parameters prevent SQL injection when string concatenation does not?	PreparedStatement sends the SQL text and parameter values separately, so the driver treats parameter values purely as data and never as executable SQL syntax, unlike string concatenation which lets attacker input change the query's structure.	CONCEPT	parameters are sent as data separate from SQL text so they cannot alter query structure	NORMALIZED_SPACING	Concatenation lets a value like ' OR '1'='1 become part of the SQL grammar.	JDBC SQL	55
What is the difference between a database transaction's COMMIT and ROLLBACK?	COMMIT permanently applies every change made since the transaction began, while ROLLBACK discards those changes and returns the data to its state before the transaction started.	CONCEPT	COMMIT applies changes permanently; ROLLBACK discards them	NORMALIZED_SPACING	Only one of the two can be the outcome of a given transaction.	JDBC SQL	45
Why does connection pooling improve performance for applications that issue many short-lived database queries?	Establishing a new physical database connection is expensive due to the network handshake, authentication, and session setup, so a pool keeps a set of ready connections open and reuses them instead of paying that cost on every query.	CONCEPT	reuses already-open connections instead of paying setup cost per query	NORMALIZED_SPACING	Think about what work happens before the first query even runs on a fresh connection.	JDBC SQL	50
What is the difference between a primary key and a unique constraint in a relational table?	A primary key uniquely identifies each row, disallows NULL, and a table can have only one, while a unique constraint also enforces uniqueness but can allow NULL and a table can have several.	CONCEPT	primary key disallows NULL and is singular per table; unique constraint can allow NULL and can be repeated	NORMALIZED_SPACING	Both build a uniqueness index, but only one is "the" identity of the row.	JDBC SQL	50
What is the output of: SELECT COUNT(*) FROM orders WHERE customer_id = 42; when there are no matching rows?	0	CODE_OUTPUT	0	EXACT	COUNT never returns NULL for zero matching rows, unlike SUM or AVG.	JDBC SQL	35
What does SELECT SUM(amount) FROM orders WHERE customer_id = 42; return when there are no matching rows?	NULL	CODE_OUTPUT	NULL	CASE_INSENSITIVE	Aggregate functions besides COUNT return NULL over an empty set.	JDBC SQL	35
In a transaction using the default READ COMMITTED isolation level, a query reads the same row twice, and another transaction commits an update to that row in between the two reads. What does the second read see?	The updated committed value, because READ COMMITTED allows a non-repeatable read across two reads in the same transaction.	CONCEPT	the updated committed value due to a non-repeatable read	NORMALIZED_SPACING	REPEATABLE READ or SERIALIZABLE would be needed to prevent this.	JDBC SQL	55
