front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
In concurrent programming, what do safety, liveness, and performance each ask?	Safety asks whether anything bad can happen; liveness asks whether useful progress eventually happens; performance asks whether progress happens efficiently.	RECALL	Safety asks whether anything bad can happen; liveness asks whether useful progress eventually happens; performance asks whether progress happens efficiently.	CASE_INSENSITIVE	Think correctness, forward progress, and efficiency.	JCIP Ch01 - Introduction	60
Why can code that works reliably in a single-threaded test still fail under concurrent load?	Multiple threads can interleave operations, observe stale state, or depend on timing in ways that never occur in a single-threaded run.	CONCEPT	Multiple threads can interleave operations, observe stale state, or depend on timing in ways that never occur in a single-threaded run.	NORMALIZED_SPACING	Look beyond simultaneous execution to visibility and ordering.	JCIP Ch01 - Introduction	75
A server creates one platform thread for every incoming request with no bound. What production risk appears first under overload?	Resource exhaustion and collapse: too many threads consume memory and scheduling capacity, increasing context switching and making the server degrade unpredictably.	CONCEPT	Resource exhaustion and collapse: too many threads consume memory and scheduling capacity, increasing context switching and making the server degrade unpredictably.	NORMALIZED_SPACING	Concurrency can increase throughput until thread creation itself becomes the bottleneck.	JCIP Ch01 - Introduction	75
What is a race condition?	A correctness failure where the result depends on the relative timing or interleaving of operations by multiple threads.	RECALL	["A result that depends on thread timing or interleaving","A correctness failure depending on relative timing","race condition"]	CASE_INSENSITIVE	The same inputs may produce different results depending on scheduling.	JCIP Ch01 - Introduction	30
What does it mean for a class to be thread-safe?	It behaves correctly when accessed by multiple threads, regardless of scheduling or interleaving, without requiring callers to add their own synchronization.	RECALL	It behaves correctly when accessed by multiple threads, regardless of scheduling or interleaving, without requiring callers to add their own synchronization.	CASE_INSENSITIVE	The guarantee belongs to the class's public contract.	JCIP Ch02 - Thread Safety	60
Why is a stateless service object naturally thread-safe?	It has no mutable state shared between requests, so concurrent calls do not interfere through object fields.	CONCEPT	It has no mutable state shared between requests, so concurrent calls do not interfere through object fields.	NORMALIZED_SPACING	Local variables belong to each invocation.	JCIP Ch02 - Thread Safety	75
Name the two classic forms of compound action that create race conditions.	Check-then-act and read-modify-write.	RECALL	["check-then-act and read-modify-write","check then act and read modify write"]	CASE_INSENSITIVE	Lazy initialization is one example; incrementing a counter is another.	JCIP Ch02 - Thread Safety	30
Why is `if (instance == null) instance = new Service();` unsafe when multiple threads execute it without synchronization?	The check and creation are separate operations, so multiple threads can observe null and construct different instances; publication may also be unsafe.	CONCEPT	The check and creation are separate operations, so multiple threads can observe null and construct different instances; publication may also be unsafe.	NORMALIZED_SPACING	This is a check-then-act sequence.	JCIP Ch02 - Thread Safety	75
Why does making two individually thread-safe variables atomic not automatically preserve an invariant involving both variables?	An invariant spanning multiple variables requires the related reads and writes to occur as one atomic operation under a common synchronization policy.	CONCEPT	An invariant spanning multiple variables requires the related reads and writes to occur as one atomic operation under a common synchronization policy.	NORMALIZED_SPACING	Thread safety does not compose automatically across a compound action.	JCIP Ch02 - Thread Safety	75
What two guarantees does locking provide for shared mutable state?	Mutual exclusion and memory visibility.	RECALL	["mutual exclusion and visibility","atomicity and visibility"]	CASE_INSENSITIVE	Locks do more than prevent simultaneous execution.	JCIP Ch02 - Thread Safety	30
A method synchronizes its entire body, including a slow network call that does not touch guarded state. What is wrong with this design?	It may be correct but holds the lock far longer than necessary, serializing unrelated requests and harming responsiveness and throughput.	CONCEPT	It may be correct but holds the lock far longer than necessary, serializing unrelated requests and harming responsiveness and throughput.	NORMALIZED_SPACING	Keep the critical section focused on shared state.	JCIP Ch02 - Thread Safety	75
What does lock reentrancy mean?	A thread can acquire a lock it already holds, with an internal hold count, without deadlocking itself.	RECALL	["the owning thread can acquire the same lock again","a thread may reacquire a lock it already holds","reentrant lock acquisition"]	CASE_INSENSITIVE	This allows synchronized methods to call other synchronized methods on the same object.	JCIP Ch02 - Thread Safety	30
Why must every variable participating in one invariant be guarded by the same lock?	Otherwise another thread can observe or modify only part of the state transition, breaking the invariant even if each variable is sometimes locked.	CONCEPT	Otherwise another thread can observe or modify only part of the state transition, breaking the invariant even if each variable is sometimes locked.	NORMALIZED_SPACING	The lock protects a relationship, not just individual fields.	JCIP Ch02 - Thread Safety	75
A counter uses `volatile int count` and increments with `count++`. Is it thread-safe?	No. Volatile provides visibility for reads and writes, but `count++` is a read-modify-write sequence and is not atomic.	CONCEPT	No. Volatile provides visibility for reads and writes, but `count++` is a read-modify-write sequence and is not atomic.	NORMALIZED_SPACING	Expand the increment into read, add, and write.	JCIP Ch02 - Thread Safety	75
What is printed? `AtomicInteger n = new AtomicInteger(4); System.out.print(n.getAndIncrement() + ":" + n.get());`	4:5	CODE_OUTPUT	4:5	EXACT	getAndIncrement returns the old value and then increments.	JCIP Ch02 - Thread Safety	40
What is a stale read?	A thread reads an older value because no happens-before relationship guarantees visibility of a newer write.	RECALL	A thread reads an older value because no happens-before relationship guarantees visibility of a newer write.	CASE_INSENSITIVE	The write may have happened in real time but still be invisible.	JCIP Ch03 - Sharing Objects	30
When is `volatile` a good fit for shared state?	When updates do not depend on the current value, the variable is not part of a multi-variable invariant, and no other locking is required; status and lifecycle flags are common examples.	CONCEPT	When updates do not depend on the current value, the variable is not part of a multi-variable invariant, and no other locking is required; status and lifecycle flags are common examples.	NORMALIZED_SPACING	Visibility without compound atomicity.	JCIP Ch03 - Sharing Objects	75
What is wrong with registering an event listener from a constructor when the listener captures `this`?	The object can escape before construction finishes, allowing another thread to observe partially initialized state and invalidating initialization-safety guarantees.	CONCEPT	The object can escape before construction finishes, allowing another thread to observe partially initialized state and invalidating initialization-safety guarantees.	NORMALIZED_SPACING	Publication before the constructor returns is the core problem.	JCIP Ch03 - Sharing Objects	75
What is thread confinement?	Restricting an object so it is accessed by only one thread, eliminating the need for synchronization around that object.	RECALL	["an object is accessed by only one thread","restricting state to a single thread","thread confinement"]	CASE_INSENSITIVE	The simplest shared-state bug is often avoided by not sharing.	JCIP Ch03 - Sharing Objects	30
Why is a JDBC `Connection` commonly safe to use during a request even when the connection object itself is not thread-safe?	The pool lends it to one request thread at a time, confining the connection until it is returned.	CONCEPT	The pool lends it to one request thread at a time, confining the connection until it is returned.	NORMALIZED_SPACING	The pool is shared; the checked-out connection is temporarily confined.	JCIP Ch03 - Sharing Objects	75
What conditions make an object immutable for concurrency purposes?	Its state cannot change after construction, all fields are final, and `this` does not escape during construction.	RECALL	Its state cannot change after construction, all fields are final, and `this` does not escape during construction.	CASE_INSENSITIVE	Unmodifiable state is not enough if construction is unsafe.	JCIP Ch03 - Sharing Objects	60
Why is a final reference to a mutable collection not enough to make the owning object immutable?	Final prevents reassignment of the reference, but the referenced collection can still be mutated unless it is defensively copied and never exposed for modification.	CONCEPT	Final prevents reassignment of the reference, but the referenced collection can still be mutated unless it is defensively copied and never exposed for modification.	NORMALIZED_SPACING	Final freezes the reference, not the object graph.	JCIP Ch03 - Sharing Objects	75
List four common safe-publication mechanisms.	Static initialization; storing into a volatile field or AtomicReference; storing into a final field of a properly constructed object; or accessing through a field guarded by a lock.	RECALL	Static initialization; storing into a volatile field or AtomicReference; storing into a final field of a properly constructed object; or accessing through a field guarded by a lock.	CASE_INSENSITIVE	Think class initialization, volatile/atomic, final construction, and locking.	JCIP Ch03 - Sharing Objects	90
What extra rule applies after safely publishing a mutable object?	Every later access must still follow its thread-safety policy: use the object's internal synchronization or hold the lock that guards it.	CONCEPT	Every later access must still follow its thread-safety policy: use the object's internal synchronization or hold the lock that guards it.	NORMALIZED_SPACING	Safe publication guarantees the initial visible state, not all future mutations.	JCIP Ch03 - Sharing Objects	75
Compare shared read-only, shared thread-safe, guarded, and thread-confined objects.	Shared read-only objects are never mutated; shared thread-safe objects synchronize internally; guarded objects require callers to hold a specified lock; thread-confined objects belong to one thread.	CONCEPT	Shared read-only objects are never mutated; shared thread-safe objects synchronize internally; guarded objects require callers to hold a specified lock; thread-confined objects belong to one thread.	NORMALIZED_SPACING	These are different rules of engagement for shared references.	JCIP Ch03 - Sharing Objects	90
What is printed? `Thread.currentThread().interrupt(); System.out.print(Thread.interrupted() + ":" + Thread.currentThread().isInterrupted());`	true:false	CODE_OUTPUT	true:false	EXACT	The static interrupted method reads and clears the current thread's status.	JCIP Ch03 - Sharing Objects	45
What three questions should you answer when designing a thread-safe class?	Identify the state variables, identify the invariants and postconditions involving them, and establish a synchronization policy for every access.	CONCEPT	Identify the state variables, identify the invariants and postconditions involving them, and establish a synchronization policy for every access.	NORMALIZED_SPACING	State, rules, and protection.	JCIP Ch04 - Composing Objects	90
What is instance confinement?	Encapsulating mutable state inside an object and preventing its references from escaping, so the enclosing object's lock can guard it.	RECALL	["encapsulating mutable state so it does not escape","mutable state confined within an owning object","instance confinement"]	CASE_INSENSITIVE	Private is useful only when references are not leaked.	JCIP Ch04 - Composing Objects	30
When can a class delegate its thread safety to a concurrent collection?	When the collection independently protects all relevant state and no compound invariant spans it and other state that requires additional locking.	CONCEPT	When the collection independently protects all relevant state and no compound invariant spans it and other state that requires additional locking.	NORMALIZED_SPACING	Delegation works best when state variables are independent.	JCIP Ch04 - Composing Objects	75
Why can returning a live mutable view of internal state break an otherwise thread-safe class?	Callers can mutate or iterate the state outside the class's synchronization policy, bypassing invariants and confinement.	CONCEPT	Callers can mutate or iterate the state outside the class's synchronization policy, bypassing invariants and confinement.	NORMALIZED_SPACING	Encapsulation includes controlling aliases.	JCIP Ch04 - Composing Objects	75
You need to add a compound operation to a thread-safe class you do not own. Rank the safer extension strategies.	Prefer composition that adds its own synchronization; subclassing can work only when the locking policy is documented and stable; client-side locking is fragile because it depends on using the exact internal lock.	CONCEPT	Prefer composition that adds its own synchronization; subclassing can work only when the locking policy is documented and stable; client-side locking is fragile because it depends on using the exact internal lock.	NORMALIZED_SPACING	Do not guess another class's lock.	JCIP Ch04 - Composing Objects	75
What concurrency information should a class document?	Its thread-safety guarantee, which lock guards each mutable variable, invariants, and any callbacks or methods that must not run while locks are held.	RECALL	Its thread-safety guarantee, which lock guards each mutable variable, invariants, and any callbacks or methods that must not run while locks are held.	CASE_INSENSITIVE	A synchronization policy is part of the maintainability contract.	JCIP Ch04 - Composing Objects	75
Why is iterating a synchronized collection without holding its lock unsafe?	Each collection method is synchronized, but iteration is a compound action spanning many calls; concurrent modification can invalidate the traversal.	CONCEPT	Each collection method is synchronized, but iteration is a compound action spanning many calls; concurrent modification can invalidate the traversal.	NORMALIZED_SPACING	Method-level safety does not make a multi-step client action atomic.	JCIP Ch05 - Building Blocks	75
What does a weakly consistent iterator guarantee?	It tolerates concurrent modification, reflects some stable traversal state, and may or may not include modifications made after iteration began.	RECALL	It tolerates concurrent modification, reflects some stable traversal state, and may or may not include modifications made after iteration began.	CASE_INSENSITIVE	It is neither a snapshot nor fail-fast.	JCIP Ch05 - Building Blocks	30
When is `CopyOnWriteArrayList` a strong choice?	When traversal is far more frequent than modification, such as listener lists, because readers use immutable snapshots while each write copies the backing array.	CONCEPT	When traversal is far more frequent than modification, such as listener lists, because readers use immutable snapshots while each write copies the backing array.	NORMALIZED_SPACING	Excellent reads, expensive writes.	JCIP Ch05 - Building Blocks	75
What design benefit does a `BlockingQueue` give a producer-consumer system?	It separates producers from consumers, provides thread-safe handoff, and can apply backpressure by blocking producers when bounded capacity is full.	CONCEPT	It separates producers from consumers, provides thread-safe handoff, and can apply backpressure by blocking producers when bounded capacity is full.	NORMALIZED_SPACING	The queue manages both coordination and capacity.	JCIP Ch05 - Building Blocks	75
What is the difference between a latch and a barrier?	A latch waits for events and is normally one-shot; a barrier makes a group of threads rendezvous and can be reused for repeated phases.	RECALL	["latch waits for events and is one-shot; barrier waits for threads and is reusable","latches wait for events; barriers wait for other threads"]	CASE_INSENSITIVE	CountDownLatch versus CyclicBarrier.	JCIP Ch05 - Building Blocks	60
How can a semaphore bound a collection or service?	Acquire a permit before admitting an item or operation and release it when the item is removed or the operation finishes; the permit count represents remaining capacity.	CONCEPT	Acquire a permit before admitting an item or operation and release it when the item is removed or the operation finishes; the permit count represents remaining capacity.	NORMALIZED_SPACING	Capacity becomes a synchronization resource.	JCIP Ch05 - Building Blocks	75
Why can a naive synchronized cache still compute the same expensive value twice?	If the expensive computation runs outside the lock, two misses can race and both compute; if it runs inside the lock, unrelated lookups serialize. A Future-based placeholder lets one computation represent the in-progress result.	CONCEPT	If the expensive computation runs outside the lock, two misses can race and both compute; if it runs inside the lock, unrelated lookups serialize. A Future-based placeholder lets one computation represent the in-progress result.	NORMALIZED_SPACING	Cache misses need coordination without holding a global lock during work.	JCIP Ch05 - Building Blocks	90
Which concurrent-map operation should replace a client-side `containsKey` followed by `put`?	`putIfAbsent`.	RECALL	["putIfAbsent","ConcurrentMap.putIfAbsent"]	CASE_INSENSITIVE	Use one atomic compound operation.	JCIP Ch05 - Building Blocks	25
