front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which annotation injects a constructor, field, or setter dependency in Spring?	@Autowired	RECALL	@Autowired	EXACT	Constructor injection can omit it entirely when there is a single constructor.	Spring Boot REST	20
Which annotation binds an HTTP request body to a method parameter as a Java object?	@RequestBody	RECALL	@RequestBody	EXACT	Spring uses an HttpMessageConverter, such as Jackson, to deserialize it.	Spring Boot REST	20
Which annotation maps a query string parameter to a method parameter?	@RequestParam	RECALL	@RequestParam	EXACT	It can declare a default value and whether the parameter is required.	Spring Boot REST	20
What is the difference between @Controller and @RestController?	@RestController combines @Controller with @ResponseBody, so every handler method's return value is written directly to the response body, typically as JSON, instead of being resolved as a view name.	CONCEPT	@RestController adds @ResponseBody so return values become the response body instead of a view name	NORMALIZED_SPACING	@Controller alone is meant for server-rendered views.	Spring Boot REST	50
What is the difference between @Component, @Service, and @Repository?	All three register a class as a Spring bean; @Service and @Repository are specializations of @Component that document intent, and @Repository additionally translates persistence-specific exceptions into Spring's DataAccessException hierarchy.	CONCEPT	all register beans; @Repository also translates persistence exceptions into DataAccessException	NORMALIZED_SPACING	@Repository's exception translation is the one functional difference beyond documentation.	Spring Boot REST	55
Why does Spring Boot's default singleton bean scope matter for storing per-request mutable state in a @Service class?	A singleton bean is created once and shared by every request, so storing per-request mutable state as instance fields causes data from concurrent requests to interfere with each other; per-request data should stay in method parameters, local variables, or request-scoped beans.	CONCEPT	singleton beans are shared across all requests so per-request mutable instance state causes cross-request interference	NORMALIZED_SPACING	Thread safety of a singleton service depends entirely on avoiding shared mutable instance state.	Spring Boot REST	60
What is the purpose of a DTO layer between REST controllers and JPA entities?	A DTO decouples the API's request and response shape from the persistence model, letting the entity evolve independently, hiding internal fields, and avoiding accidental serialization of lazy-loaded associations.	CONCEPT	decouples the API shape from the entity and avoids exposing internal or lazy fields	NORMALIZED_SPACING	Serializing an entity directly risks leaking fields or triggering lazy-loading errors.	Spring Boot REST	55
Why does Spring MVC choose between multiple @GetMapping handlers based on their path and parameter specificity rather than declaration order?	Spring's request mapping resolves the most specific matching handler for a request's path, HTTP method, headers, and parameters, since request dispatch is driven by declared matching criteria, not by the order methods appear in the class.	CONCEPT	dispatch is based on declared matching criteria not declaration order	NORMALIZED_SPACING	Ambiguous mappings that are equally specific throw an exception at startup instead of silently picking one.	Spring Boot REST	55
A @GetMapping("/users/{id}") handler returns a User object directly instead of a ResponseEntity, and the object is found. What HTTP status code does Spring Boot return by default?	200	CODE_OUTPUT	200	EXACT	Returning the object directly, not a ResponseEntity, uses the default success status.	Spring Boot REST	35
A @PostMapping handler returns ResponseEntity.status(HttpStatus.CREATED).body(saved);. What HTTP status code is sent to the client?	201	CODE_OUTPUT	201	EXACT	HttpStatus.CREATED corresponds to 201.	Spring Boot REST	30
A client sends a request body that is missing a field marked @NotNull and validated with @Valid on a @RequestBody parameter. What HTTP status is returned by default when no custom exception handler exists?	400	CODE_OUTPUT	400	EXACT	Bean validation failures on @Valid @RequestBody trigger a client-error response by default.	Spring Boot REST	40
A controller parameter is annotated @RequestParam("page") int page, but the client omits the page query parameter entirely and no default value is set. What happens when the request is handled?	Spring throws a MissingServletRequestParameterException, which by default results in a 400 Bad Request response, because the parameter is required unless a default value or required = false is set.	CONCEPT	a MissingServletRequestParameterException resulting in 400 Bad Request	NORMALIZED_SPACING	@RequestParam parameters are required unless declared otherwise.	Spring Boot REST	50
A REST client receives a 500 error with a stack trace exposing internal package names for what should be a simple not-found case. What is the recommended fix?	Add a centralized exception handler, such as @ControllerAdvice with @ExceptionHandler, that catches the not-found condition and returns a clean 404 response instead of letting an unhandled exception leak internal details through the default error page.	CONCEPT	add a @ControllerAdvice exception handler that maps the condition to a clean 404	NORMALIZED_SPACING	Unhandled exceptions in Spring MVC surface as a generic 500 with stack trace details by default.	Spring Boot REST	60
