front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which access modifier restricts a member so only code in its own class can use it, not even a subclass?	private	RECALL	private	CASE_INSENSITIVE	It hides implementation details from every class except the declaring one, including subclasses.	Core Java	20
Which keyword makes a local variable's value unable to be reassigned after initialization?	final	RECALL	final	CASE_INSENSITIVE	It also prevents a class from being subclassed or a method from being overridden.	Core Java	20
Which functional interface represents an operation that takes no arguments and returns a value?	Supplier	RECALL	Supplier	CASE_INSENSITIVE	Its single abstract method is get().	Core Java	20
What is the key structural difference between an abstract class and an interface that has default methods?	An abstract class can declare instance fields and constructors to hold shared state, while an interface, even with default methods, cannot declare instance fields, so it can only describe behavior.	CONCEPT	abstract classes can hold instance state and constructors; interfaces cannot hold instance fields	NORMALIZED_SPACING	Ask whether the type needs constructors or per-instance fields.	Core Java	50
Why does overriding equals() without overriding hashCode() break lookups in a HashMap or HashSet?	Equal objects would be allowed to produce different hash codes, so they could be stored in different buckets and the collection could no longer find a stored key by an equal instance.	CONCEPT	equal objects could hash to different buckets so lookups fail	NORMALIZED_SPACING	Hash-based collections locate a bucket by hash code before checking equality.	Core Java	55
How does method overloading differ from method overriding at resolution time?	Overloading is resolved at compile time based on the declared argument types, while overriding is resolved at runtime based on the actual object's class.	CONCEPT	overloading resolved at compile time by parameter types; overriding resolved at runtime by actual object type	NORMALIZED_SPACING	One is static dispatch, the other is dynamic dispatch.	Core Java	50
Why is composition often preferred over implementation inheritance for reusing behavior across classes?	Composition reuses behavior by holding a reference to another object instead of extending its class, which avoids fragile base class problems and keeps hierarchies shallow and easier to change.	CONCEPT	avoids fragile base class problems and keeps hierarchies shallow	NORMALIZED_SPACING	Ask yourself is-a versus has-a.	Core Java	50
What is the fundamental difference between a checked exception and an unchecked exception in Java?	A checked exception extends Exception (not RuntimeException) and the compiler forces callers to catch or declare it, while an unchecked exception extends RuntimeException and is not enforced by the compiler.	CONCEPT	checked extends Exception and is compiler-enforced; unchecked extends RuntimeException and is not enforced	NORMALIZED_SPACING	Think about what the compiler forces you to handle.	Core Java	50
What is the output of: Integer a = 127, b = 127; System.out.println(a == b);	true	CODE_OUTPUT	true	EXACT	Integer caches boxed values from -128 to 127 inclusive.	Core Java	35
What is the output of: Integer a = 200, b = 200; System.out.println(a == b);	false	CODE_OUTPUT	false	EXACT	Values outside the Integer cache range box to distinct objects.	Core Java	35
