front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What are the four broad layers in a typical database request path?	Transport, query processing, execution, and storage.	RECALL	Transport, query processing, execution, and storage.	CASE_INSENSITIVE	Follow a query from the client toward disk.	DBMS Architecture	45
A query reaches a database node. What does the query processor do before execution begins?	It parses, validates, and interprets the query, then helps produce a plan the execution layer can run.	CONCEPT	It parses, validates, and interprets the query, then helps produce a plan the execution layer can run.	NORMALIZED_SPACING	This happens before local or remote operators execute.	DBMS Architecture	75
Why can two database systems with similar SQL syntax behave very differently in production?	Their storage engines, concurrency control, recovery, replication, and distribution choices can have very different trade-offs.	CONCEPT	Their storage engines, concurrency control, recovery, replication, and distribution choices can have very different trade-offs.	NORMALIZED_SPACING	Look below the query language.	DBMS Architecture	75
What is the storage engine responsible for?	It stores, retrieves, and manages records in memory and on persistent media, exposing low-level access operations to higher database layers.	CONCEPT	It stores, retrieves, and manages records in memory and on persistent media, exposing low-level access operations to higher database layers.	NORMALIZED_SPACING	Think of the component below SQL and schemas.	DBMS Architecture	75
How do the transaction manager and lock manager contribute to correctness?	They coordinate concurrent work so transactions preserve logical consistency and physical data integrity.	CONCEPT	They coordinate concurrent work so transactions preserve logical consistency and physical data integrity.	NORMALIZED_SPACING	Separate transaction scheduling from object protection.	DBMS Architecture	75
What is the primary workload difference between OLTP and OLAP?	OLTP handles many short operational transactions; OLAP handles longer analytical scans and aggregations.	RECALL	OLTP handles many short operational transactions; OLAP handles longer analytical scans and aggregations.	CASE_INSENSITIVE	Operational requests versus analytical questions.	Database Workloads	45
When is an HTAP system attractive?	When a workload needs both transactional updates and near-real-time analytical queries without maintaining completely separate systems.	CONCEPT	When a workload needs both transactional updates and near-real-time analytical queries without maintaining completely separate systems.	NORMALIZED_SPACING	It combines two workload families.	Database Workloads	75
Why should database selection start with access patterns rather than popularity rankings?	A database is suitable only if its query types, data size, read-write ratio, latency, consistency, and operational behavior match the real workload.	CONCEPT	A database is suitable only if its query types, data size, read-write ratio, latency, consistency, and operational behavior match the real workload.	NORMALIZED_SPACING	The best database is workload-dependent.	Database Selection	75
A benchmark shows one database winning on a laptop. Why is that insufficient for a production decision?	Short synthetic tests may hide scale, durability, compaction, failover, and operational costs; realistic long-running workloads are needed.	CONCEPT	Short synthetic tests may hide scale, durability, compaction, failover, and operational costs; realistic long-running workloads are needed.	NORMALIZED_SPACING	Ask what the benchmark omitted.	Database Selection	75
Why is a slower durable database often preferable to a faster database that risks losing data?	Performance is useful only after correctness and durability requirements are met; lost data creates larger business risk than moderate latency.	CONCEPT	Performance is useful only after correctness and durability requirements are met; lost data creates larger business risk than moderate latency.	NORMALIZED_SPACING	Reliability is a constraint, not a bonus.	Database Selection	75
How does a row-oriented layout improve an OLTP read that fetches an entire customer record?	Fields from the same row are stored near each other, so the database can retrieve the record with good spatial locality.	CONCEPT	Fields from the same row are stored near each other, so the database can retrieve the record with good spatial locality.	NORMALIZED_SPACING	Most columns of one row are consumed together.	Data Layout	75
Why can a row store waste I/O on a query that scans one column across millions of rows?	Blocks also contain unneeded columns, so the engine reads and discards data that the query did not request.	CONCEPT	Blocks also contain unneeded columns, so the engine reads and discards data that the query did not request.	NORMALIZED_SPACING	The physical unit is wider than the projection.	Data Layout	75
Why are column-oriented layouts effective for analytical aggregation?	Values of one column are stored together, improving scan locality, compression, and vectorized processing over many rows.	CONCEPT	Values of one column are stored together, improving scan locality, compression, and vectorized processing over many rows.	NORMALIZED_SPACING	Think same type, contiguous values.	Data Layout	75
A service repeatedly reads full orders by primary key. Which layout is usually the better starting point and why?	A row-oriented layout, because point lookups usually consume most fields of one record together.	CONCEPT	A row-oriented layout, because point lookups usually consume most fields of one record together.	NORMALIZED_SPACING	Match physical locality to the read shape.	Data Layout	75
An analytics job computes averages over three columns in a 100-column table. Which layout is usually favorable?	A column-oriented layout, because it can scan only the requested columns instead of loading entire rows.	CONCEPT	A column-oriented layout, because it can scan only the requested columns instead of loading entire rows.	NORMALIZED_SPACING	The projection is narrow but the row count is large.	Data Layout	75
Why is a wide-column store not the same as a columnar analytical database?	A wide-column store organizes rows by key and groups related columns into families, while a columnar analytical store physically groups values by column for scans.	CONCEPT	A wide-column store organizes rows by key and groups related columns into families, while a columnar analytical store physically groups values by column for scans.	NORMALIZED_SPACING	Similar name, different physical purpose.	Data Layout	75
What is a heap file?	A data file whose records are not maintained in key order, commonly appended in write order.	RECALL	A data file whose records are not maintained in key order, commonly appended in write order.	CASE_INSENSITIVE	Fast placement, separate lookup structure.	Data Files	45
What trade-off does a heap file make?	It makes insertion simple and cheap, but efficient lookup normally requires a separate index that points to record locations.	CONCEPT	It makes insertion simple and cheap, but efficient lookup normally requires a separate index that points to record locations.	NORMALIZED_SPACING	Writes are easy; search needs help.	Data Files	75
How does a hash-organized file locate a record?	It hashes the key to choose a bucket, then searches within that bucket.	CONCEPT	It hashes the key to choose a bucket, then searches within that bucket.	NORMALIZED_SPACING	The key determines a bucket.	Data Files	75
Why are hash-organized files weak for range scans?	Hashing destroys key order, so nearby key values are not necessarily stored near one another.	CONCEPT	Hashing destroys key order, so nearby key values are not necessarily stored near one another.	NORMALIZED_SPACING	Equality is natural; ordering is not.	Data Files	75
