front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
How should you coordinate a business rule that spans two DDD aggregates?	Keep each aggregate's local invariants transactional and coordinate the cross-aggregate workflow asynchronously or through an application process, accepting temporary inconsistency instead of creating one giant aggregate by default.	CONCEPT		NORMALIZED_SPACING	Local consistency boundaries can be coordinated without merging them.	DDD	90
What is a domain service and when should logic live there?	A domain service holds domain behavior that does not naturally belong to one entity or value object, especially when it coordinates domain concepts while remaining independent of infrastructure concerns.	CONCEPT		NORMALIZED_SPACING	Use it for domain behavior without a natural entity owner.	DDD	90
What is the role of an application service in DDD?	It orchestrates a use case: loads aggregates, invokes domain behavior, manages transaction boundaries and calls ports or repositories, while avoiding business rules that belong in the domain model.	CONCEPT		NORMALIZED_SPACING	Orchestration is different from domain policy.	DDD	90
What should a repository abstraction represent in DDD?	It should provide collection-like access to aggregate roots in domain terms, hiding persistence details rather than exposing every database operation or returning partially valid aggregate internals.	CONCEPT		NORMALIZED_SPACING	Repositories serve aggregate ownership boundaries.	DDD	90
What is a process manager or saga in a domain workflow?	It tracks a long-running business process across multiple local transactions, reacting to outcomes, issuing next commands and recording enough state to recover after retries or failures.	CONCEPT		NORMALIZED_SPACING	Persist the workflow state across distributed steps.	Distributed Transactions	90
How do orchestration and choreography differ for sagas?	Orchestration uses an explicit coordinator that tells participants what step comes next; choreography lets services react to events without a central workflow owner, trading central clarity for looser coupling and potentially harder tracing.	CONCEPT		NORMALIZED_SPACING	Coordinator versus event-driven emergent flow.	Distributed Transactions	90
Why is compensation not the same as a database rollback?	A compensating action is a new business operation performed after prior commits, so it may fail, be only semantically approximate, and must itself be idempotent and auditable.	CONCEPT		NORMALIZED_SPACING	You cannot erase already-visible distributed history.	Distributed Transactions	90
How should an integration event evolve when a consumer still needs the old schema?	Prefer backward-compatible additive changes, version meaning deliberately, and support translation or parallel versions when semantics truly change rather than silently repurposing an existing field.	CONCEPT		NORMALIZED_SPACING	Schema compatibility and semantic compatibility both matter.	Event-Driven Architecture	90
What is event upcasting?	Upcasting transforms older stored event representations into the current in-memory shape during read or replay, allowing historical events to remain immutable while application code works with newer models.	CONCEPT		NORMALIZED_SPACING	Translate old history at the boundary instead of rewriting it casually.	Event Sourcing	90
What is a poison message?	It is a message that repeatedly fails deterministic processing, often because of invalid data or a code assumption; infinite retries waste capacity, so isolate it with clear diagnostics and controlled recovery.	CONCEPT		NORMALIZED_SPACING	Not every failure improves with another retry.	Event-Driven Architecture	90
What should a dead-letter queue be used for?	It isolates messages that exceeded the retry policy so operators can inspect, repair or replay them without blocking normal traffic; it is a recovery mechanism, not a place to forget failures.	CONCEPT		NORMALIZED_SPACING	DLQ is an operational workflow, not a trash can.	Event-Driven Architecture	90
What is the inbox pattern?	A consumer persists received event identity together with or before applying local effects so duplicate deliveries can be detected durably and processing can be made idempotent across restarts.	CONCEPT		NORMALIZED_SPACING	Durable consumer-side deduplication.	Event-Driven Architecture	90
What is causal ordering and why can global ordering be unnecessary?	Causal ordering preserves the sequence of related events whose meaning depends on one another, often per aggregate or key; imposing one global order can destroy scalability without adding business value.	CONCEPT		NORMALIZED_SPACING	Order only the events whose relationship requires it.	Event-Driven Architecture	90
Why store correlation and causation identifiers on events?	Correlation ties events to the broader business operation, while causation identifies the command or event that directly produced a new event, making distributed tracing and incident reconstruction much clearer.	CONCEPT		NORMALIZED_SPACING	Track both the conversation and the immediate parent.	Event-Driven Architecture	90
When should a consumer commit its broker offset relative to local processing?	Commit only after the durable local effect is safely recorded if at-least-once processing is expected; committing first risks message loss, while committing after can cause duplicates that idempotency must handle.	CONCEPT		NORMALIZED_SPACING	Choose between possible loss and possible duplicate deliberately.	Event-Driven Architecture	90
Why is reprocessing historical events risky when handlers call external services?	Replay can repeat emails, payments or webhooks that were intended only once; keep projections replay-safe and separate historical state rebuilding from non-repeatable external side effects.	CONCEPT		NORMALIZED_SPACING	A replay should not resend the real-world effect.	Event Sourcing	90
What does Kafka's exactly-once processing not automatically guarantee for an external database?	Kafka transactions can coordinate Kafka records and offsets, but a separate database or remote API is outside that transaction; end-to-end business correctness still needs idempotency, outbox or other coordination.	CONCEPT		NORMALIZED_SPACING	Broker transactions stop at the broker boundary.	Event-Driven Architecture	90
What is temporal querying in an event-sourced system?	Because history is preserved, the system can reconstruct state as of a past event position or time, but correctness depends on deterministic replay and compatible historical event semantics.	CONCEPT		NORMALIZED_SPACING	History can answer what the aggregate looked like then.	Event Sourcing	90
When should an event-sourcing snapshot be discarded?	If its schema, serializer or derived state is incompatible or suspected corrupt, discard it and rebuild from authoritative events; snapshots must never be required for correctness.	CONCEPT		NORMALIZED_SPACING	A snapshot is a cache of state reconstruction.	Event Sourcing	90
How should a product handle visible CQRS projection lag?	Define the expected consistency experience: show pending state, read from the write model for critical confirmation, use version tokens, or accept temporary staleness explicitly rather than pretending the update is instantly visible.	CONCEPT		NORMALIZED_SPACING	Eventual consistency needs a UX and API contract.	CQRS	90
Why should commands often have their own idempotency identity?	Clients and workflow coordinators may retry after ambiguous failures; durable command identity lets the write side return or preserve the original semantic outcome instead of executing the business action twice.	CONCEPT		NORMALIZED_SPACING	Retries need stable operation identity.	CQRS	90
How does expected-version optimistic concurrency protect an aggregate?	A write declares the version it read; if another transaction already changed the aggregate, the version check fails so the command can retry or reject instead of overwriting concurrent state.	CONCEPT		NORMALIZED_SPACING	Detect stale decisions at commit time.	DDD	90
Why is publishing a domain event before the database transaction commits dangerous?	Consumers may observe an event for state that later rolls back, producing externally visible effects without corresponding source truth; publish after durable commit, commonly through an outbox.	CONCEPT		NORMALIZED_SPACING	Do not expose uncommitted facts.	DDD Events	90
Why should an integration event not expose an aggregate's entire internal object graph?	It couples consumers to internal model structure and makes harmless refactoring a breaking distributed contract; publish the stable business facts consumers actually need.	CONCEPT		NORMALIZED_SPACING	External contracts should be narrower than internal models.	DDD Events	90
