front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which annotation configures how a JPA entity's primary key value is generated?	@GeneratedValue	RECALL	@GeneratedValue	EXACT	It is commonly paired with a strategy such as IDENTITY or SEQUENCE.	JPA Hibernate	20
Which JPA annotation marks a field that should not be persisted to the database?	@Transient	RECALL	@Transient	EXACT	The field still exists on the Java object but Hibernate ignores it for mapping.	JPA Hibernate	20
Which annotation declares a one-to-many relationship from the parent entity to a collection of child entities?	@OneToMany	RECALL	@OneToMany	EXACT	It is often paired with mappedBy on the owning child side.	JPA Hibernate	20
What is the difference between FetchType.LAZY and FetchType.EAGER?	LAZY defers loading an association until it is first accessed, while EAGER loads the association immediately together with the owning entity, which can pull in far more data than a given use case needs.	CONCEPT	LAZY defers loading until accessed; EAGER loads immediately with the owner	NORMALIZED_SPACING	LAZY is generally the safer default for associations that are not always needed.	JPA Hibernate	50
What is the difference between the first-level persistence context cache and a second-level cache in Hibernate?	The first-level cache is scoped to a single EntityManager or session and is always on, while the second-level cache is optional, shared across sessions, and configured per entity or region to reduce repeated database hits across transactions.	CONCEPT	first-level cache is per-session and always on; second-level cache is optional and shared across sessions	NORMALIZED_SPACING	The first-level cache disappears when the persistence context closes.	JPA Hibernate	55
Why does the owning side of a bidirectional @OneToMany and @ManyToOne relationship matter for which side controls the foreign key?	Only the owning side's changes are written to the foreign key column; the inverse side marked with mappedBy is not itself persisted, so updating only the inverse side's collection without updating the owning side leaves the database foreign key unchanged.	CONCEPT	only the owning side's changes update the foreign key; the mappedBy side is not persisted directly	NORMALIZED_SPACING	The side without mappedBy is almost always the owning side.	JPA Hibernate	55
What is the difference between CascadeType.PERSIST and CascadeType.REMOVE on a parent-to-child association?	CascadeType.PERSIST propagates saving the parent to also save any new, unsaved child entities, while CascadeType.REMOVE propagates deleting the parent to also delete its associated children, and each must be chosen deliberately based on whether children can exist independently.	CONCEPT	PERSIST cascades saving children; REMOVE cascades deleting children	NORMALIZED_SPACING	Cascading REMOVE is dangerous for children that other entities might also reference.	JPA Hibernate	55
Why does calling a setter on a managed entity inside a transaction not require an explicit repository save() call to persist the change?	Hibernate tracks a managed entity through dirty checking, so any field change detected on a managed instance within the transaction is automatically included in the UPDATE issued at flush or commit, without needing an explicit save call.	CONCEPT	dirty checking automatically detects changes on managed entities and flushes them without an explicit save	NORMALIZED_SPACING	This only applies to entities that are currently managed or attached, not detached ones.	JPA Hibernate	55
A @OneToMany collection declared FetchType.LAZY is accessed for the first time after the enclosing EntityManager or session has already closed. What is thrown?	LazyInitializationException, because Hibernate can only load a lazy association while the owning entity is still attached to an open persistence context.	CONCEPT	LazyInitializationException because the persistence context is already closed	NORMALIZED_SPACING	This is one of the most common causes of a service-layer exception thrown from a view or serialization layer.	JPA Hibernate	50
save() is called for two separate new entity instances that both have the identical value in a column with a unique database constraint, with no application-level check. What happens on the second save at flush time?	A DataIntegrityViolationException, wrapping a database unique constraint violation, is thrown when the second insert conflicts with the already-flushed unique value.	CONCEPT	a DataIntegrityViolationException from the unique constraint violation	NORMALIZED_SPACING	The database enforces uniqueness even when the application layer does not check first.	JPA Hibernate	55
An entity has @Id @GeneratedValue(strategy = GenerationType.IDENTITY), and code calls save() inside a loop for a batch of 1000 rows. What limitation does the IDENTITY strategy impose on Hibernate's batching?	IDENTITY requires the database to generate the key at insert time, so Hibernate cannot know the id ahead of time and must execute each insert individually, disabling JDBC batch inserts for that entity.	CONCEPT	IDENTITY disables JDBC batch inserts since Hibernate must insert one row at a time to get each generated key	NORMALIZED_SPACING	SEQUENCE-based generation can be pre-allocated and batched more efficiently.	JPA Hibernate	55
merge() is called on a detached entity whose id does not match any row currently in the database. What happens?	Hibernate treats it as a request to persist a new row for that id, since merge copies the detached entity's state onto a managed instance matched by id and inserts one if no matching row exists.	CONCEPT	Hibernate inserts a new row for that id since no managed entity with that id currently exists	NORMALIZED_SPACING	merge always returns a different, managed instance rather than mutating the detached one you passed in.	JPA Hibernate	55
