front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What does "at-most-once" delivery mean for a message?	Each message is delivered zero or one times; it may be lost but is never processed more than once.	RECALL	Each message is delivered zero or one times; it may be lost but is never processed more than once.	CASE_INSENSITIVE	The risk is loss, not duplication.	Kafka & Messaging	60
What does "at-least-once" delivery mean for a message?	Each message is delivered one or more times; it is never silently lost, but a consumer may see it more than once.	RECALL	Each message is delivered one or more times; it is never silently lost, but a consumer may see it more than once.	CASE_INSENSITIVE	The risk is duplication, not loss.	Kafka & Messaging	60
Why is "exactly-once" delivery across two independent systems (for example, Kafka to an external payment API) generally not achievable as a hard guarantee?	There is no way for the sender to atomically know the receiver both processed the message and will never see a duplicate, since acknowledgments themselves can be lost or delayed; the practical answer is at-least-once delivery paired with an idempotent receiver.	CONCEPT	There is no way for the sender to atomically know the receiver both processed the message and will never see a duplicate, since acknowledgments themselves can be lost or delayed; the practical answer is at-least-once delivery paired with an idempotent receiver.	NORMALIZED_SPACING	The guarantee has to move from the transport to the receiver's own idempotency.	Kafka & Messaging	90
A Kafka producer sets acks=0. What delivery risk does this configuration accept?	The producer does not wait for any broker acknowledgment, so messages can be silently lost if the broker never receives or persists them, in exchange for the lowest latency.	CONCEPT	The producer does not wait for any broker acknowledgment, so messages can be silently lost if the broker never receives or persists them, in exchange for the lowest latency.	NORMALIZED_SPACING	Fire-and-forget: fastest, least safe.	Kafka & Messaging	75
What does acks=all (or acks=-1) require before a Kafka producer considers a write successful?	Acknowledgment from all in-sync replicas (not just the partition leader), so the write is durable even if the current leader immediately fails.	CONCEPT	Acknowledgment from all in-sync replicas (not just the partition leader), so the write is durable even if the current leader immediately fails.	NORMALIZED_SPACING	Wait for the full in-sync replica set, not just one broker.	Kafka & Messaging	75
What does enabling the idempotent producer (enable.idempotence=true) prevent?	Duplicate messages caused by the producer's own retries, by having the broker deduplicate retried sends from the same producer session using sequence numbers, without changing the number of times the application called send.	CONCEPT	Duplicate messages caused by the producer's own retries, by having the broker deduplicate retried sends from the same producer session using sequence numbers, without changing the number of times the application called send.	NORMALIZED_SPACING	It removes duplicates introduced purely by network-level retry, not application-level retries.	Kafka & Messaging	90
What does a Kafka transactional producer add on top of the idempotent producer?	The ability to write to multiple partitions/topics (and commit consumer offsets) as a single atomic unit, so a consume-transform-produce pipeline can achieve exactly-once semantics within Kafka.	CONCEPT	The ability to write to multiple partitions/topics (and commit consumer offsets) as a single atomic unit, so a consume-transform-produce pipeline can achieve exactly-once semantics within Kafka.	NORMALIZED_SPACING	It extends per-message idempotence into an atomic multi-write transaction.	Kafka & Messaging	90
Why is Kafka's transactional exactly-once guarantee scoped to "Kafka-to-Kafka" rather than the whole pipeline?	The atomic commit only covers writes and offset commits within Kafka itself; once a consumer's output leaves Kafka (a database write, an external API call), that external side effect is not covered by the same transaction and can still be duplicated or lost.	CONCEPT	The atomic commit only covers writes and offset commits within Kafka itself; once a consumer's output leaves Kafka (a database write, an external API call), that external side effect is not covered by the same transaction and can still be duplicated or lost.	NORMALIZED_SPACING	The transaction boundary stops at Kafka's own log.	Kafka & Messaging	90
A consumer commits its offset immediately after polling a batch, before processing the messages. What failure mode does this create?	If the consumer crashes while processing, the offset is already committed, so those messages are skipped on restart and effectively lost, even though they were never actually handled.	CONCEPT	If the consumer crashes while processing, the offset is already committed, so those messages are skipped on restart and effectively lost, even though they were never actually handled.	NORMALIZED_SPACING	Committing before doing the work risks losing the work.	Kafka & Messaging	90
A consumer processes each message and commits its offset only after successful processing. Under a crash mid-batch, what does the consumer see on restart, and what must it therefore tolerate?	It will reprocess messages from the last committed offset onward, including some it already handled before the crash, so the consumer must be idempotent to stay correct under at-least-once redelivery.	CONCEPT	It will reprocess messages from the last committed offset onward, including some it already handled before the crash, so the consumer must be idempotent to stay correct under at-least-once redelivery.	NORMALIZED_SPACING	Commit-after-processing trades "never lost" for "sometimes duplicated."	Kafka & Messaging	90
