front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Why are Java records useful for immutable data carriers, and what do they not guarantee?	Records remove boilerplate for state-based data carriers by generating accessors, equals, hashCode, and toString, but they are only shallowly immutable: referenced mutable objects can still change.	CONCEPT	Records remove boilerplate for state-based data carriers by generating accessors, equals, hashCode, and toString, but they are only shallowly immutable: referenced mutable objects can still change.	NORMALIZED_SPACING	Mention generated value semantics and shallow, not deep, immutability.	Modern Java	90
What is a compact constructor in a Java record used for?	A compact constructor validates or normalizes record components without repeating the full parameter list; assignments to record fields are performed automatically after the constructor body.	CONCEPT	A compact constructor validates or normalizes record components without repeating the full parameter list; assignments to record fields are performed automatically after the constructor body.	NORMALIZED_SPACING	Think validation at the record boundary.	Modern Java	90
Why can a mutable object stored inside a record still break an immutability assumption?	A record prevents reassignment of its component fields, but if a component refers to a mutable collection or object, callers can mutate that referenced object unless defensive copies or immutable types are used.	CONCEPT	A record prevents reassignment of its component fields, but if a component refers to a mutable collection or object, callers can mutate that referenced object unless defensive copies or immutable types are used.	NORMALIZED_SPACING	Record components are final references, not recursively frozen objects.	Modern Java	90
What problem do sealed classes and interfaces solve?	They let an API explicitly restrict which types may extend or implement a hierarchy, making domain alternatives controlled and enabling safer exhaustive reasoning.	CONCEPT	They let an API explicitly restrict which types may extend or implement a hierarchy, making domain alternatives controlled and enabling safer exhaustive reasoning.	NORMALIZED_SPACING	Think closed set of implementations.	Modern Java	75
Why is pattern matching in switch valuable with a sealed hierarchy?	The compiler can reason about the known permitted subtypes, so a switch can handle each case explicitly and can often be checked for exhaustiveness.	CONCEPT	The compiler can reason about the known permitted subtypes, so a switch can handle each case explicitly and can often be checked for exhaustiveness.	NORMALIZED_SPACING	Connect sealed alternatives to exhaustive branching.	Modern Java	75
What is an important null-handling rule when using pattern matching switch?	Null is not automatically matched by an arbitrary type pattern; handle null explicitly when it is a valid input instead of assuming a subtype case will catch it.	CONCEPT	Null is not automatically matched by an arbitrary type pattern; handle null explicitly when it is a valid input instead of assuming a subtype case will catch it.	NORMALIZED_SPACING	Do not treat null as an instance of a permitted subtype.	Modern Java	75
Where can Java var be used, and what does it not mean?	var can be used for local-variable type inference when the initializer determines the type; it does not make Java dynamically typed and cannot replace method parameter, return, or field types.	CONCEPT	var can be used for local-variable type inference when the initializer determines the type; it does not make Java dynamically typed and cannot replace method parameter, return, or field types.	NORMALIZED_SPACING	The static type still exists at compile time.	Modern Java	75
Why should Optional usually not be used as an entity field or method parameter?	Optional is primarily a return-type signal for an absent result; using it pervasively in fields or parameters adds wrapping complexity and can interact poorly with frameworks and serialization.	CONCEPT	Optional is primarily a return-type signal for an absent result; using it pervasively in fields or parameters adds wrapping complexity and can interact poorly with frameworks and serialization.	NORMALIZED_SPACING	Use Optional to model optional return values, not every nullable location.	Core Java Interview	90
What is the risk of side effects inside a Java Stream pipeline?	Side effects make pipeline behavior harder to reason about and can become unsafe or nondeterministic when execution is parallelized; prefer pure transformations and terminal aggregation.	CONCEPT	Side effects make pipeline behavior harder to reason about and can become unsafe or nondeterministic when execution is parallelized; prefer pure transformations and terminal aggregation.	NORMALIZED_SPACING	A stream pipeline should describe data transformation, not hidden mutation.	Streams	90
Why is parallelStream not a free performance optimization?	Parallel streams add partitioning, scheduling, synchronization, and common-pool contention; small tasks, blocking work, ordered operations, or shared mutation can make them slower or unsafe.	CONCEPT	Parallel streams add partitioning, scheduling, synchronization, and common-pool contention; small tasks, blocking work, ordered operations, or shared mutation can make them slower or unsafe.	NORMALIZED_SPACING	Parallelism has coordination overhead and workload constraints.	Streams	90
What is the important mutability property of Stream.toList() in modern Java?	Stream.toList() returns an unmodifiable list; code that needs to mutate the result should create a mutable copy explicitly.	CONCEPT	Stream.toList() returns an unmodifiable list; code that needs to mutate the result should create a mutable copy explicitly.	NORMALIZED_SPACING	Do not assume every List returned by an API supports add or remove.	Collections	60
Why is using a mutable object as a HashMap key dangerous?	If fields used by equals or hashCode change after insertion, the key may hash to a different bucket and become effectively unreachable even though it is still stored in the map.	CONCEPT	If fields used by equals or hashCode change after insertion, the key may hash to a different bucket and become effectively unreachable even though it is still stored in the map.	NORMALIZED_SPACING	Hash-based collections require stable equality and hash codes while keys are stored.	Collections	90
Explain PECS for Java generics.	PECS means Producer Extends, Consumer Super: use ? extends T when reading T values from a source and ? super T when writing T values into a destination.	CONCEPT	PECS means Producer Extends, Consumer Super: use ? extends T when reading T values from a source and ? super T when writing T values into a destination.	NORMALIZED_SPACING	Ask whether the generic value is produced for you or consumed from you.	Generics	75
Why is List<Integer> not a subtype of List<Number>?	Java generics are invariant; if List<Integer> were a List<Number>, code could insert a Double and violate the original list's element type.	CONCEPT	Java generics are invariant; if List<Integer> were a List<Number>, code could insert a Double and violate the original list's element type.	NORMALIZED_SPACING	Subtyping of element types does not automatically transfer to generic containers.	Generics	75
How should CompletableFuture failures be handled deliberately?	Use stages such as exceptionally, handle, or whenComplete according to whether you want recovery, transformation, or observation, and avoid silently losing exceptions in detached asynchronous chains.	CONCEPT	Use stages such as exceptionally, handle, or whenComplete according to whether you want recovery, transformation, or observation, and avoid silently losing exceptions in detached asynchronous chains.	NORMALIZED_SPACING	An async pipeline needs an explicit error path just like a synchronous one.	Async Java	90
When are Java virtual threads a strong fit?	Virtual threads are a strong fit for high-concurrency workloads that spend much of their time blocking on I/O because they make thread-per-task code scalable without requiring a huge pool of platform threads.	CONCEPT	Virtual threads are a strong fit for high-concurrency workloads that spend much of their time blocking on I/O because they make thread-per-task code scalable without requiring a huge pool of platform threads.	NORMALIZED_SPACING	Think many mostly-blocked tasks rather than a small number of CPU-heavy loops.	Java 21	90
Why do virtual threads not make CPU-bound work infinitely scalable?	CPU-bound work is still limited by available processor cores; virtual threads reduce the cost of blocking and thread management, not the amount of CPU required by computation.	CONCEPT	CPU-bound work is still limited by available processor cores; virtual threads reduce the cost of blocking and thread management, not the amount of CPU required by computation.	NORMALIZED_SPACING	Virtual threads improve concurrency economics, not core count.	Java 21	75
What can pin a virtual thread and why does that matter?	Certain blocking operations while holding a monitor or entering native or foreign code can pin the underlying carrier thread, reducing the scalability benefit; long blocking sections should avoid unnecessary monitor ownership.	CONCEPT	Certain blocking operations while holding a monitor or entering native or foreign code can pin the underlying carrier thread, reducing the scalability benefit; long blocking sections should avoid unnecessary monitor ownership.	NORMALIZED_SPACING	The problem is tying up the carrier platform thread.	Java 21	90
What happens when both the try body and close() throw in try-with-resources?	The exception from the try body remains the primary exception and exceptions thrown while closing resources are recorded as suppressed exceptions.	CONCEPT	The exception from the try body remains the primary exception and exceptions thrown while closing resources are recorded as suppressed exceptions.	NORMALIZED_SPACING	The original failure should not be replaced by cleanup failure.	Core Java Interview	75
What is the safest way to expose an immutable collection from a domain object?	Store and return an immutable copy, for example List.copyOf(input), so callers cannot mutate internal state through an alias to a mutable collection.	CONCEPT	Store and return an immutable copy, for example List.copyOf(input), so callers cannot mutate internal state through an alias to a mutable collection.	NORMALIZED_SPACING	Final references alone do not stop callers mutating the referenced collection.	Core Java Interview	75
