front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What is the practical difference between EXPLAIN and EXPLAIN ANALYZE in PostgreSQL?	EXPLAIN shows the planner's estimated execution plan, while EXPLAIN ANALYZE actually runs the statement and reports observed timing and row counts, making estimate errors visible.	CONCEPT	EXPLAIN shows the planner's estimated execution plan, while EXPLAIN ANALYZE actually runs the statement and reports observed timing and row counts, making estimate errors visible.	NORMALIZED_SPACING	One predicts; the other executes and measures.	PostgreSQL Performance	90
Why can a sequential scan be the correct PostgreSQL plan even when an index exists?	If a query returns a large fraction of a table or the table is small, reading pages sequentially can be cheaper than many index lookups plus heap fetches.	CONCEPT	If a query returns a large fraction of a table or the table is small, reading pages sequentially can be cheaper than many index lookups plus heap fetches.	NORMALIZED_SPACING	An index is not automatically cheaper for broad result sets.	PostgreSQL Performance	90
How does column order matter in a multicolumn B-tree index?	The leading columns determine which predicates can efficiently narrow the index range; choose order based on real equality and range predicates and workload rather than a blanket selectivity rule.	CONCEPT	The leading columns determine which predicates can efficiently narrow the index range; choose order based on real equality and range predicates and workload rather than a blanket selectivity rule.	NORMALIZED_SPACING	Think leftmost usable prefix and actual query shapes.	PostgreSQL Indexes	90
What is a partial index and when is it useful?	A partial index stores only rows matching a predicate, reducing index size and maintenance cost when queries repeatedly target a stable subset such as active or unprocessed rows.	CONCEPT	A partial index stores only rows matching a predicate, reducing index size and maintenance cost when queries repeatedly target a stable subset such as active or unprocessed rows.	NORMALIZED_SPACING	Index only the hot subset the workload repeatedly filters on.	PostgreSQL Indexes	90
What is an expression index?	An expression index indexes the result of an expression such as lower(email), allowing queries using that same expression to use an index efficiently.	CONCEPT	An expression index indexes the result of an expression such as lower(email), allowing queries using that same expression to use an index efficiently.	NORMALIZED_SPACING	The indexed value can be computed rather than a raw column.	PostgreSQL Indexes	75
What does INCLUDE provide in a PostgreSQL B-tree index?	INCLUDE stores non-key columns in the index so an index-only scan may satisfy a query without making those columns part of the search ordering.	CONCEPT	INCLUDE stores non-key columns in the index so an index-only scan may satisfy a query without making those columns part of the search ordering.	NORMALIZED_SPACING	Cover selected columns without changing key semantics.	PostgreSQL Indexes	75
Why can low-selectivity indexes be poor candidates for some queries?	When a predicate matches many rows, the index may require many random heap accesses and provide little filtering, so PostgreSQL may prefer a sequential scan.	CONCEPT	When a predicate matches many rows, the index may require many random heap accesses and provide little filtering, so PostgreSQL may prefer a sequential scan.	NORMALIZED_SPACING	An index helps most when it meaningfully reduces work.	PostgreSQL Indexes	75
What problem does MVCC solve in PostgreSQL?	MVCC lets readers observe a consistent snapshot while writers create new row versions, reducing reader-writer blocking while preserving transactional visibility rules.	CONCEPT	MVCC lets readers observe a consistent snapshot while writers create new row versions, reducing reader-writer blocking while preserving transactional visibility rules.	NORMALIZED_SPACING	Readers use snapshots instead of locking every row they inspect.	PostgreSQL MVCC	90
Why are VACUUM and autovacuum essential in PostgreSQL?	Updates and deletes leave dead row versions under MVCC; vacuum reclaims reusable space, maintains visibility information, and prevents transaction-ID wraparound problems.	CONCEPT	Updates and deletes leave dead row versions under MVCC; vacuum reclaims reusable space, maintains visibility information, and prevents transaction-ID wraparound problems.	NORMALIZED_SPACING	Dead tuples do not disappear immediately when rows change.	PostgreSQL Operations	90
What is table or index bloat?	Bloat is excess storage occupied by obsolete or poorly reused tuples and pages, increasing I/O and cache pressure even though the logical data set is smaller.	CONCEPT	Bloat is excess storage occupied by obsolete or poorly reused tuples and pages, increasing I/O and cache pressure even though the logical data set is smaller.	NORMALIZED_SPACING	Physical size can grow faster than useful data.	PostgreSQL Operations	75
What is a HOT update in PostgreSQL?	A Heap-Only Tuple update can avoid creating new index entries when indexed columns are unchanged and there is suitable page space, reducing write amplification.	CONCEPT	A Heap-Only Tuple update can avoid creating new index entries when indexed columns are unchanged and there is suitable page space, reducing write amplification.	NORMALIZED_SPACING	No indexed column change can allow a cheaper heap-local update.	PostgreSQL MVCC	90
Under PostgreSQL Read Committed, can two SELECT statements in one transaction see different committed data?	Yes. Each statement gets a snapshot as the statement begins, so a later statement can observe changes committed by other transactions in between.	CONCEPT	Yes. Each statement gets a snapshot as the statement begins, so a later statement can observe changes committed by other transactions in between.	NORMALIZED_SPACING	Read Committed uses statement-level snapshots.	PostgreSQL Transactions	90
What must an application be prepared to do when using PostgreSQL Serializable isolation?	It must be prepared to retry transactions that PostgreSQL aborts with a serialization failure because the database protects serializable behavior by rejecting unsafe concurrent executions.	CONCEPT	It must be prepared to retry transactions that PostgreSQL aborts with a serialization failure because the database protects serializable behavior by rejecting unsafe concurrent executions.	NORMALIZED_SPACING	Serializable correctness may surface as retryable aborts.	PostgreSQL Transactions	90
What is the first thing to inspect when a PostgreSQL query is unexpectedly slow?	Inspect its actual execution plan and runtime evidence, ideally with EXPLAIN ANALYZE plus buffers where safe, before guessing at indexes or configuration changes.	CONCEPT	Inspect its actual execution plan and runtime evidence, ideally with EXPLAIN ANALYZE plus buffers where safe, before guessing at indexes or configuration changes.	NORMALIZED_SPACING	Measure the plan before tuning.	PostgreSQL Performance	75
What is pg_stat_statements useful for?	It aggregates execution statistics by normalized SQL, helping identify high-total-time, high-frequency, or slow query families that deserve tuning.	CONCEPT	It aggregates execution statistics by normalized SQL, helping identify high-total-time, high-frequency, or slow query families that deserve tuning.	NORMALIZED_SPACING	Find expensive query patterns across many executions.	PostgreSQL Observability	75
What is the main value of jOOQ's generated code?	jOOQ generates Java types from the database schema, giving SQL-oriented queries compile-time awareness of tables, columns, and types instead of relying on stringly typed SQL construction.	CONCEPT	jOOQ generates Java types from the database schema, giving SQL-oriented queries compile-time awareness of tables, columns, and types instead of relying on stringly typed SQL construction.	NORMALIZED_SPACING	Think schema-derived type safety while staying close to SQL.	jOOQ	90
Why should jOOQ code still use bind values instead of concatenating user input?	Bind values separate data from SQL syntax, reduce injection risk, preserve type handling, and can improve plan reuse; jOOQ's fluent API does not remove the need for safe parameterization.	CONCEPT	Bind values separate data from SQL syntax, reduce injection risk, preserve type handling, and can improve plan reuse; jOOQ's fluent API does not remove the need for safe parameterization.	NORMALIZED_SPACING	A fluent DSL is not a license to interpolate untrusted strings.	jOOQ	90
Why should a jOOQ transaction scope be kept around the business invariant rather than around remote calls?	Keeping a database transaction open across slow network calls extends lock and snapshot lifetimes, increases contention, and makes failures harder to recover from; keep DB work focused and coordinate external effects explicitly.	CONCEPT	Keeping a database transaction open across slow network calls extends lock and snapshot lifetimes, increases contention, and makes failures harder to recover from; keep DB work focused and coordinate external effects explicitly.	NORMALIZED_SPACING	Long external waits are expensive inside a database transaction.	jOOQ Transactions	90
Why must Flyway migrations and jOOQ generated classes stay synchronized?	The runtime schema and generated Java model must represent the same contract; schema changes without regenerated code can cause compile-time or runtime drift, while generated code without deployed migration targets columns that do not exist.	CONCEPT	The runtime schema and generated Java model must represent the same contract; schema changes without regenerated code can cause compile-time or runtime drift, while generated code without deployed migration targets columns that do not exist.	NORMALIZED_SPACING	Schema-first type safety depends on code generation matching migrations.	jOOQ	90
What is a common N+1 problem even in SQL-first application code?	Fetching a parent list and then issuing one child query per parent multiplies round trips; prefer an appropriate join, nested result construction, or batched follow-up when the result shape permits it.	CONCEPT	Fetching a parent list and then issuing one child query per parent multiplies round trips; prefer an appropriate join, nested result construction, or batched follow-up when the result shape permits it.	NORMALIZED_SPACING	Count database round trips, not just individual query speed.	jOOQ Performance	90
