front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Describe the cache-aside (lazy-loading) pattern.	On a read, the application checks the cache first; on a miss, it reads from the database, then populates the cache with that value before returning it, so the cache only ever holds data someone actually requested.	RECALL	On a read, the application checks the cache first; on a miss, it reads from the database, then populates the cache with that value before returning it, so the cache only ever holds data someone actually requested.	CASE_INSENSITIVE	Miss, load from source, populate, return.	Caching & Consistency	75
What is the difference between write-through and write-behind (write-back) caching?	Write-through writes to the cache and the underlying store synchronously as one operation before returning; write-behind writes to the cache immediately but defers (batches) the write to the underlying store asynchronously, risking data loss if the cache fails before it flushes.	CONCEPT	Write-through writes to the cache and the underlying store synchronously as one operation before returning; write-behind writes to the cache immediately but defers (batches) the write to the underlying store asynchronously, risking data loss if the cache fails before it flushes.	NORMALIZED_SPACING	Both update immediately; they differ in when the durable store catches up.	Caching & Consistency	90
A popular cache key expires, and thousands of concurrent requests all miss at once and hammer the database to recompute the same value. What is this problem called?	A cache stampede (also called thundering herd).	RECALL	["cache stampede","thundering herd"]	CASE_INSENSITIVE	Many requests, one expired key, one overwhelmed database.	Caching & Consistency	60
Name two mitigations for a cache stampede on a hot key's expiration.	Use a lock/single-flight so only one request recomputes the value while others wait for it, and/or add random jitter to TTLs so many keys don't expire at the exact same instant.	CONCEPT	Use a lock/single-flight so only one request recomputes the value while others wait for it, and/or add random jitter to TTLs so many keys don't expire at the exact same instant.	NORMALIZED_SPACING	Coalesce duplicate recomputation, and stagger expirations.	Caching & Consistency	90
What does "stale-while-revalidate" mean as a caching strategy?	Serve the currently cached (possibly slightly stale) value immediately while asynchronously refreshing it in the background, trading a small amount of staleness for consistently low latency instead of blocking on a fresh fetch.	CONCEPT	Serve the currently cached (possibly slightly stale) value immediately while asynchronously refreshing it in the background, trading a small amount of staleness for consistently low latency instead of blocking on a fresh fetch.	NORMALIZED_SPACING	Answer now with what you have, refresh quietly in the background.	Caching & Consistency	90
When invalidating a cache entry after a database write, is it generally safer to update the database first and then invalidate the cache, or invalidate the cache first and then update the database? Why?	Update the database first, then invalidate the cache; invalidating first leaves a window where a concurrent read can re-populate the cache with the old (pre-write) value from the database right before the write completes, leaving stale data cached indefinitely.	CONCEPT	Update the database first, then invalidate the cache; invalidating first leaves a window where a concurrent read can re-populate the cache with the old (pre-write) value from the database right before the write completes, leaving stale data cached indefinitely.	NORMALIZED_SPACING	Invalidate-then-write leaves a race where a slow reader repopulates the cache with the value you were about to replace.	Caching & Consistency	90
Even with the safer database-first, cache-invalidate-second ordering, what rare race can still leave stale data cached, and what commonly limits its impact?	A concurrent read can still populate the cache with a stale value in the brief window between the database write and the invalidation completing; a short TTL as a backstop limits how long that stale entry can persist.	CONCEPT	A concurrent read can still populate the cache with a stale value in the brief window between the database write and the invalidation completing; a short TTL as a backstop limits how long that stale entry can persist.	NORMALIZED_SPACING	No ordering fully eliminates the race; a TTL bounds the damage.	Caching & Consistency	90
What is "negative caching," and what production risk does it introduce if the TTL is too long?	Caching the fact that a lookup returned "not found" (or empty) so repeated lookups for the same missing key don't keep hitting the database; if the TTL is too long, a record created shortly after being cached as missing can appear not to exist for longer than expected.	CONCEPT	Caching the fact that a lookup returned "not found" (or empty) so repeated lookups for the same missing key don't keep hitting the database; if the TTL is too long, a record created shortly after being cached as missing can appear not to exist for longer than expected.	NORMALIZED_SPACING	Caching "no" protects the database the same way caching "yes" does, but staleness cuts both ways.	Caching & Consistency	90
Why is designing a clear, versioned cache key format (for example, including a schema/version segment) valuable when the shape of cached data changes?	It lets a deploy that changes the cached object's structure avoid deserializing old-format cached entries as if they were new-format, simply by bumping the version segment so old keys are naturally bypassed instead of causing errors.	CONCEPT	It lets a deploy that changes the cached object's structure avoid deserializing old-format cached entries as if they were new-format, simply by bumping the version segment so old keys are naturally bypassed instead of causing errors.	NORMALIZED_SPACING	A version in the key sidesteps deploying against an incompatible cached shape.	Caching & Consistency	90
What is the main trade-off between an in-process (local, per-instance) cache and a shared distributed cache such as Redis?	A local cache has the lowest possible latency (no network hop) but is inconsistent across instances and duplicates memory per instance; a shared cache is consistent across all instances and uses memory once, but adds a network round trip to every access.	CONCEPT	A local cache has the lowest possible latency (no network hop) but is inconsistent across instances and duplicates memory per instance; a shared cache is consistent across all instances and uses memory once, but adds a network round trip to every access.	NORMALIZED_SPACING	Fastest-but-fragmented versus consistent-but-network-bound.	Caching & Consistency	90
