front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What are the two broad generations the JVM heap is traditionally divided into?	The young generation (where new objects are allocated) and the old (tenured) generation (where long-lived objects end up after surviving enough collections).	RECALL	The young generation (where new objects are allocated) and the old (tenured) generation (where long-lived objects end up after surviving enough collections).	CASE_INSENSITIVE	New objects start in one area; survivors graduate to another.	JVM/GC & Performance	75
Within the young generation, what are Eden and the survivor spaces used for?	Almost all new objects are allocated in Eden; when Eden fills and a minor GC runs, surviving objects move into one of the two survivor spaces, and objects that survive enough of these cycles get promoted to the old generation.	CONCEPT	Almost all new objects are allocated in Eden; when Eden fills and a minor GC runs, surviving objects move into one of the two survivor spaces, and objects that survive enough of these cycles get promoted to the old generation.	NORMALIZED_SPACING	Eden is where objects are born; survivor spaces are the waiting room before promotion.	JVM/GC & Performance	90
What is the key difference between a minor GC and a full (major) GC in terms of scope?	A minor GC collects only the young generation and is typically fast and frequent; a full GC collects the old generation (and often the whole heap), is much more expensive, and can cause a noticeably longer pause.	CONCEPT	A minor GC collects only the young generation and is typically fast and frequent; a full GC collects the old generation (and often the whole heap), is much more expensive, and can cause a noticeably longer pause.	NORMALIZED_SPACING	Small, frequent cleanups versus rare, expensive, whole-heap cleanups.	JVM/GC & Performance	90
What does "stop-the-world" mean in the context of garbage collection?	All application threads are paused while the collector does its work, so no application code runs (and no requests are served) until that GC pause completes.	RECALL	All application threads are paused while the collector does its work, so no application code runs (and no requests are served) until that GC pause completes.	CASE_INSENSITIVE	The application freezes entirely for the duration of the pause.	JVM/GC & Performance	75
What is the core design goal of the G1 (Garbage-First) collector compared to older collectors like Parallel GC?	G1 divides the heap into many regions and prioritizes collecting the regions with the most garbage first, aiming to meet a configurable target maximum pause time rather than optimizing purely for maximum throughput.	CONCEPT	G1 divides the heap into many regions and prioritizes collecting the regions with the most garbage first, aiming to meet a configurable target maximum pause time rather than optimizing purely for maximum throughput.	NORMALIZED_SPACING	Region-based collection tuned toward a pause-time target, not raw throughput.	JVM/GC & Performance	90
Which JVM flag sets G1's target maximum pause time in milliseconds?	-XX:MaxGCPauseMillis	RECALL	["-XX:MaxGCPauseMillis","-XX:MaxGCPauseMillis=<ms>"]	CASE_INSENSITIVE	It's a G1-specific tuning flag expressed in milliseconds.	JVM/GC & Performance	45
Why do collectors like ZGC and Shenandoah advertise sub-millisecond pause times compared to G1's tens-to-hundreds of milliseconds?	They perform almost all of their marking, relocation, and reference-updating work concurrently with running application threads instead of stopping the world for most phases, only pausing briefly for a small, mostly constant-time step.	CONCEPT	They perform almost all of their marking, relocation, and reference-updating work concurrently with running application threads instead of stopping the world for most phases, only pausing briefly for a small, mostly constant-time step.	NORMALIZED_SPACING	Do the heavy lifting concurrently; keep the actual stop-the-world sliver tiny.	JVM/GC & Performance	90
For a batch job that processes as much data as possible per hour with no user waiting on individual pauses, would you tune for throughput or for low pause times?	Throughput, since total work completed per unit time matters more than any individual pause; a throughput-oriented collector can accept longer, less frequent pauses in exchange for spending less total CPU time on GC overhead.	CONCEPT	Throughput, since total work completed per unit time matters more than any individual pause; a throughput-oriented collector can accept longer, less frequent pauses in exchange for spending less total CPU time on GC overhead.	NORMALIZED_SPACING	No one is watching a clock for a single request, so optimize total work done.	JVM/GC & Performance	90
For a low-latency API where every request must respond quickly and consistently, would you tune for throughput or for low pause times, and why?	Low pause times, because a single long stop-the-world pause directly becomes a latency spike (or timeout) for whatever requests happen to be in flight, which matters more than squeezing out slightly higher aggregate throughput.	CONCEPT	Low pause times, because a single long stop-the-world pause directly becomes a latency spike (or timeout) for whatever requests happen to be in flight, which matters more than squeezing out slightly higher aggregate throughput.	NORMALIZED_SPACING	A user-facing request notices a pause directly; optimize to avoid that spike.	JVM/GC & Performance	90
What is the difference between java.lang.OutOfMemoryError: Java heap space and java.lang.OutOfMemoryError: Metaspace?	Heap space exhaustion means regular objects can't be allocated because the configured heap is full; Metaspace exhaustion means the area holding class metadata (loaded classes, generated bytecode) is full, often caused by classloader leaks repeatedly loading classes that are never released.	CONCEPT	Heap space exhaustion means regular objects can't be allocated because the configured heap is full; Metaspace exhaustion means the area holding class metadata (loaded classes, generated bytecode) is full, often caused by classloader leaks repeatedly loading classes that are never released.	NORMALIZED_SPACING	One is about instances filling up; the other is about class definitions filling up.	JVM/GC & Performance	90
