front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What are the three commonly cited pillars of observability?	Logs, metrics, and traces.	RECALL	["Logs, metrics, traces","logs metrics traces"]	CASE_INSENSITIVE	Each answers a different kind of question about a running system.	Observability & Debugging	45
What question do metrics typically answer best, compared to logs and traces?	Aggregate, numeric questions over time such as "how many requests failed in the last five minutes" or "what is current p99 latency," rather than the details of any single request.	CONCEPT	Aggregate, numeric questions over time such as "how many requests failed in the last five minutes" or "what is current p99 latency," rather than the details of any single request.	NORMALIZED_SPACING	Metrics are good at "how much/how many, over time," not "what exactly happened here."	Observability & Debugging	75
What does a distributed trace's "span" represent?	A single unit of work with a start and end time (for example, one service handling one request or making one downstream call), which can be nested under a parent span to show the full call tree of a request.	RECALL	A single unit of work with a start and end time (for example, one service handling one request or making one downstream call), which can be nested under a parent span to show the full call tree of a request.	CASE_INSENSITIVE	One timed operation, potentially nested inside a bigger one.	Observability & Debugging	75
Why must a correlation/trace ID be propagated in request headers across every service a request touches?	Without a shared identifier, there is no way to stitch together the logs and spans from every service that participated in handling one logical request, making it nearly impossible to reconstruct what happened across service boundaries.	CONCEPT	Without a shared identifier, there is no way to stitch together the logs and spans from every service that participated in handling one logical request, making it nearly impossible to reconstruct what happened across service boundaries.	NORMALIZED_SPACING	One request, one ID, threaded through every hop, or the trail goes cold at each boundary.	Observability & Debugging	90
Why is structured logging (key-value fields or JSON) generally preferred over free-form text logs in production systems?	Structured fields can be reliably parsed, filtered, and aggregated by log tooling (for example, filtering all logs where user_id=42 and status>=500), whereas free-form text requires fragile pattern matching and doesn't aggregate cleanly.	CONCEPT	Structured fields can be reliably parsed, filtered, and aggregated by log tooling (for example, filtering all logs where user_id=42 and status>=500), whereas free-form text requires fragile pattern matching and doesn't aggregate cleanly.	NORMALIZED_SPACING	Machine-parseable fields beat prose when you need to query millions of log lines.	Observability & Debugging	90
Why is averaging response times across all requests often misleading compared to looking at p95 or p99 latency?	An average can be dragged down by many fast requests and hide a meaningful fraction of slow requests; percentiles like p95/p99 directly show what the slowest 5% or 1% of users actually experience, which is often the group causing complaints.	CONCEPT	An average can be dragged down by many fast requests and hide a meaningful fraction of slow requests; percentiles like p95/p99 directly show what the slowest 5% or 1% of users actually experience, which is often the group causing complaints.	NORMALIZED_SPACING	An average can look great while a real, painful tail of slow requests hides inside it.	Observability & Debugging	90
What does the RED method suggest tracking for every request-driven service?	Rate (requests per second), Errors (failed request rate), and Duration (latency distribution).	RECALL	["Rate, Errors, Duration","rate errors duration"]	CASE_INSENSITIVE	Three words, all starting with R, E, D.	Observability & Debugging	60
What does the USE method suggest tracking for a resource such as CPU, disk, or a connection pool?	Utilization (how busy it is), Saturation (how much extra work is queued waiting), and Errors (error events for that resource).	RECALL	["Utilization, Saturation, Errors","utilization saturation errors"]	CASE_INSENSITIVE	It targets resources, where RED targets request-driven services.	Observability & Debugging	60
What is the difference between an SLI, an SLO, and an SLA?	An SLI (indicator) is a measured metric like availability or latency; an SLO (objective) is the internal target for that SLI (for example, 99.9% availability); an SLA (agreement) is the externally communicated, often contractual, commitment with consequences if missed.	CONCEPT	An SLI (indicator) is a measured metric like availability or latency; an SLO (objective) is the internal target for that SLI (for example, 99.9% availability); an SLA (agreement) is the externally communicated, often contractual, commitment with consequences if missed.	NORMALIZED_SPACING	Measurement, internal goal, external promise.	Observability & Debugging	90
What is an "error budget" in SLO-driven operations?	The amount of unreliability (for example, 0.1% of requests failing) a service is allowed to have while still meeting its SLO, which teams can consciously "spend" on risk like faster feature rollout, and must slow down and focus on reliability once it's exhausted.	CONCEPT	The amount of unreliability (for example, 0.1% of requests failing) a service is allowed to have while still meeting its SLO, which teams can consciously "spend" on risk like faster feature rollout, and must slow down and focus on reliability once it's exhausted.	NORMALIZED_SPACING	It turns "how much can we break" into an explicit, spendable quantity.	Observability & Debugging	90
Why should alerts generally be defined on symptoms (like elevated error rate or latency) rather than on every possible internal cause?	Symptom-based alerts page someone only when users are actually affected, keeping the signal meaningful; cause-based alerting on every internal fluctuation tends to produce excessive noise and alert fatigue, causing real issues to get missed.	CONCEPT	Symptom-based alerts page someone only when users are actually affected, keeping the signal meaningful; cause-based alerting on every internal fluctuation tends to produce excessive noise and alert fatigue, causing real issues to get missed.	NORMALIZED_SPACING	Page for "users are hurting," not for every internal metric wiggle.	Observability & Debugging	90
A service's dashboards look fine (CPU, memory, error rate all normal), but a subset of requests to one downstream dependency are consistently slow. Why might purely per-service metrics miss this, and what tool would catch it?	Aggregate per-service metrics can average away a localized slow dependency; distributed tracing shows individual request spans and would reveal that a specific downstream call is consistently the slow segment of otherwise-normal-looking requests.	CONCEPT	Aggregate per-service metrics can average away a localized slow dependency; distributed tracing shows individual request spans and would reveal that a specific downstream call is consistently the slow segment of otherwise-normal-looking requests.	NORMALIZED_SPACING	Aggregates can hide a problem that traces would expose request by request.	Observability & Debugging	90
What is metric "cardinality explosion," and why is it a production risk for a monitoring system?	Adding a label with too many unique values (for example, tagging a metric with raw user ID or full request path) multiplies the number of distinct time series the monitoring system must store, which can overwhelm its storage and query performance.	CONCEPT	Adding a label with too many unique values (for example, tagging a metric with raw user ID or full request path) multiplies the number of distinct time series the monitoring system must store, which can overwhelm its storage and query performance.	NORMALIZED_SPACING	Every unique label value multiplies the number of time series the system has to track.	Observability & Debugging	90
An application appears to hang: requests stop completing but the process is still running and not crashed. What JVM diagnostic captures the current state of every thread to help find a stuck or deadlocked one?	A thread dump.	RECALL	["thread dump","stack dump"]	CASE_INSENSITIVE	It snapshots every thread's current stack trace and state.	Observability & Debugging	60
Which command-line tool included with the JDK can print a thread dump for a running Java process given its process ID?	jstack	COMMAND	["jstack","jstack <pid>"]	COMMAND_NORMALIZED	It is the classic JDK utility for dumping thread stacks.	Observability & Debugging	45
Write the jcmd command to trigger a thread dump for a running JVM process with PID 4321.	jcmd 4321 Thread.print	COMMAND	["jcmd 4321 Thread.print","jcmd 4321 Thread.print"]	COMMAND_NORMALIZED	jcmd takes a PID and a diagnostic command name.	Observability & Debugging	60
On a Linux/Unix system, what signal can be sent to a running JVM process to make it print a thread dump to its standard output or log?	SIGQUIT (kill -3 <pid>)	RECALL	["SIGQUIT","kill -3","kill -QUIT"]	CASE_INSENSITIVE	It's the signal traditionally used to request a JVM thread dump without stopping the process.	Observability & Debugging	60
A heap dump analysis shows one particular object type's instance count growing without bound over hours, even though the application isn't intentionally caching that type. What does this pattern usually indicate?	A memory leak: references to those objects are being retained somewhere (an ever-growing collection, an unclosed resource, a listener never removed) so the garbage collector cannot reclaim them even though the application logically no longer needs them.	CONCEPT	A memory leak: references to those objects are being retained somewhere (an ever-growing collection, an unclosed resource, a listener never removed) so the garbage collector cannot reclaim them even though the application logically no longer needs them.	NORMALIZED_SPACING	Steadily growing live-object counts point to something holding references it shouldn't.	Observability & Debugging	90
Write the jcmd command to trigger a heap dump for PID 4321, writing it to /tmp/heap.hprof.	jcmd 4321 GC.heap_dump /tmp/heap.hprof	COMMAND	["jcmd 4321 GC.heap_dump /tmp/heap.hprof","jcmd 4321 GC.heap_dump /tmp/heap.hprof"]	COMMAND_NORMALIZED	jcmd's GC.heap_dump diagnostic command takes an output file path.	Observability & Debugging	60
Write a curl command that performs a GET request against a local Spring Boot actuator health endpoint on port 8080.	curl -s http://localhost:8080/actuator/health	LINUX_COMMAND	["curl -s http://localhost:8080/actuator/health","curl http://localhost:8080/actuator/health"]	COMMAND_NORMALIZED	-s makes curl silent (no progress meter) so only the response body prints.	Observability & Debugging	60
Write a regex that matches an ISO-8601 timestamp (such as 2026-07-25T14:03:01) at the start of a log line.	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}	REGEX_PATTERN	^\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}	EXACT	Anchor at the start, then match year-month-day, T, hour:minute:second as digit groups.	Observability & Debugging	90
