front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
How do Kubernetes resource requests interact with the Horizontal Pod Autoscaler?	CPU utilization-based HPA calculations compare observed usage with requested CPU, so unrealistic requests can make scaling trigger too early or too late; resource sizing and autoscaling policy must be tuned together.	CONCEPT		NORMALIZED_SPACING	HPA percentages depend on requests.	Kubernetes	90
When is a Kubernetes startup probe useful?	It protects slow-starting applications from liveness restarts until initialization succeeds, after which normal liveness and readiness probes take over.	CONCEPT		NORMALIZED_SPACING	Separate startup tolerance from steady-state health.	Kubernetes	75
What problem does a PodDisruptionBudget solve?	It limits how many replicas of an application may be voluntarily disrupted at once during operations such as node drains, helping preserve availability while still allowing maintenance.	CONCEPT		NORMALIZED_SPACING	Protect capacity during planned disruption.	Kubernetes	90
Why use topology spread constraints or anti-affinity?	They reduce the chance that all replicas land on the same node or zone, so one infrastructure failure does not remove the whole service.	CONCEPT		NORMALIZED_SPACING	Replica count is not fault tolerance if replicas share one failure domain.	Kubernetes	90
What should graceful shutdown do in a Kubernetes Java service?	Stop accepting new traffic, fail readiness, allow in-flight work to finish within the termination grace period, close resources, and ensure consumers or workers relinquish ownership safely before process exit.	CONCEPT		NORMALIZED_SPACING	Removal from traffic and process termination are separate phases.	Kubernetes	90
Why can changing a ConfigMap not automatically restart every Pod using it?	Mounted or environment-based configuration update behavior differs, and an application may not reload values; many teams trigger a rollout by changing a Pod-template checksum so configuration and process version remain explicit.	CONCEPT		NORMALIZED_SPACING	Configuration delivery and application reload are separate.	Kubernetes	90
What does CrashLoopBackOff tell you?	A container repeatedly starts and exits or is killed, and Kubernetes is backing off restart attempts; inspect container exit reason, previous logs, probes, configuration and resource events.	CONCEPT		NORMALIZED_SPACING	It describes restart behavior, not the root cause.	Kubernetes	90
What does OOMKilled usually mean in Kubernetes?	The container exceeded its memory limit or the node faced severe memory pressure, causing the kernel to kill it; inspect working-set growth, limits, heap sizing and native memory.	CONCEPT		NORMALIZED_SPACING	Java heap is only part of container memory.	Kubernetes	90
How can CPU limits hurt Java latency?	When a container exceeds its CPU quota it may be throttled, stretching request and GC execution time even if the node has idle CPU; measure throttling before assuming the JVM is simply slow.	CONCEPT		NORMALIZED_SPACING	Quota throttling can look like application latency.	Kubernetes	90
Why can HPA react too slowly to a sudden traffic spike?	Metrics collection, stabilization windows, Pod startup time and readiness all add delay, so systems also need queueing, headroom, load shedding or predictive scaling for abrupt bursts.	CONCEPT		NORMALIZED_SPACING	Autoscaling is not instantaneous capacity.	Kubernetes	90
What should you inspect when a Pod can reach an IP but not a Kubernetes Service name?	Check cluster DNS resolution, Service and EndpointSlice membership, namespace-qualified naming, network policies and the Pod's DNS configuration.	CONCEPT		NORMALIZED_SPACING	Connectivity and service discovery are separate layers.	Kubernetes Networking	90
What is a Redis eviction policy?	It defines which keys Redis removes when memory is full, such as least-recently-used keys among all keys or only expiring keys; the choice must match whether data is disposable cache state.	CONCEPT		NORMALIZED_SPACING	Memory pressure behavior is configurable.	Redis	90
How do Redis RDB snapshots and AOF persistence differ?	RDB periodically snapshots the dataset with compact recovery files, while AOF records write operations for potentially lower data loss at greater write and storage cost; deployments may combine them.	CONCEPT		NORMALIZED_SPACING	Snapshot recovery versus operation logging.	Redis	90
What is Redis Cluster's hash-slot model?	Keys map to one of a fixed number of hash slots distributed across cluster nodes, allowing sharding and node movement while multi-key operations generally require keys to share a slot.	CONCEPT		NORMALIZED_SPACING	Cluster distribution is by hash slot.	Redis	90
How do Redis hot keys cause problems?	A single heavily accessed key concentrates CPU, network and shard load on one node even when total cluster capacity is high; mitigate by redesigning access, local caching or safe key splitting.	CONCEPT		NORMALIZED_SPACING	Sharding does not split one key automatically.	Redis	90
Why add jitter to Redis TTLs?	Randomizing expiration times prevents many related keys from expiring simultaneously and creating a synchronized surge against the backing store.	CONCEPT		NORMALIZED_SPACING	Spread expiration load over time.	Redis	75
When can Redis pipelining improve performance?	It sends multiple commands without waiting for each individual response, reducing network round trips; very large pipelines can increase memory use and response latency.	CONCEPT		NORMALIZED_SPACING	Batch protocol round trips, not transactional semantics.	Redis	90
Why use a Redis Lua script for some atomic operations?	Redis executes the script atomically relative to other commands, allowing a read-check-write sequence to be performed without an interleaving race, while scripts should remain short to avoid blocking the server.	CONCEPT		NORMALIZED_SPACING	Atomic server-side logic, but one long script blocks Redis.	Redis	90
What is the difference between Redis Sentinel and Redis Cluster?	Sentinel provides monitoring and failover for replicated Redis instances without data sharding, while Redis Cluster adds horizontal sharding across hash slots plus replication and failover.	CONCEPT		NORMALIZED_SPACING	High availability only versus sharding plus HA.	Redis	90
Why are Redis MULTI and EXEC not the same as a relational transaction?	They queue commands for atomic execution but do not provide relational isolation, constraints or automatic rollback of earlier commands when one command returns an error.	CONCEPT		NORMALIZED_SPACING	Atomic command batch is not ACID database semantics.	Redis	90
When should Prometheus use a histogram instead of a summary?	Histograms aggregate observations into buckets that can be combined across instances and used for server-side quantiles, while summaries calculate client-side quantiles that generally cannot be aggregated the same way.	CONCEPT		NORMALIZED_SPACING	Histograms aggregate across replicas.	Observability Stack	90
What is the difference between a Prometheus counter and gauge?	A counter only increases except for process reset and suits totals such as requests, while a gauge can rise and fall and suits current values such as queue depth or active connections.	CONCEPT		NORMALIZED_SPACING	Monotonic total versus current level.	Observability Stack	75
Why are burn-rate alerts useful for SLOs?	They alert when the service is consuming its error budget faster than sustainable, combining reliability target and time window instead of triggering on arbitrary raw error thresholds.	CONCEPT		NORMALIZED_SPACING	Alert on how fast reliability budget is being spent.	Observability Stack	90
What is trace sampling and why is it necessary?	Capturing every distributed trace can be too expensive at scale, so sampling keeps a representative or priority-selected subset; policies should retain enough errors and slow traces for diagnosis.	CONCEPT		NORMALIZED_SPACING	Observability volume has a cost budget too.	Observability Stack	90
What makes a useful Grafana dashboard for an on-call engineer?	Lead with user-impact and SLO signals, then traffic, latency, errors, saturation and dependency health, with drill-down links to logs and traces rather than displaying every available metric.	CONCEPT		NORMALIZED_SPACING	A dashboard should answer operational questions quickly.	Observability Stack	90
What does least privilege mean for GCP IAM?	Grant identities only the permissions needed for their workload and scope, prefer workload identities over shared long-lived keys, and review inherited roles that may be broader than intended.	CONCEPT		NORMALIZED_SPACING	Minimize both permissions and credential lifetime.	GCP	90
Why are health checks important to a cloud load balancer?	They keep unhealthy backends out of rotation and influence failover, but the health endpoint must reflect the service's ability to handle traffic without depending on every optional downstream system.	CONCEPT		NORMALIZED_SPACING	Traffic eligibility should represent real serving capability.	GCP	90
Why use a multi-stage Docker build for a Java service?	Compile and package in a build image, then copy only the runtime artifact into a smaller runtime image, reducing final size, attack surface and unnecessary build tools in production.	CONCEPT		NORMALIZED_SPACING	Builder dependencies do not belong in the runtime image.	Containers	90
Why run a container as a non-root user?	It limits the privileges available if the application is compromised and reduces the impact of container escape or filesystem mistakes, though host and orchestrator controls still matter.	CONCEPT		NORMALIZED_SPACING	Container isolation is stronger with fewer process privileges.	Containers	90
Why should Flyway checksum mismatches not be repaired blindly?	A changed applied migration may indicate production history was rewritten; first understand why environments diverged, and only use repair when the recorded metadata is known to be the problem rather than hiding an unsafe mutation.	CONCEPT		NORMALIZED_SPACING	Migration history is an audit trail.	Flyway	90
