front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which git command shows the commit history in a compact, one-line-per-commit form?	git log --oneline	GIT_COMMAND	git log --oneline	COMMAND_NORMALIZED	Add --graph to visualize branch topology alongside it.	Deployment	25
Which Maven lifecycle phase compiles, runs tests, and packages the project into a distributable artifact such as a jar?	package	RECALL	package	CASE_INSENSITIVE	Earlier phases like compile and test run automatically before it.	Deployment	20
Which Docker command lists currently running containers?	docker ps	COMMAND	docker ps	COMMAND_NORMALIZED	Add -a to also show stopped containers.	Deployment	20
What is the difference between git merge and git rebase when integrating a feature branch into main?	git merge creates a new merge commit that ties both histories together and preserves exactly what happened, while git rebase replays the feature branch's commits on top of main one by one, producing a linear history but rewriting the feature branch's commit hashes.	CONCEPT	merge preserves history with a merge commit; rebase replays commits onto main and rewrites their hashes for a linear history	NORMALIZED_SPACING	Never rebase commits that have already been pushed and shared with others.	Deployment	55
Why does a multi-stage Dockerfile with a build stage plus a slim runtime stage produce smaller, more secure production images than a single-stage build?	The build stage can include heavy compilers, build tools, and source code needed only to produce the artifact, while the final runtime stage copies just the built artifact into a minimal base image, so build-time tooling and source never ship in the production image.	CONCEPT	the build stage's tooling and source are discarded; only the built artifact is copied into a minimal runtime image	NORMALIZED_SPACING	Each FROM in the Dockerfile can start a fresh stage that discards the previous stage's filesystem.	Deployment	60
What is the difference between a rolling deployment and a blue-green deployment strategy?	A rolling deployment gradually replaces old instances with new ones a few at a time, keeping both versions briefly serving traffic together, while blue-green keeps two complete environments and switches all traffic from the old to the fully deployed new environment at once, enabling instant rollback by switching back.	CONCEPT	rolling replaces instances gradually; blue-green switches all traffic at once between two full environments	NORMALIZED_SPACING	Blue-green trades double the running infrastructure for an instant, low-risk rollback.	Deployment	60
Why do semantic versioning rules of MAJOR.MINOR.PATCH matter for consumers of a published library?	Incrementing MAJOR signals a breaking change that may require consumer code updates, MINOR signals backward-compatible new functionality, and PATCH signals backward-compatible bug fixes, so consumers can safely automate upgrades within the same MAJOR version without expecting breakage.	CONCEPT	MAJOR signals breaking changes, MINOR adds compatible features, PATCH is compatible bug fixes	NORMALIZED_SPACING	A dependency range like caret 2.3.1 relies on this contract being honored.	Deployment	55
What is the practical difference between a liveness probe and a readiness probe in a container orchestrator like Kubernetes?	A failing liveness probe tells the orchestrator the process is stuck or dead and should be restarted, while a failing readiness probe tells the orchestrator the instance is temporarily unable to serve traffic and should be removed from the load balancer without restarting it.	CONCEPT	liveness failure triggers a restart; readiness failure only removes the instance from traffic without restarting it	NORMALIZED_SPACING	A slow database dependency should usually fail readiness, not liveness.	Deployment	55
Running git status right after git add on a modified file, before any commit, shows the file under which section?	Changes to be committed	CODE_OUTPUT	Changes to be committed	CASE_INSENSITIVE	Staged changes are listed separately from unstaged working-tree changes.	Deployment	30
A Dockerfile copies pom.xml and downloads dependencies before copying the rest of the source and building. A rebuild happens after only an application source file changed, with pom.xml untouched. Which layers does Docker reuse from cache and which does it rebuild?	The dependency-download layer is reused from cache since pom.xml did not change, but the layer that copies the rest of the source and every layer after it are rebuilt because the source file changed, which is exactly why dependencies are copied and downloaded before the rest of the source.	CONCEPT	the cached dependency layer is reused; the source-copy layer and everything after it rebuilds	NORMALIZED_SPACING	Docker invalidates a layer's cache, and every layer after it, once its inputs change.	Deployment	60
