front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What is an SLO and how does it differ from an SLA?	An SLO is an internal reliability target such as 99.9% successful requests, while an SLA is an external commitment that may carry contractual consequences; design should be driven by the required objective, not vague 'high availability'.	CONCEPT		NORMALIZED_SPACING	Internal engineering target versus external promise.	System Design	90
What is an error budget?	It is the amount of unreliability permitted by an SLO over a window; teams can use it to balance feature velocity against reliability work based on actual service performance.	CONCEPT		NORMALIZED_SPACING	Allowed failure derived from the SLO.	Reliability	90
Why should a service keep capacity headroom instead of running near 100% utilization?	High utilization leaves little room for traffic spikes, failover, retries or noisy neighbors and often causes nonlinear queueing latency; headroom improves resilience and recovery.	CONCEPT		NORMALIZED_SPACING	Failover traffic needs somewhere to go.	Capacity Planning	90
What is load shedding?	Load shedding deliberately rejects or degrades lower-priority work when capacity is exhausted so the system preserves resources for critical traffic instead of collapsing under unbounded queues.	CONCEPT		NORMALIZED_SPACING	Reject some work to save the system.	Resilience	90
Why should timeout budgets be propagated across service calls?	A downstream call should not consume more time than the caller has left; propagating deadlines prevents useless work continuing after the user request can no longer succeed.	CONCEPT		NORMALIZED_SPACING	Every hop spends from one end-to-end latency budget.	Resilience	90
Why combine exponential backoff with jitter for retries?	Backoff reduces retry pressure over time, while jitter prevents many clients from retrying in lockstep and creating synchronized retry storms.	CONCEPT		NORMALIZED_SPACING	Avoid synchronized recovery traffic.	Resilience	90
When can request hedging reduce tail latency?	For idempotent reads with occasional slow replicas, sending a duplicate after a delay can let the faster response win, but it increases load and must be used only when capacity and duplication semantics are safe.	CONCEPT		NORMALIZED_SPACING	Trade extra work for lower p99 latency.	System Design	90
What is a quorum read or write?	A quorum requires responses from a configured number of replicas; choosing read and write quorum sizes can trade latency and availability against the probability of observing recent writes.	CONCEPT		NORMALIZED_SPACING	Coordinate subsets of replicas rather than all of them.	Distributed Systems	90
What is the key trade-off of leader-follower replication?	A leader simplifies write ordering, while followers scale reads and provide redundancy; failover, replication lag and leader bottlenecks become important operational concerns.	CONCEPT		NORMALIZED_SPACING	One write authority simplifies ordering but centralizes pressure.	Distributed Systems	90
Why is consistent hashing used in distributed caches or sharded systems?	It limits the fraction of keys that move when nodes are added or removed compared with naive modulo hashing, reducing redistribution and cache churn.	CONCEPT		NORMALIZED_SPACING	Node changes should not remap every key.	System Design	90
What advantage does rendezvous hashing have over a hash ring?	It assigns each key to the highest-scoring node directly, often simplifying implementation and handling node weights cleanly while still minimizing movement when membership changes.	CONCEPT		NORMALIZED_SPACING	Rank nodes per key instead of walking a ring.	System Design	90
When should a CDN be part of a system design?	A CDN is useful for geographically distributed, cacheable content where edge delivery reduces origin load and latency; dynamic personalized or strongly consistent data may not benefit in the same way.	CONCEPT		NORMALIZED_SPACING	Move cacheable bytes closer to users.	System Design	75
Why is object storage a better fit than a relational database for large immutable blobs?	Object stores are optimized for durable large-object storage, high scale and inexpensive capacity, while the database can keep metadata and transactional references without carrying the blob I/O burden.	CONCEPT		NORMALIZED_SPACING	Separate blob storage from transactional metadata.	Storage	90
How do write-through and write-behind caches differ?	Write-through synchronously updates the cache and backing store before success, while write-behind acknowledges after the cache update and persists later, improving latency but increasing durability and ordering risk.	CONCEPT		NORMALIZED_SPACING	Synchronous durability versus deferred persistence.	Caching	90
Why is cache invalidation often harder than cache population?	Multiple writers, asynchronous updates and partial failures can leave stale entries after source data changes; the design needs ownership, versioning or TTL rules for how freshness is restored.	CONCEPT		NORMALIZED_SPACING	Staleness starts when source truth changes.	Caching	90
What is negative caching?	It temporarily caches a known absence or failure result so repeated requests for a missing key do not continually hit the backing system, with a carefully chosen TTL so newly created data can become visible.	CONCEPT		NORMALIZED_SPACING	Cache misses can be cacheable too.	Caching	75
How can a Bloom filter protect a backing store?	It can cheaply say an item is definitely absent or maybe present, allowing the system to avoid many pointless lookups while accepting a configurable false-positive rate.	CONCEPT		NORMALIZED_SPACING	No false negatives, possible false positives.	System Design	90
Why can batching improve throughput but worsen latency?	Batching amortizes network or storage overhead across many items, but each item may wait for the batch to fill and large batches increase failure and retry cost.	CONCEPT		NORMALIZED_SPACING	Throughput efficiency versus per-item waiting time.	System Design	90
What is fan-out amplification?	One user request triggers many downstream calls, multiplying load and making the end-to-end request sensitive to the slowest or least reliable dependency.	CONCEPT		NORMALIZED_SPACING	One request can become many internal requests.	System Design	90
Why should API pagination define a stable ordering?	Without deterministic ordering, concurrent inserts or updates can cause records to be skipped or repeated across pages; cursor or keyset pagination should encode a stable sort key.	CONCEPT		NORMALIZED_SPACING	Paging needs deterministic position.	API Design	90
When would WebSockets be preferable to polling?	Use them when clients need frequent low-latency server-to-client updates and maintaining long-lived connections is justified; polling is simpler and often better for infrequent updates.	CONCEPT		NORMALIZED_SPACING	Continuous push versus simple periodic fetch.	System Design	90
What responsibilities belong at an API gateway?	Common cross-cutting concerns such as routing, authentication enforcement, rate limiting and protocol termination fit there, but core business logic should remain in owned services to avoid a giant gateway application.	CONCEPT		NORMALIZED_SPACING	Centralize edge concerns, not domain logic.	System Design	90
What problem does a service mesh try to solve?	It moves service-to-service networking concerns such as mTLS, retries, telemetry and traffic policy into shared infrastructure, reducing application duplication while adding operational complexity.	CONCEPT		NORMALIZED_SPACING	Standardize east-west networking behavior.	System Design	90
Why are fencing tokens stronger than a simple distributed lease for protecting a shared resource?	Each ownership grant carries a monotonically increasing token, and the protected resource rejects stale lower tokens, so an expired old owner cannot keep writing after a new owner takes over.	CONCEPT		NORMALIZED_SPACING	The resource must reject stale owners.	Distributed Systems	90
Why are wall-clock timestamps unsafe as the sole ordering mechanism in distributed systems?	Machine clocks can drift, jump and disagree, so timestamps do not guarantee causal or total ordering; use logical versions, sequence numbers or consensus where ordering correctness matters.	CONCEPT		NORMALIZED_SPACING	Clock time is not a concurrency primitive.	Distributed Systems	90
What trade-offs exist between random UUIDs and time-ordered identifiers?	Random UUIDs distribute well but can fragment ordered indexes; time-ordered IDs improve locality and sortability but can reveal timing information and require careful uniqueness guarantees.	CONCEPT		NORMALIZED_SPACING	Identifier shape affects storage and information leakage.	System Design	90
