front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What extra capabilities can `ReentrantLock` provide beyond `synchronized`?	Timed and polled acquisition, interruptible acquisition, optional fairness, and multiple condition queues.	RECALL	Timed and polled acquisition, interruptible acquisition, optional fairness, and multiple condition queues.	CASE_INSENSITIVE	Use it for capabilities, not fashion.	JCIP Ch13 - Explicit Locks	75
What is the mandatory structure when using `Lock.lock()`?	Acquire the lock, enter a try block immediately, and release it in a finally block on every exit path.	CONCEPT	Acquire the lock, enter a try block immediately, and release it in a finally block on every exit path.	NORMALIZED_SPACING	Explicit locks do not unlock automatically.	JCIP Ch13 - Explicit Locks	75
What is printed? `ReentrantLock l = new ReentrantLock(); l.lock(); l.lock(); System.out.print(l.getHoldCount()); l.unlock(); l.unlock();`	2	CODE_OUTPUT	2	EXACT	Reentrant acquisition increments the hold count.	JCIP Ch13 - Explicit Locks	40
When should `synchronized` remain the default over `ReentrantLock`?	When intrinsic locking expresses the policy clearly and advanced features are unnecessary; it is simpler and automatically releases the lock on exceptions.	CONCEPT	When intrinsic locking expresses the policy clearly and advanced features are unnecessary; it is simpler and automatically releases the lock on exceptions.	NORMALIZED_SPACING	Prefer the least powerful mechanism that meets the need.	JCIP Ch13 - Explicit Locks	75
How can `lockInterruptibly()` improve shutdown responsiveness?	A thread waiting for the lock can react to interruption instead of remaining blocked until the lock becomes available.	CONCEPT	A thread waiting for the lock can react to interruption instead of remaining blocked until the lock becomes available.	NORMALIZED_SPACING	Unconditional lock acquisition is not a cancellation point.	JCIP Ch13 - Explicit Locks	75
Why can fair locking reduce throughput?	Strict queue order prevents a running thread from reacquiring a newly released lock, increasing context switches and scheduling delay.	CONCEPT	Strict queue order prevents a running thread from reacquiring a newly released lock, increasing context switches and scheduling delay.	NORMALIZED_SPACING	Fair service may sacrifice locality and barging.	JCIP Ch13 - Explicit Locks	75
When is a read-write lock likely to help?	When reads are frequent, writes are infrequent, read operations are long enough to offset lock overhead, and the protected state supports concurrent readers.	CONCEPT	When reads are frequent, writes are infrequent, read operations are long enough to offset lock overhead, and the protected state supports concurrent readers.	NORMALIZED_SPACING	Read dominance alone is not sufficient if operations are tiny.	JCIP Ch13 - Explicit Locks	75
Why can a read-write lock perform worse than a normal mutex?	It has higher bookkeeping cost and write contention; short critical sections or frequent writes may not benefit from concurrent readers.	CONCEPT	It has higher bookkeeping cost and write contention; short critical sections or frequent writes may not benefit from concurrent readers.	NORMALIZED_SPACING	More complex locks have overhead.	JCIP Ch13 - Explicit Locks	75
What should code do after a timed `tryLock` fails?	Release any other locks already acquired, then retry with a policy, fail gracefully, or use an alternative path.	RECALL	Release any other locks already acquired, then retry with a policy, fail gracefully, or use an alternative path.	CASE_INSENSITIVE	Never keep a partial lock set while retrying.	JCIP Ch13 - Explicit Locks	30
A method acquires two locks with timeouts inside an overall request deadline. What timeout should each attempt use?	Use the remaining end-to-end deadline, not the original full timeout, so retries and multiple acquisitions cannot exceed the request budget.	CONCEPT	Use the remaining end-to-end deadline, not the original full timeout, so retries and multiple acquisitions cannot exceed the request budget.	NORMALIZED_SPACING	Propagate a deadline through nested blocking operations.	JCIP Ch13 - Explicit Locks	75
What is a condition predicate?	The boolean expression over guarded state that must be true before a state-dependent operation may proceed.	RECALL	["a boolean condition over guarded state required for an operation","the guarded-state predicate a thread waits for","condition predicate"]	CASE_INSENSITIVE	Examples include not-empty and not-full.	JCIP Ch14 - Custom Synchronizers	30
Why must `wait()` be called inside a loop rather than an `if`?	Wakeups can be spurious, another thread may consume the condition first, or a broad notification may wake threads waiting for different predicates; the predicate must be rechecked.	CONCEPT	Wakeups can be spurious, another thread may consume the condition first, or a broad notification may wake threads waiting for different predicates; the predicate must be rechecked.	NORMALIZED_SPACING	A notification is only a reason to test again.	JCIP Ch14 - Custom Synchronizers	75
What does `Object.wait()` do atomically?	It releases the object's monitor and suspends the thread; before returning, it reacquires the same monitor.	RECALL	It releases the object's monitor and suspends the thread; before returning, it reacquires the same monitor.	CASE_INSENSITIVE	Atomic release-and-sleep prevents missed coordination.	JCIP Ch14 - Custom Synchronizers	30
What lock must be held when testing a condition predicate and calling `wait`, `notify`, `await`, or `signal`?	The lock that guards every variable participating in that predicate.	CONCEPT	The lock that guards every variable participating in that predicate.	NORMALIZED_SPACING	State consistency and waiting must use the same synchronization policy.	JCIP Ch14 - Custom Synchronizers	75
