front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Why is a remote call fundamentally different from an in-process function call?	The caller cannot directly distinguish slow execution, message loss, network partition, or a crashed peer, and partial failure can leave uncertain state.	CONCEPT	The caller cannot directly distinguish slow execution, message loss, network partition, or a crashed peer, and partial failure can leave uncertain state.	NORMALIZED_SPACING	Latency and failure are independent across machines.	Distributed Foundations	75
What is a partial failure?	Some components or communication links fail while the rest of the system continues running.	CONCEPT	Some components or communication links fail while the rest of the system continues running.	NORMALIZED_SPACING	The whole system does not fail together.	Distributed Foundations	75
Why can a timeout never prove that the remote operation did not happen?	The request or response may have been delayed or lost after the server already committed the work.	CONCEPT	The request or response may have been delayed or lost after the server already committed the work.	NORMALIZED_SPACING	Silence is ambiguous.	Distributed Foundations	75
What design requirement follows from retrying an operation after an ambiguous timeout?	The operation should be idempotent or deduplicated so repeating it cannot create an unintended second effect.	CONCEPT	The operation should be idempotent or deduplicated so repeating it cannot create an unintended second effect.	NORMALIZED_SPACING	The first attempt may have succeeded.	Distributed Foundations	75
Why are distributed clocks difficult to use as a perfect global order?	Physical clocks drift, synchronization has error, and message delay means timestamps from different nodes may not reflect actual causality.	CONCEPT	Physical clocks drift, synchronization has error, and message delay means timestamps from different nodes may not reflect actual causality.	NORMALIZED_SPACING	Wall time is not a flawless order.	Time and Ordering	75
What does a logical clock capture?	A partial or total ordering of events based on communication and causality rather than exact wall-clock time.	RECALL	A partial or total ordering of events based on communication and causality rather than exact wall-clock time.	CASE_INSENSITIVE	Order events without claiming precise time.	Time and Ordering	45
What is the difference between concurrent events and causally related events?	Causally related events have an observable happens-before relationship; concurrent events have no known dependency ordering.	CONCEPT	Causally related events have an observable happens-before relationship; concurrent events have no known dependency ordering.	NORMALIZED_SPACING	Could one event have influenced the other?	Time and Ordering	75
Why can unbounded queues create cascading failure?	When arrival rate exceeds processing rate, queued work consumes memory and increases latency until timeouts, retries, and resource exhaustion spread pressure.	CONCEPT	When arrival rate exceeds processing rate, queued work consumes memory and increases latency until timeouts, retries, and resource exhaustion spread pressure.	NORMALIZED_SPACING	Backlog hides overload until it becomes worse.	Cascading Failure	75
How does backpressure reduce cascading failure?	It makes overload visible upstream so producers slow down, reject work, or shed load instead of creating an unlimited backlog.	CONCEPT	It makes overload visible upstream so producers slow down, reject work, or shed load instead of creating an unlimited backlog.	NORMALIZED_SPACING	Control admission before resources collapse.	Cascading Failure	75
Why can retries amplify an outage?	Failed or slow requests generate extra attempts, increasing load on the already unhealthy dependency and delaying recovery.	CONCEPT	Failed or slow requests generate extra attempts, increasing load on the already unhealthy dependency and delaying recovery.	NORMALIZED_SPACING	More traffic is sent when capacity is lowest.	Cascading Failure	75
What is a crash-stop failure model?	A failed process halts and never returns during the modeled execution.	CONCEPT	A failed process halts and never returns during the modeled execution.	NORMALIZED_SPACING	Failure is permanent for the run.	Failure Models	75
What is a crash-recovery failure model?	A process may stop and later restart, retaining only state that was persisted durably.	CONCEPT	A process may stop and later restart, retaining only state that was persisted durably.	NORMALIZED_SPACING	Recovery changes what memory survives.	Failure Models	75
What is an omission fault?	A process or link fails to send, receive, or deliver one or more messages.	CONCEPT	A process or link fails to send, receive, or deliver one or more messages.	NORMALIZED_SPACING	Expected communication is missing.	Failure Models	75
What is an arbitrary or Byzantine fault?	A component can behave inconsistently or maliciously, including sending conflicting information to different peers.	CONCEPT	A component can behave inconsistently or maliciously, including sending conflicting information to different peers.	NORMALIZED_SPACING	The failure is not limited to silence.	Failure Models	75
What lesson does the Two Generals problem provide?	Over an unreliable channel, finite message exchanges cannot create absolute common knowledge that both parties will act.	CONCEPT	Over an unreliable channel, finite message exchanges cannot create absolute common knowledge that both parties will act.	NORMALIZED_SPACING	Acknowledgments can also be lost.	Distributed Limits	75
What does the FLP result imply for asynchronous consensus?	With even one possible crash, no deterministic consensus algorithm can guarantee termination in every fully asynchronous execution.	CONCEPT	With even one possible crash, no deterministic consensus algorithm can guarantee termination in every fully asynchronous execution.	NORMALIZED_SPACING	Safety may hold while progress can be delayed forever.	Distributed Limits	75
How do practical systems make progress despite FLP?	They assume periods of synchrony, use timeouts and randomized or leader-based mechanisms, and guarantee liveness only when timing conditions improve.	CONCEPT	They assume periods of synchrony, use timeouts and randomized or leader-based mechanisms, and guarantee liveness only when timing conditions improve.	NORMALIZED_SPACING	Real systems weaken the model.	Distributed Limits	75
What is a failure detector?	A mechanism that produces suspicions about whether remote processes are alive.	RECALL	A mechanism that produces suspicions about whether remote processes are alive.	CASE_INSENSITIVE	It estimates failure; it does not observe it directly.	Failure Detection	45
Why are heartbeat timeouts a trade-off rather than a perfect threshold?	Short timeouts detect failures quickly but create more false suspicions; long timeouts reduce false positives but delay recovery.	CONCEPT	Short timeouts detect failures quickly but create more false suspicions; long timeouts reduce false positives but delay recovery.	NORMALIZED_SPACING	Speed versus accuracy.	Failure Detection	75
What does a phi-accrual failure detector output?	A continuously increasing suspicion level derived from recent heartbeat arrival statistics rather than a fixed alive/dead verdict.	CONCEPT	A continuously increasing suspicion level derived from recent heartbeat arrival statistics rather than a fixed alive/dead verdict.	NORMALIZED_SPACING	The consumer chooses the threshold.	Failure Detection	75
Why can outsourcing heartbeats improve failure detection?	A separate observer may remain responsive when the application process is overloaded and can distinguish service saturation from total host failure.	CONCEPT	A separate observer may remain responsive when the application process is overloaded and can distinguish service saturation from total host failure.	NORMALIZED_SPACING	Do not make an unhealthy worker judge itself.	Failure Detection	75
What problem does leader election solve?	It selects one participant to coordinate work that requires a single temporary authority.	CONCEPT	It selects one participant to coordinate work that requires a single temporary authority.	NORMALIZED_SPACING	Choose one coordinator among peers.	Leader Election	75
Why must a newly elected leader prove it is current before accepting writes?	An old or stale leader may not contain the latest committed state and could overwrite newer decisions or create split-brain behavior.	CONCEPT	An old or stale leader may not contain the latest committed state and could overwrite newer decisions or create split-brain behavior.	NORMALIZED_SPACING	Leadership requires an epoch or term, not just a name.	Leader Election	75
What is split brain?	Multiple nodes simultaneously believe they are the authoritative leader and accept conflicting operations.	CONCEPT	Multiple nodes simultaneously believe they are the authoritative leader and accept conflicting operations.	NORMALIZED_SPACING	Two authorities act on one logical system.	Leader Election	75
How do fencing tokens help prevent stale leaders from corrupting state?	Each leadership term receives a monotonically increasing token, and downstream resources reject operations carrying an older token.	CONCEPT	Each leadership term receives a monotonically increasing token, and downstream resources reject operations carrying an older token.	NORMALIZED_SPACING	Authority must be checked at the protected resource.	Leader Election	75
What is CAP actually concerned with during a network partition?	A replicated system must choose whether to preserve a single consistent view or keep every partition available for operations that may diverge.	CONCEPT	A replicated system must choose whether to preserve a single consistent view or keep every partition available for operations that may diverge.	NORMALIZED_SPACING	The trade-off is forced only when communication is broken.	Replication and Consistency	75
Why is 'choose two of three' an oversimplification of CAP?	Partition tolerance is not a normal on/off feature in a distributed system, and systems make operation-specific, time-dependent trade-offs beyond one fixed label.	CONCEPT	Partition tolerance is not a normal on/off feature in a distributed system, and systems make operation-specific, time-dependent trade-offs beyond one fixed label.	NORMALIZED_SPACING	The model applies under partition.	Replication and Consistency	75
What is linearizability?	Each operation appears to take effect atomically between its invocation and response, respecting real-time order.	RECALL	Each operation appears to take effect atomically between its invocation and response, respecting real-time order.	CASE_INSENSITIVE	A single-copy illusion with real-time constraints.	Consistency Models	45
How does sequential consistency differ from linearizability?	All operations follow one common order consistent with each client's program order, but that order need not respect real-time completion.	CONCEPT	All operations follow one common order consistent with each client's program order, but that order need not respect real-time completion.	NORMALIZED_SPACING	Global order without the real-time rule.	Consistency Models	75
What is causal consistency?	Operations that may have influenced one another are observed in causal order, while concurrent operations may be seen in different orders.	RECALL	Operations that may have influenced one another are observed in causal order, while concurrent operations may be seen in different orders.	CASE_INSENSITIVE	Preserve dependencies, allow concurrency.	Consistency Models	45
What does eventual consistency guarantee when updates stop?	Replicas will converge to the same state after sufficient communication and reconciliation.	CONCEPT	Replicas will converge to the same state after sufficient communication and reconciliation.	NORMALIZED_SPACING	No new writes, enough time.	Consistency Models	75
Why is eventual consistency alone insufficient as an application contract?	It does not specify how stale reads may be, how conflicts resolve, or what ordering a client observes during convergence.	CONCEPT	It does not specify how stale reads may be, how conflicts resolve, or what ordering a client observes during convergence.	NORMALIZED_SPACING	Convergence leaves many user-visible behaviors undefined.	Consistency Models	75
What is read-your-writes consistency?	A client session will not read a state older than its own successful writes.	RECALL	A client session will not read a state older than its own successful writes.	CASE_INSENSITIVE	Your next read includes what you just saved.	Session Guarantees	45
What are monotonic reads?	Once a session observes a version, later reads in that session do not return an older version.	RECALL	Once a session observes a version, later reads in that session do not return an older version.	CASE_INSENSITIVE	A client's view never moves backward.	Session Guarantees	45
What are monotonic writes?	Writes from one session are applied in the order the session issued them.	RECALL	Writes from one session are applied in the order the session issued them.	CASE_INSENSITIVE	Preserve client write order.	Session Guarantees	45
Why can sticky sessions help provide client-centric guarantees?	Routing a client to the same sufficiently current replica makes it easier to preserve session history, though failover must transfer or reconstruct that context.	CONCEPT	Routing a client to the same sufficiently current replica makes it easier to preserve session history, though failover must transfer or reconstruct that context.	NORMALIZED_SPACING	Keep the user on one consistent view.	Session Guarantees	75
What is tunable consistency?	The client or operation chooses read and write quorum levels, trading latency and availability against freshness and overlap guarantees.	CONCEPT	The client or operation chooses read and write quorum levels, trading latency and availability against freshness and overlap guarantees.	NORMALIZED_SPACING	Consistency can be selected per operation.	Quorums	75
Why does quorum overlap matter?	If read and write quorums intersect, at least one replica consulted by a read should contain the latest successful write under the model's assumptions.	CONCEPT	If read and write quorums intersect, at least one replica consulted by a read should contain the latest successful write under the model's assumptions.	NORMALIZED_SPACING	The sets share a member.	Quorums	75
Why can a quorum read still return stale data in a poorly designed system?	Replica versions may be incomparable, clocks may be unsafe, membership may change, or the resolver may choose incorrectly; quorum size alone is not a complete protocol.	CONCEPT	Replica versions may be incomparable, clocks may be unsafe, membership may change, or the resolver may choose incorrectly; quorum size alone is not a complete protocol.	NORMALIZED_SPACING	Numbers need versioning and reconciliation semantics.	Quorums	75
What makes a CRDT useful in an eventually consistent system?	Its updates or states merge deterministically so replicas converge without central coordination when all changes are delivered.	CONCEPT	Its updates or states merge deterministically so replicas converge without central coordination when all changes are delivered.	NORMALIZED_SPACING	The data type embeds conflict resolution.	CRDTs	75
