front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What does EXPLAIN ANALYZE with BUFFERS add to a PostgreSQL performance investigation?	It shows actual execution plus buffer hits, reads, dirtied pages and writes, helping distinguish CPU or planning problems from physical I/O and cache behavior.	CONCEPT		NORMALIZED_SPACING	Look beyond timing to page access.	PostgreSQL Performance	90
What usually causes large estimated-row versus actual-row errors in a PostgreSQL plan?	Stale or insufficient statistics, correlated columns, skewed distributions, expressions, or parameter-sensitive predicates can mislead the planner and cause poor join or scan choices.	CONCEPT		NORMALIZED_SPACING	Bad cardinality estimates drive bad plans.	PostgreSQL Planner	90
When are PostgreSQL extended statistics useful?	They help the planner model relationships across columns, such as dependencies or combined distinct counts, when assuming column independence produces bad cardinality estimates.	CONCEPT		NORMALIZED_SPACING	Use them for correlated predicates the normal per-column stats miss.	PostgreSQL Planner	90
Why can an index-only scan still perform heap reads?	PostgreSQL must verify tuple visibility unless the visibility map says the heap page is all-visible, so insufficient vacuuming or recently changed pages can force heap fetches.	CONCEPT		NORMALIZED_SPACING	Index coverage and tuple visibility are separate conditions.	PostgreSQL Indexes	90
What is a bitmap heap scan useful for?	It can combine many matching index locations into page-oriented heap access, reducing random I/O when a predicate matches too many rows for simple index lookups but too few for a sequential scan.	CONCEPT		NORMALIZED_SPACING	Batch matching row locations by heap page.	PostgreSQL Planner	90
When is a BRIN index a strong choice?	BRIN is effective for very large tables where a column is naturally correlated with physical row order, such as append-only timestamps, because it stores compact range summaries rather than every key.	CONCEPT		NORMALIZED_SPACING	Huge ordered tables can trade precision for tiny indexes.	PostgreSQL Indexes	90
When would you consider a GIN index?	GIN is useful for values containing multiple searchable elements, such as arrays, JSONB keys or full-text tokens, but write and maintenance costs should be evaluated against the query benefit.	CONCEPT		NORMALIZED_SPACING	Think inverted index over contained terms.	PostgreSQL Indexes	90
How can fillfactor influence HOT updates?	Leaving free space on heap pages can make it more likely an update whose indexed columns do not change can place the new tuple on the same page and qualify for HOT, trading storage density for lower write amplification.	CONCEPT		NORMALIZED_SPACING	Reserve page room for updates.	PostgreSQL MVCC	90
What does SELECT FOR UPDATE protect?	It locks selected rows against conflicting updates so a transaction can safely make a decision based on their current state, at the cost of contention and possible deadlocks.	CONCEPT		NORMALIZED_SPACING	Lock the rows whose state drives the next write.	PostgreSQL Transactions	90
Why is SELECT FOR UPDATE SKIP LOCKED useful for job queues?	Multiple workers can claim different unlocked rows without waiting on work another worker already owns, increasing throughput, though fairness and retry behavior still need design.	CONCEPT		NORMALIZED_SPACING	Workers skip already-claimed rows.	PostgreSQL Transactions	90
How should an application respond to a PostgreSQL deadlock error?	Treat it as a transactional failure, roll back, and retry the whole transaction when safe; also reduce recurring deadlocks by acquiring shared resources in a consistent order and shortening transactions.	CONCEPT		NORMALIZED_SPACING	The database breaks the cycle by aborting someone.	PostgreSQL Transactions	90
When are PostgreSQL advisory locks appropriate?	They provide application-defined coordination keyed by integers without locking a specific row, useful for coarse mutual exclusion when the application can define ownership and failure behavior carefully.	CONCEPT		NORMALIZED_SPACING	Application-level coordination inside PostgreSQL.	PostgreSQL Transactions	90
Why can an oversized database connection pool reduce throughput?	Too many active sessions increase memory use, context switching, lock contention and concurrent I/O; the optimal pool often reflects database capacity rather than application thread count.	CONCEPT		NORMALIZED_SPACING	More connections can mean more contention, not more capacity.	PostgreSQL Operations	90
Why is an idle-in-transaction session dangerous?	It can retain locks and an old MVCC snapshot while doing no useful work, blocking vacuum cleanup and other transactions and causing bloat or lock waits.	CONCEPT		NORMALIZED_SPACING	Idle does not mean harmless when the transaction stays open.	PostgreSQL Operations	90
How do long-running transactions interfere with VACUUM?	Old snapshots can require PostgreSQL to retain dead tuples that might otherwise be reclaimed, increasing table bloat and delaying cleanup.	CONCEPT		NORMALIZED_SPACING	Vacuum cannot remove row versions still visible to an old snapshot.	PostgreSQL MVCC	90
Why is keyset pagination often better than deep OFFSET pagination?	Keyset pagination uses the last seen ordered key to seek directly into an index, avoiding repeated scanning and discarding of all earlier rows and giving more stable behavior under concurrent inserts.	CONCEPT		NORMALIZED_SPACING	Seek after the last key rather than count and discard.	PostgreSQL Performance	90
When are window functions preferable to application-side post-processing?	They can calculate rankings, running totals, partitions and comparisons while preserving row detail in one set-based query, often avoiding extra round trips or client-side grouping.	CONCEPT		NORMALIZED_SPACING	Keep set-based analytical work near the data when appropriate.	SQL	90
How can CTE materialization affect PostgreSQL query performance?	A materialized CTE can create an optimization boundary and intermediate result, while inlineable CTEs may be folded into the main plan; force or avoid materialization only when the measured plan benefits.	CONCEPT		NORMALIZED_SPACING	A WITH clause is not always just syntactic organization.	PostgreSQL Planner	90
Why can prepared statements sometimes get a poor generic plan?	PostgreSQL may eventually reuse a generic plan that ignores parameter-specific selectivity; when data is highly skewed, a custom plan for particular values can be much better.	CONCEPT		NORMALIZED_SPACING	One reusable plan may not fit every parameter distribution.	PostgreSQL Planner	90
What is partition pruning?	The planner or executor excludes table partitions whose bounds cannot match the query predicate, reducing scanned data when predicates align with the partition key.	CONCEPT		NORMALIZED_SPACING	Good partition predicates let PostgreSQL skip whole partitions.	PostgreSQL Partitioning	90
