front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What problem does anti-entropy solve?	It discovers and repairs divergence between replicas that missed or received different updates.	CONCEPT	It discovers and repairs divergence between replicas that missed or received different updates.	NORMALIZED_SPACING	Replicas compare and reconcile state.	Anti-Entropy	75
What is read repair?	During a read, the coordinator detects stale replica responses and updates those replicas with the newer version.	CONCEPT	During a read, the coordinator detects stale replica responses and updates those replicas with the newer version.	NORMALIZED_SPACING	Repair is triggered by serving a read.	Anti-Entropy	75
What is a digest read?	Some replicas return compact hashes instead of full values so the coordinator can compare versions cheaply and fetch full data only when needed.	CONCEPT	Some replicas return compact hashes instead of full values so the coordinator can compare versions cheaply and fetch full data only when needed.	NORMALIZED_SPACING	Compare summaries before payloads.	Anti-Entropy	75
What is hinted handoff?	A healthy node temporarily stores a write intended for an unavailable replica and forwards it when that replica returns.	CONCEPT	A healthy node temporarily stores a write intended for an unavailable replica and forwards it when that replica returns.	NORMALIZED_SPACING	A substitute holds a delivery hint.	Anti-Entropy	75
Why is hinted handoff not a complete repair strategy?	Hints may expire or be lost, and long outages or topology changes can leave divergence that requires full comparison and repair.	CONCEPT	Hints may expire or be lost, and long outages or topology changes can leave divergence that requires full comparison and repair.	NORMALIZED_SPACING	Temporary forwarding cannot prove global convergence.	Anti-Entropy	75
How do Merkle trees reduce replica-comparison cost?	Hierarchical hashes let replicas identify differing key ranges without transferring every record.	CONCEPT	Hierarchical hashes let replicas identify differing key ranges without transferring every record.	NORMALIZED_SPACING	Compare roots, then descend only into mismatched branches.	Anti-Entropy	75
What must be true for Merkle-tree comparison to be meaningful?	Both replicas must partition and hash the same logical key ranges with compatible versions and tree construction.	CONCEPT	Both replicas must partition and hash the same logical key ranges with compatible versions and tree construction.	NORMALIZED_SPACING	The summaries need a common structure.	Anti-Entropy	75
What information does a vector clock provide?	It tracks causal version history so a system can tell whether one version descends from another or whether they are concurrent.	CONCEPT	It tracks causal version history so a system can tell whether one version descends from another or whether they are concurrent.	NORMALIZED_SPACING	Compare per-participant counters.	Versioning	75
When do vector clocks reveal a conflict?	When neither clock dominates the other, meaning the versions were updated concurrently without observing each other.	CONCEPT	When neither clock dominates the other, meaning the versions were updated concurrently without observing each other.	NORMALIZED_SPACING	The histories are incomparable.	Versioning	75
Why can vector clocks grow operationally expensive?	They carry per-participant metadata that can expand with membership and require pruning or compact representations.	CONCEPT	They carry per-participant metadata that can expand with membership and require pruning or compact representations.	NORMALIZED_SPACING	Causality metadata has a size cost.	Versioning	75
What is gossip dissemination?	Nodes periodically exchange state with selected peers so information spreads probabilistically through the cluster.	CONCEPT	Nodes periodically exchange state with selected peers so information spreads probabilistically through the cluster.	NORMALIZED_SPACING	Peer-to-peer epidemic propagation.	Gossip	75
Why is gossip scalable?	Each node communicates with only a small subset of peers while repeated rounds spread information throughout the membership.	CONCEPT	Each node communicates with only a small subset of peers while repeated rounds spread information throughout the membership.	NORMALIZED_SPACING	Avoid all-to-all communication every round.	Gossip	75
What trade-off does gossip make?	It provides robust decentralized dissemination but convergence time and message volume are probabilistic rather than immediate and exact.	CONCEPT	It provides robust decentralized dissemination but convergence time and message volume are probabilistic rather than immediate and exact.	NORMALIZED_SPACING	Reliability through repetition, not instant delivery.	Gossip	75
What two phases make up two-phase commit?	Prepare, then commit or abort.	RECALL	Prepare, then commit or abort.	CASE_INSENSITIVE	Collect votes, then publish the decision.	Distributed Transactions	45
What happens during the prepare phase of two-phase commit?	The coordinator asks each participant to make the local transaction durable and vote whether it can commit.	CONCEPT	The coordinator asks each participant to make the local transaction durable and vote whether it can commit.	NORMALIZED_SPACING	Participants promise before the final decision.	Distributed Transactions	75
Why can two-phase commit block after participants vote yes?	They cannot safely decide alone if the coordinator fails before communicating the final decision, so resources may remain locked while they wait.	CONCEPT	They cannot safely decide alone if the coordinator fails before communicating the final decision, so resources may remain locked while they wait.	NORMALIZED_SPACING	Prepared participants are uncertain.	Distributed Transactions	75
Why is durable coordinator state essential in two-phase commit?	After recovery, the coordinator must remember the chosen outcome and continue notifying participants consistently.	CONCEPT	After recovery, the coordinator must remember the chosen outcome and continue notifying participants consistently.	NORMALIZED_SPACING	The decision must survive the coordinator.	Distributed Transactions	75
Why does three-phase commit not fully solve distributed commit under arbitrary partitions?	Its nonblocking assumptions depend on bounded communication; partitions can still create inconsistent decisions or split brain.	CONCEPT	Its nonblocking assumptions depend on bounded communication; partitions can still create inconsistent decisions or split brain.	NORMALIZED_SPACING	Timing assumptions matter.	Distributed Transactions	75
What is deterministic transaction ordering in systems such as Calvin intended to reduce?	It decides a global transaction order before execution, reducing runtime coordination and deadlock handling for known read/write sets.	CONCEPT	It decides a global transaction order before execution, reducing runtime coordination and deadlock handling for known read/write sets.	NORMALIZED_SPACING	Schedule first, execute second.	Distributed Transactions	75
