front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What is a bounded context in Domain-Driven Design?	A bounded context is an explicit boundary inside which a domain model and its language have consistent meanings; the same business term may legitimately mean something different outside that boundary.	CONCEPT	A bounded context is an explicit boundary inside which a domain model and its language have consistent meanings; the same business term may legitimately mean something different outside that boundary.	NORMALIZED_SPACING	Bound the model and vocabulary together.	DDD	90
What is ubiquitous language?	It is the shared domain vocabulary used consistently by engineers and domain experts in conversations, models, and code so business concepts are not translated differently at every layer.	CONCEPT	It is the shared domain vocabulary used consistently by engineers and domain experts in conversations, models, and code so business concepts are not translated differently at every layer.	NORMALIZED_SPACING	The language should appear in discussion and implementation.	DDD	75
What is the difference between an entity and a value object?	An entity is defined by identity over time, while a value object is defined by its attributes and is typically immutable and replaceable as a whole.	CONCEPT	An entity is defined by identity over time, while a value object is defined by its attributes and is typically immutable and replaceable as a whole.	NORMALIZED_SPACING	Identity versus value equality.	DDD	75
What is the primary responsibility of an aggregate?	An aggregate defines a transactional consistency boundary and protects invariants through its root, so outside code does not arbitrarily mutate internal entities.	CONCEPT	An aggregate defines a transactional consistency boundary and protects invariants through its root, so outside code does not arbitrarily mutate internal entities.	NORMALIZED_SPACING	Think invariant boundary, not just an object graph.	DDD	90
Why should aggregates usually be kept small?	Large aggregates widen transaction boundaries, increase contention and loading cost, and couple unrelated changes; include only state that truly must remain immediately consistent together.	CONCEPT	Large aggregates widen transaction boundaries, increase contention and loading cost, and couple unrelated changes; include only state that truly must remain immediately consistent together.	NORMALIZED_SPACING	Do not put an entire business domain under one lock.	DDD	90
What is the difference between a domain event and an integration event?	A domain event expresses something meaningful that happened inside a domain model; an integration event is the externally published contract used to communicate across bounded contexts or services.	CONCEPT	A domain event expresses something meaningful that happened inside a domain model; an integration event is the externally published contract used to communicate across bounded contexts or services.	NORMALIZED_SPACING	Internal model semantics and external contracts evolve differently.	DDD Events	90
Why should integration-event schemas be versioned carefully?	Consumers may deploy independently and retain events for a long time, so incompatible field or semantic changes can break replay and downstream processing; favor additive evolution and explicit compatibility rules.	CONCEPT	Consumers may deploy independently and retain events for a long time, so incompatible field or semantic changes can break replay and downstream processing; favor additive evolution and explicit compatibility rules.	NORMALIZED_SPACING	Independent consumers make event contracts long lived.	Event-Driven Architecture	90
What problem does the transactional outbox solve?	It atomically stores the business state change and an event-to-publish in the same local transaction, then publishes the outbox asynchronously so a database commit cannot be separated from an intended event by a crash.	CONCEPT	It atomically stores the business state change and an event-to-publish in the same local transaction, then publishes the outbox asynchronously so a database commit cannot be separated from an intended event by a crash.	NORMALIZED_SPACING	It closes the database-plus-broker dual-write gap.	Event-Driven Architecture	90
Why must an event consumer usually be idempotent?	Most practical brokers can redeliver after retries, crashes, or offset uncertainty, so processing the same event more than once must not duplicate irreversible business effects.	CONCEPT	Most practical brokers can redeliver after retries, crashes, or offset uncertainty, so processing the same event more than once must not duplicate irreversible business effects.	NORMALIZED_SPACING	At-least-once delivery means duplicates are normal.	Event-Driven Architecture	90
What is CQRS?	CQRS separates the model or path used to change state from the model or path used to answer queries, allowing each side to optimize for different consistency, shape, and scale needs.	CONCEPT	CQRS separates the model or path used to change state from the model or path used to answer queries, allowing each side to optimize for different consistency, shape, and scale needs.	NORMALIZED_SPACING	Commands and queries can have different models.	CQRS	75
When is CQRS likely to be unnecessary complexity?	When CRUD models already fit the workload and read and write requirements are similar, separate command and query models add synchronization, operational, and conceptual cost without enough benefit.	CONCEPT	When CRUD models already fit the workload and read and write requirements are similar, separate command and query models add synchronization, operational, and conceptual cost without enough benefit.	NORMALIZED_SPACING	Use it for a real asymmetry, not as a default architecture.	CQRS	90
What consistency consequence commonly appears with CQRS read models?	Read models are often updated asynchronously, so a successful command may not be immediately visible to a subsequent query; the product and API must define how that eventual consistency is handled.	CONCEPT	Read models are often updated asynchronously, so a successful command may not be immediately visible to a subsequent query; the product and API must define how that eventual consistency is handled.	NORMALIZED_SPACING	The write can commit before the projection catches up.	CQRS	90
What is event sourcing?	Event sourcing stores the sequence of domain state transitions as the source of truth and reconstructs current state by replaying those events, usually with projections for querying.	CONCEPT	Event sourcing stores the sequence of domain state transitions as the source of truth and reconstructs current state by replaying those events, usually with projections for querying.	NORMALIZED_SPACING	The event log is authoritative, not merely an audit copy.	Event Sourcing	90
What is a major operational cost of event sourcing?	Event schemas, replay logic, projection rebuilding, ordering, snapshots, and historical bugs all become long-lived operational concerns; debugging and migrations are different from a conventional state store.	CONCEPT	Event schemas, replay logic, projection rebuilding, ordering, snapshots, and historical bugs all become long-lived operational concerns; debugging and migrations are different from a conventional state store.	NORMALIZED_SPACING	Permanent history means permanent compatibility obligations.	Event Sourcing	90
What is the purpose of snapshots in an event-sourced aggregate?	Snapshots reduce reconstruction cost by recording a derived state at a known event position, but the event history remains the source of truth and the snapshot must be discardable and rebuildable.	CONCEPT	Snapshots reduce reconstruction cost by recording a derived state at a known event position, but the event history remains the source of truth and the snapshot must be discardable and rebuildable.	NORMALIZED_SPACING	Snapshots are performance aids, not authoritative replacements.	Event Sourcing	90
Why must projection handlers be safe to replay?	A projection may need to rebuild from historical events or receive duplicates, so applying an event again should not create duplicate rows or external side effects.	CONCEPT	A projection may need to rebuild from historical events or receive duplicates, so applying an event again should not create duplicate rows or external side effects.	NORMALIZED_SPACING	Rebuildability requires deterministic, idempotent projection logic.	Event Sourcing	90
What is an anti-corruption layer in DDD?	It translates between a bounded context's own model and an external or legacy model so foreign concepts do not leak throughout the domain and distort its language.	CONCEPT	It translates between a bounded context's own model and an external or legacy model so foreign concepts do not leak throughout the domain and distort its language.	NORMALIZED_SPACING	Protect your model from another model's vocabulary.	DDD	90
What is the difference between a command and an event?	A command is a request to perform an action and may be rejected; an event is a statement that something already happened and should be treated as historical fact.	CONCEPT	A command is a request to perform an action and may be rejected; an event is a statement that something already happened and should be treated as historical fact.	NORMALIZED_SPACING	Intent versus fact.	Event-Driven Architecture	75
How can event ordering bugs appear in distributed systems?	Related events may be delivered concurrently, retried, or observed through different partitions; consumers should define ordering scope, use per-aggregate sequence or version checks where needed, and handle stale or missing predecessors deliberately.	CONCEPT	Related events may be delivered concurrently, retried, or observed through different partitions; consumers should define ordering scope, use per-aggregate sequence or version checks where needed, and handle stale or missing predecessors deliberately.	NORMALIZED_SPACING	Ordering is rarely global; define the scope that matters.	Event-Driven Architecture	90
Why is exactly-once usually a business-level design rather than a broker checkbox?	A broker can provide limited transactional guarantees within its boundary, but end-to-end effects also involve databases and external APIs; durable deduplication, idempotency, and state-machine invariants are still needed.	CONCEPT	A broker can provide limited transactional guarantees within its boundary, but end-to-end effects also involve databases and external APIs; durable deduplication, idempotency, and state-machine invariants are still needed.	NORMALIZED_SPACING	The business effect crosses more boundaries than the broker.	Event-Driven Architecture	90
