front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
Which HTTP status code indicates that a request lacks valid authentication credentials?	401	RECALL	401	EXACT	Compare it with 403, which means authenticated but not permitted.	Security	20
Which HTTP status code indicates the caller is authenticated but not authorized to access the resource?	403	RECALL	403	EXACT	401 means missing or invalid credentials instead.	Security	20
Which compact, signed, URL-safe token format is commonly used to carry claims such as user id and roles?	JWT	RECALL	JWT	CASE_INSENSITIVE	It stands for JSON Web Token and has header, payload, and signature parts.	Security	20
What is the difference between authentication and authorization?	Authentication verifies who a caller is, while authorization decides what an already-authenticated caller is permitted to do, and authorization always logically follows authentication.	CONCEPT	authentication verifies identity; authorization decides permitted actions after identity is known	NORMALIZED_SPACING	One answers who are you, the other answers what are you allowed to do.	Security	50
Why is BCrypt, or another slow salted hashing algorithm, preferred over a fast hash like plain SHA-256 for storing passwords?	A fast general-purpose hash lets an attacker with stolen hashes try billions of guesses per second, while a deliberately slow, salted algorithm like BCrypt makes each guess expensive and gives every password a unique salt, drastically slowing offline cracking.	CONCEPT	BCrypt is deliberately slow and salted so offline password guessing is far more expensive than with a fast hash	NORMALIZED_SPACING	The cost factor of BCrypt can be tuned upward as hardware gets faster.	Security	55
What is the difference between a stateless JWT-based session and a traditional server-side session stored with a session id in a cookie?	A server-side session keeps authoritative state in server memory or a store keyed by a session id, which the server can revoke instantly, while a stateless JWT carries its own claims and signature so it can be validated without a lookup, but a still-valid, unexpired JWT generally cannot be revoked early without extra infrastructure like a blocklist.	CONCEPT	server-side sessions can be revoked instantly via server state; stateless JWTs are hard to revoke before expiry without extra infrastructure	NORMALIZED_SPACING	Statelessness trades easy revocation for not needing a server-side lookup on every request.	Security	60
Why does CSRF protection matter for cookie-based session authentication but is largely unnecessary for a stateless API authenticated purely with an Authorization header bearer token?	CSRF exploits the browser automatically attaching cookies to cross-site requests, so any endpoint relying on an ambient cookie for authentication is at risk; a bearer token in a custom Authorization header is not automatically attached by the browser to cross-site requests, so a malicious site cannot forge a request that includes it.	CONCEPT	CSRF relies on cookies being sent automatically; a bearer token header is not attached automatically by the browser	NORMALIZED_SPACING	The attack depends on the browser doing the credential-attaching work for the attacker.	Security	60
What is the principle of least privilege as applied to a backend service account's database permissions?	A service account should be granted only the specific permissions it needs to do its job, for example SELECT and INSERT on certain tables, and nothing more, so that a compromise of that service's credentials limits the damage an attacker can do.	CONCEPT	grant only the minimum permissions needed so a compromise has limited blast radius	NORMALIZED_SPACING	Ask what the account would be able to do if its credentials leaked today.	Security	50
A request arrives with no Authorization header to an endpoint secured by Spring Security requiring authentication. What HTTP status is returned by default?	401	CODE_OUTPUT	401	EXACT	Missing or invalid credentials map to 401 Unauthorized.	Security	35
An authenticated user requests an endpoint restricted to the ADMIN role, but the user only has the USER role. What HTTP status is returned by default?	403	CODE_OUTPUT	403	EXACT	The caller is known but not permitted, which is 403 Forbidden.	Security	35
A JWT's exp claim is set to a timestamp that has already passed, and it is presented to a properly configured resource server. What happens?	The request is rejected as unauthenticated, typically with a 401, because a compliant JWT validator checks the exp claim and refuses to accept an expired token regardless of whether its signature is still valid.	CONCEPT	the token is rejected as expired and unauthenticated even though its signature is still valid	NORMALIZED_SPACING	Signature validity and expiration are two separate checks that must both pass.	Security	55
A password reset endpoint returns "user not found" for unregistered emails but a different message for registered ones. What security weakness does this behavior create?	This creates a user enumeration vulnerability, since an attacker can distinguish which emails are registered accounts purely from the response differences, without needing valid credentials.	CONCEPT	user enumeration since responses reveal whether an email is registered	NORMALIZED_SPACING	A safe design returns the same generic message regardless of whether the account exists.	Security	55
