front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What does it mean for an operation to be idempotent?	Performing the operation multiple times with the same input produces the same result as performing it once, with no additional side effects from the repeats.	RECALL	Performing the operation multiple times with the same input produces the same result as performing it once, with no additional side effects from the repeats.	CASE_INSENSITIVE	Repeat it as many times as you like; the outcome does not change.	Idempotency	60
Which common HTTP methods are naturally idempotent by specification?	GET, PUT, DELETE, and HEAD.	RECALL	["GET, PUT, DELETE, HEAD","GET PUT DELETE HEAD"]	CASE_INSENSITIVE	Think of methods that set or remove a resource to a target state versus ones that append.	Idempotency	45
Why is a plain HTTP POST to "create an order" not naturally idempotent?	Each POST is typically treated as creating a new resource, so retrying the same POST after a timeout can create duplicate orders even though the client only intended one.	CONCEPT	Each POST is typically treated as creating a new resource, so retrying the same POST after a timeout can create duplicate orders even though the client only intended one.	NORMALIZED_SPACING	POST usually means "append a new thing," not "set this state."	Idempotency	75
A client calls a payment API, the request succeeds on the server but the response is lost to a network timeout, and the client's retry logic resends the exact same request. What production incident can this cause without idempotency protection?	A duplicate charge: the server processes the retried request as a brand-new payment, charging the customer twice for one purchase.	CONCEPT	A duplicate charge: the server processes the retried request as a brand-new payment, charging the customer twice for one purchase.	NORMALIZED_SPACING	The client cannot tell "my request never arrived" from "my request succeeded but the response was lost."	Idempotency	75
What is an idempotency key in an API request?	A unique token the client generates and sends with a request so the server can recognize a retried request as a duplicate of one already processed, instead of a new operation.	RECALL	A unique token the client generates and sends with a request so the server can recognize a retried request as a duplicate of one already processed, instead of a new operation.	CASE_INSENSITIVE	The client, not the server, usually mints this token before the first attempt.	Idempotency	75
Design question: where should an idempotency key typically be stored, and why does a unique database constraint on it matter?	Store it in a dedicated table (or column) with a unique constraint; when two concurrent requests race to insert the same key, the database itself rejects the second insert, which is safer than an application-level check-then-insert.	CONCEPT	["store the idempotency key with a unique constraint so the database rejects duplicates","a table with a unique constraint on the key"]	CASE_INSENSITIVE	Let the database's atomic constraint check do the deduplication instead of separate read-then-write application logic.	Idempotency	90
Why is "check if this idempotency key exists, then insert the request" unsafe as two separate steps under concurrency?	It is a check-then-act race: two concurrent requests with the same key can both see "not found" during the check and both proceed to process the operation before either insert completes.	CONCEPT	It is a check-then-act race: two concurrent requests with the same key can both see "not found" during the check and both proceed to process the operation before either insert completes.	NORMALIZED_SPACING	Two threads reading "no row yet" at the same instant defeats a separate existence check.	Idempotency	90
What should an idempotent API return when a client retries a request with an idempotency key that was already successfully processed?	The same response (and status code) that was produced the first time, without repeating the side effects, so the client sees a consistent result regardless of how many times it retries.	CONCEPT	The same response (and status code) that was produced the first time, without repeating the side effects, so the client sees a consistent result regardless of how many times it retries.	NORMALIZED_SPACING	The retry should look, to the client, exactly like the original successful call.	Idempotency	75
Why do idempotency keys typically need an expiration window instead of being remembered forever?	Remembering every key indefinitely grows storage without bound; a bounded retention window (matched to how long clients realistically retry) keeps storage manageable while still covering real retries.	CONCEPT	Remembering every key indefinitely grows storage without bound; a bounded retention window (matched to how long clients realistically retry) keeps storage manageable while still covering real retries.	NORMALIZED_SPACING	Balance safety against retries with bounded storage growth.	Idempotency	75
In distributed systems, why is true "exactly-once" delivery considered effectively unachievable end to end, and what do teams build instead?	A sender can never be fully certain the receiver processed a message versus just failing to acknowledge it, so at-least-once delivery combined with an idempotent receiver is used to achieve an effectively-once outcome.	CONCEPT	A sender can never be fully certain the receiver processed a message versus just failing to acknowledge it, so at-least-once delivery combined with an idempotent receiver is used to achieve an effectively-once outcome.	NORMALIZED_SPACING	Move the guarantee from "never duplicated in transit" to "safe even if duplicated."	Idempotency	90
A message consumer processes each incoming message and writes to a database, but the broker occasionally redelivers a message after a slow acknowledgment. What consumer-side design prevents double-processing?	Store the message's unique ID in a processed-messages table (or use it as part of a unique constraint on the write) and skip or no-op processing for any message ID already recorded as handled.	CONCEPT	Store the message's unique ID in a processed-messages table (or use it as part of a unique constraint on the write) and skip or no-op processing for any message ID already recorded as handled.	NORMALIZED_SPACING	Track "have I already handled this exact message" independent of the broker's own delivery guarantees.	Idempotency	90
What is optimistic concurrency control using a version number meant to prevent?	Lost updates: it detects when another transaction has modified a row since it was read, so a stale write can be rejected instead of silently overwriting newer data.	CONCEPT	Lost updates: it detects when another transaction has modified a row since it was read, so a stale write can be rejected instead of silently overwriting newer data.	NORMALIZED_SPACING	It is a race-condition guard, not a locking mechanism.	Idempotency	75
In a REST API, what does the If-Match header combined with an ETag let a client do safely?	Submit an update only if the resource's current ETag still matches the one the client last fetched, preventing a lost update caused by overwriting a version the client never saw.	CONCEPT	Submit an update only if the resource's current ETag still matches the one the client last fetched, preventing a lost update caused by overwriting a version the client never saw.	NORMALIZED_SPACING	It is optimistic concurrency control expressed as HTTP headers.	Idempotency	90
What race condition does the "double-submit" problem describe, such as a user double-clicking a "Place Order" button?	Two near-simultaneous submissions of the same form/action race each other to the server, and without deduplication both can be processed as separate, unintended operations.	CONCEPT	Two near-simultaneous submissions of the same form/action race each other to the server, and without deduplication both can be processed as separate, unintended operations.	NORMALIZED_SPACING	The user only meant to act once; the network or UI let the intent fire twice.	Idempotency	75
Should an idempotency key normally be generated by the client or by the server, and why?	Usually the client, because only the client knows whether a given attempt is a genuine retry of the exact same logical request or a brand-new one; a server-generated key on each call cannot distinguish those cases.	CONCEPT	Usually the client, because only the client knows whether a given attempt is a genuine retry of the exact same logical request or a brand-new one; a server-generated key on each call cannot distinguish those cases.	NORMALIZED_SPACING	The party that decides "this is a retry, not a new request" must own the key.	Idempotency	90
A rate limiter increments a per-user request counter with "read count, add one, write count back" under high concurrency. What bug does this pattern have, and what is the fix?	It is a classic read-modify-write race that can undercount concurrent requests; the fix is an atomic increment operation (such as Redis INCR) so the increment happens as one indivisible step at the data store.	CONCEPT	It is a classic read-modify-write race that can undercount concurrent requests; the fix is an atomic increment operation (such as Redis INCR) so the increment happens as one indivisible step at the data store.	NORMALIZED_SPACING	Let the store do the increment atomically instead of the application computing new = old + 1.	Idempotency	90
What Redis command atomically increments a key's integer value and returns the new value?	INCR	RECALL	["INCR","INCR key"]	CASE_INSENSITIVE	It is the Redis equivalent of an atomic counter increment.	Idempotency	30
What is compare-and-swap (CAS), in one sentence?	An atomic operation that updates a memory location or record only if its current value still matches an expected value, failing (rather than corrupting data) if it has changed.	RECALL	An atomic operation that updates a memory location or record only if its current value still matches an expected value, failing (rather than corrupting data) if it has changed.	CASE_INSENSITIVE	It's "update if nobody else changed this since I looked" as one atomic step.	Idempotency	75
Why must application code that uses compare-and-swap for coordination handle the "swap failed" case explicitly instead of ignoring it?	A failed CAS means another writer won the race and the expected precondition no longer holds, so the caller must re-read the current state and retry its logic rather than assume the update happened.	CONCEPT	A failed CAS means another writer won the race and the expected precondition no longer holds, so the caller must re-read the current state and retry its logic rather than assume the update happened.	NORMALIZED_SPACING	A CAS failure is a signal to retry, not an error to swallow.	Idempotency	75
