front	back	card_type	accepted_answers	validation_mode	hint	skill_category	time_limit_seconds
What is two-phase commit (2PC) trying to guarantee across multiple databases?	Atomicity across independent resources: either every participant commits its part of the transaction, or every participant rolls back, coordinated by a single transaction manager.	RECALL	Atomicity across independent resources: either every participant commits its part of the transaction, or every participant rolls back, coordinated by a single transaction manager.	CASE_INSENSITIVE	One coordinator, many participants, all-or-nothing across all of them.	Distributed Transactions & Sagas	75
Describe the two phases of two-phase commit.	In the prepare phase, the coordinator asks every participant to lock resources and confirm it can commit, waiting for all "yes" votes; in the commit phase, the coordinator tells every participant to actually commit (or, on any "no", to abort).	CONCEPT	In the prepare phase, the coordinator asks every participant to lock resources and confirm it can commit, waiting for all "yes" votes; in the commit phase, the coordinator tells every participant to actually commit (or, on any "no", to abort).	NORMALIZED_SPACING	Vote first, then act on the collected votes.	Distributed Transactions & Sagas	90
Why is two-phase commit considered a blocking protocol, and what happens if the coordinator crashes after participants vote "yes" but before it sends the commit decision?	Participants that voted "yes" must hold their locks and wait, unable to unilaterally commit or abort, until the coordinator recovers and tells them the outcome, so a coordinator failure can leave resources locked indefinitely.	CONCEPT	Participants that voted "yes" must hold their locks and wait, unable to unilaterally commit or abort, until the coordinator recovers and tells them the outcome, so a coordinator failure can leave resources locked indefinitely.	NORMALIZED_SPACING	A dead coordinator leaves every participant stuck holding its locks.	Distributed Transactions & Sagas	90
Why do most microservice architectures avoid two-phase commit across independently owned services?	It requires all participating services to be online and responsive simultaneously, holds locks across service boundaries for the duration of the protocol, and couples services' availability together, which conflicts with independent deployability and scaling.	CONCEPT	It requires all participating services to be online and responsive simultaneously, holds locks across service boundaries for the duration of the protocol, and couples services' availability together, which conflicts with independent deployability and scaling.	NORMALIZED_SPACING	2PC trades service independence and availability for strict atomicity.	Distributed Transactions & Sagas	90
What is a saga, in the distributed-systems sense?	A sequence of local transactions, each in a different service, where each step publishes an event or is invoked to trigger the next step, and if a step fails, previously completed steps are undone by compensating transactions instead of a single atomic rollback.	RECALL	A sequence of local transactions, each in a different service, where each step publishes an event or is invoked to trigger the next step, and if a step fails, previously completed steps are undone by compensating transactions instead of a single atomic rollback.	CASE_INSENSITIVE	Local commits chained together, undone by compensation rather than rollback.	Distributed Transactions & Sagas	90
What is a compensating transaction in a saga?	An operation that semantically reverses the effect of an earlier completed step (for example, refunding a payment or releasing a reserved seat), used because the original step already committed and cannot be rolled back the way a database transaction can.	CONCEPT	An operation that semantically reverses the effect of an earlier completed step (for example, refunding a payment or releasing a reserved seat), used because the original step already committed and cannot be rolled back the way a database transaction can.	NORMALIZED_SPACING	It undoes the business effect, not a database transaction.	Distributed Transactions & Sagas	90
What is the difference between a choreographed saga and an orchestrated saga?	In a choreographed saga, each service reacts to events from other services with no central coordinator; in an orchestrated saga, a central orchestrator explicitly tells each service which step to perform next and tracks overall progress.	CONCEPT	In a choreographed saga, each service reacts to events from other services with no central coordinator; in an orchestrated saga, a central orchestrator explicitly tells each service which step to perform next and tracks overall progress.	NORMALIZED_SPACING	Decentralized reaction to events versus a central conductor.	Distributed Transactions & Sagas	90
Name one production downside of a choreographed saga as the number of steps and services grows.	It becomes hard to see the overall business process end to end, since the workflow logic is scattered across many services' event handlers instead of living in one place, making debugging and onboarding harder.	CONCEPT	["hard to see the overall workflow / logic scattered across services","difficult to trace the whole process end to end"]	CASE_INSENSITIVE	No single place to read "what does this whole order flow do."	Distributed Transactions & Sagas	75
Why must an orchestrator's saga state (which step it is on, per saga instance) be persisted durably rather than kept only in memory?	If the orchestrator process crashes or restarts, it must be able to resume each in-flight saga from its last known step instead of losing track of which compensations or next steps are still owed.	CONCEPT	If the orchestrator process crashes or restarts, it must be able to resume each in-flight saga from its last known step instead of losing track of which compensations or next steps are still owed.	NORMALIZED_SPACING	The orchestrator itself needs the same crash-recovery discipline as any other stateful service.	Distributed Transactions & Sagas	90
Why must both the forward steps and the compensating steps of a saga be idempotent?	At-least-once delivery and retries mean any step (including a compensation) can be invoked more than once, so each must be safe to repeat, for example not double-refunding a payment on a retried compensation.	CONCEPT	At-least-once delivery and retries mean any step (including a compensation) can be invoked more than once, so each must be safe to repeat, for example not double-refunding a payment on a retried compensation.	NORMALIZED_SPACING	Retries apply to compensations too, not just forward steps.	Distributed Transactions & Sagas	90
An order saga reserves inventory, then charges the customer, then ships. Charging the customer fails. What must the saga do next?	Run the compensating action for the inventory reservation step (release the reserved inventory) since it already succeeded, and mark the order as failed, without attempting the shipping step.	CONCEPT	Run the compensating action for the inventory reservation step (release the reserved inventory) since it already succeeded, and mark the order as failed, without attempting the shipping step.	NORMALIZED_SPACING	Undo completed steps in reverse order; never proceed past the point of failure.	Distributed Transactions & Sagas	90
Why do sagas not provide the same isolation guarantee as a single ACID transaction, and what problem can that cause?	Each local step commits independently and becomes visible immediately, so other transactions can observe the saga's intermediate, not-yet-fully-committed-or-compensated state (for example, seeing inventory reserved for an order that later fails and compensates).	CONCEPT	Each local step commits independently and becomes visible immediately, so other transactions can observe the saga's intermediate, not-yet-fully-committed-or-compensated state (for example, seeing inventory reserved for an order that later fails and compensates).	NORMALIZED_SPACING	Sagas trade isolation for availability: partial progress is visible to the outside world.	Distributed Transactions & Sagas	90
What is the "semantic lock" (or pending state) pattern used for in sagas?	Mark a resource as "pending" during an in-progress saga (for example, an order in PENDING_PAYMENT state) so other parts of the system know not to treat it as fully committed yet, reducing confusion from sagas' relaxed isolation.	CONCEPT	Mark a resource as "pending" during an in-progress saga (for example, an order in PENDING_PAYMENT state) so other parts of the system know not to treat it as fully committed yet, reducing confusion from sagas' relaxed isolation.	NORMALIZED_SPACING	Make the intermediate state explicit instead of hiding it.	Distributed Transactions & Sagas	90
What is the Try-Confirm/Cancel (TCC) pattern, and how does its "try" step differ from just performing the operation directly?	Each participant first "tries" by reserving resources without committing the final effect (for example, holding funds rather than debiting them), then a later "confirm" finalizes it or a "cancel" releases the reservation, giving an explicit compensable middle state instead of an immediately final side effect.	CONCEPT	Each participant first "tries" by reserving resources without committing the final effect (for example, holding funds rather than debiting them), then a later "confirm" finalizes it or a "cancel" releases the reservation, giving an explicit compensable middle state instead of an immediately final side effect.	NORMALIZED_SPACING	Reserve first, finalize or release later, instead of committing immediately.	Distributed Transactions & Sagas	90
How does the transactional outbox pattern help reliably start the first step of a saga after a local database change?	Writing the "start the saga" event to an outbox table in the same local transaction as the business change guarantees the saga-starting event is not lost even if the process crashes right after the local commit.	CONCEPT	Writing the "start the saga" event to an outbox table in the same local transaction as the business change guarantees the saga-starting event is not lost even if the process crashes right after the local commit.	NORMALIZED_SPACING	The saga's first event needs the same atomic-with-the-commit guarantee as any other outbox event.	Distributed Transactions & Sagas	90
Why should each saga step carry a shared correlation ID (or saga/order ID) through every service it touches?	It lets logs, traces, and metrics from every participating service be tied back to the same logical business transaction, which is essential for diagnosing where a multi-service workflow failed or stalled.	CONCEPT	It lets logs, traces, and metrics from every participating service be tied back to the same logical business transaction, which is essential for diagnosing where a multi-service workflow failed or stalled.	NORMALIZED_SPACING	One saga, one ID, threaded through every hop.	Distributed Transactions & Sagas	90
A saga step calls a downstream service that never responds due to a network partition. What must the saga's step design include to avoid stalling forever?	A timeout on the step, after which the saga treats it as a failure and proceeds to run compensations, rather than waiting indefinitely for a response that may never arrive.	CONCEPT	A timeout on the step, after which the saga treats it as a failure and proceeds to run compensations, rather than waiting indefinitely for a response that may never arrive.	NORMALIZED_SPACING	No step should be allowed to block the whole saga forever.	Distributed Transactions & Sagas	75
Why is starting a saga in response to a duplicate "create order" event (already-delivered-twice message) dangerous without additional protection?	Without deduplication, the saga could be started twice for the same logical order, running two independent chains of reservations, charges, and shipments for what the user intended as one purchase.	CONCEPT	Without deduplication, the saga could be started twice for the same logical order, running two independent chains of reservations, charges, and shipments for what the user intended as one purchase.	NORMALIZED_SPACING	At-least-once delivery applies to the saga's trigger event too.	Distributed Transactions & Sagas	75
What should a saga orchestrator do with the saga's business identifier (such as order ID) to prevent starting the same saga instance twice?	Use it as a unique key when creating the saga's persisted state record, so a duplicate start attempt for the same order ID fails or is recognized as already in progress instead of spawning a second saga instance.	CONCEPT	Use it as a unique key when creating the saga's persisted state record, so a duplicate start attempt for the same order ID fails or is recognized as already in progress instead of spawning a second saga instance.	NORMALIZED_SPACING	The same idempotency discipline used elsewhere applies to saga creation.	Distributed Transactions & Sagas	90
